server_0,server_1,server_2
32869,32868,32868
96687,96687,96686
161652,161652,161652
225883,225883,225882
287657,287656,287656
305660,372691,372690
305660,460647,460646
305660,554109,554108
305701,635954,635954
305701,707146,690985
305701,819419,690985
360534,902087,690985
416021,977537,710949
416021,1062498,795910
461693,1135491,868903
533032,1206829,940241
602708,1276505,1009917
683192,1356990,1029315
742102,1435091,1048507
742102,1538276,1151692
742102,1639431,1252847
756087,1718906,1332322
821767,1784587,1398002
841150,1864044,1477460
841185,1960433,1573848
841185,2061770,1675185
841185,2149481,1762896
841185,2244616,1858032
841185,2342984,1956400
841185,2430254,2043669
858486,2530397,2126618
939339,2611249,2126618
1022557,2694468,2126618
1080261,2752171,2126618
1147190,2819100,2126618
1221293,2893203,2126618
1288573,2960484,2126618
1372586,3044497,2126618
1448375,3120285,2126618
1524800,3196711,2142009
1594127,3266037,2211335
1668198,3340109,2230050
1743151,3392247,2230116
1810969,3392247,2230116
1873019,3443890,2281758
1939712,3510583,2348451
2008376,3579246,2417115
2086546,3598635,2495285
2150842,3619127,2580039
2150842,3718697,2679609
2150842,3821744,2782656
2150842,3919013,2879925
2150842,4014908,2975821
2150898,4108481,3069394
2172115,4191781,3173852
2253197,4191781,3254933
2335003,4191854,3336740
2413805,4191854,3415542
2497849,4191854,3499586
2525710,4253716,3581307
2525710,4341832,3669424
2525710,4441577,3769169
2566837,4524094,3851685
2638269,4595526,3923117
2708233,4665489,3993081
2727077,4684333,4062252
2746493,4703748,4137251
2823606,4780862,4137251
2912660,4869915,4137251
2985732,4942988,4137251
3061196,5018452,4137251
3127252,5084507,4137251
3206230,5163485,4137253
3291038,5248294,4137253
3372014,5329269,4137286
3437413,5394668,4137363
3514652,5471908,4137363
3592736,5549991,4137363
3662865,5620120,4137420
3738095,5695350,4137420
3819941,5777196,4137467
3898865,5856121,4137536
3978415,5935671,4137536
4057180,6014435,4137594
4144572,6080446,4159034
4221249,6080446,4235711
4303406,6080446,4317869
4392343,6080446,4406805
4477619,6080446,4492082
4557022,6080446,4571485
4618776,6104813,4657605
4618776,6210994,4763786
4618776,6312406,4865198
4629011,6392236,4945028
4695225,6458449,5011241
4785689,6548913,5031043
4846830,6629241,5050241
4846830,6726355,5147355
4897298,6801610,5222610
4965190,6869502,5290502
5033187,6937499,5358499
5109985,7014298,5377761
5180379,7084692,5377761
5266425,7170738,5377761
5335769,7240081,5423165
5400002,7304315,5487399
5464602,7368915,5551998
5537951,7442264,5570672
5609380,7540152,5597132
5609380,7637098,5694078
5658615,7714846,5771825
5727183,7783414,5840394
5794651,7850882,5907861
5811513,7867688,6037646
5811513,7867688,6154152
5811513,7867688,6250539
5868887,7925198,6347797
5947396,8003707,6426305
6023618,8079929,6502528
6089036,8145347,6523236
6159604,8215915,6523236
6228455,8284765,6523236
6308098,8364409,6523243
6373722,8430033,6523243
6455877,8512187,6523243
6530565,8586876,6523279
6602902,8659212,6523300
6678441,8734751,6523300
6766892,8823203,6523300
6850887,8907197,6540233
6919445,8975755,6608791
7000039,9056349,6628435
7068316,9124627,6628435
7150271,9206582,6628435
7223780,9280090,6682384
7300874,9357185,6759478
7378508,9434819,6837113
7461741,9518051,6858017
7551613,9588366,6877575
7644383,9588366,6970344
7723755,9588366,7049717
7792537,9601867,7118499
7864778,9674107,7190739
7948146,9757476,7210436
8027156,9836485,7210475
8122642,9931972,7210475
8211297,10020627,7210475
8288896,10098225,7226855
8360465,10169794,7298424
8380532,10258995,7387625
8380532,10354036,7482665
8380532,10450400,7579029
8380532,10531944,7660574
8380532,10630605,7759235
8380532,10729410,7858039
8380565,10825308,7953938
8392238,10905633,8022732
8477797,10991193,8022732
8559041,11072436,8022732
8622305,11135701,8035945
8689314,11202709,8102953
8767803,11281199,8119252
8849323,11362719,8119252
8921433,11434828,8119252
9003139,11516534,8119252
9060822,11574217,8133387
9127695,11641090,8200260
9147092,11716895,8219658
9147267,11846641,8244496
9147267,11948999,8346853
9147267,12056724,8454579
9162324,12142423,8540277
9231536,12211635,8609489
9250209,12297856,8695711
9250287,12398227,8796082
9250287,12506603,8904458
9312311,12536051,8995929
9388257,12536051,9071875
9473007,12536051,9156625
9544263,12536107,9227882
9603892,12553256,9304660
9603892,12652132,9403535
9603892,12749781,9501184
9620405,12829841,9581245
9690958,12900394,9651798
9710911,12977580,9728984
9730357,13047746,9818596
9812085,13047746,9900323
9893426,13047746,9981665
9952102,13062220,10040340
10022650,13132769,10110888
10102136,13212254,10132389
10158412,13284830,10148689
10158412,13377134,10240992
10210945,13460842,10324701
10277774,13527671,10391530
10342456,13592353,10456212
10350333,13670270,10534129
10350333,13766544,10630403
10350333,13860402,10724261
10397038,13937861,10755127
10483788,14024610,10755127
10555474,14096297,10755127
10632602,14173424,10755159
10707608,14248430,10755178
10775329,14316152,10755178
10847100,14387922,10755178
10921194,14462017,10755178
11007303,14548126,10755178
11100243,14641066,10755178
11179740,14720562,10755178
11256261,14797084,10755178
11319022,14859844,10755178
11396724,14937547,10755178
11477168,15017990,10755178
11550743,15091565,10755178
11633193,15174016,10755178
11707087,15247909,10755178
11790647,15331470,10755178
11869397,15410219,10755178
11936789,15477611,10755178
12012871,15553693,10755178
12094368,15635190,10755178
12169068,15709891,10755178
12251254,15792076,10755178
12330160,15870982,10755178
12414526,15955349,10755178
12488711,16029533,10755182
12565418,16106241,10755182
12630076,16170898,10755182
12705057,16245879,10755188
12788772,16329594,10755188
12866334,16407156,10755188
12940333,16481155,10755188
13013740,16537351,10755188
13101319,16537351,10755188
13207540,16537351,10755188
13289660,16537351,10755188
13366047,16537351,10755188
13451969,16594604,10755224
13535676,16678312,10755224
13618059,16760695,10755224
13697349,16839984,10755224
13780232,16922868,10755224
13863561,17006197,10755224
13886818,17104647,10830418
13886818,17199768,10925538
13886818,17309581,11035351
13886818,17413450,11139220
13902296,17501617,11227387
