sum_response_time,number_of_received_responses,number_of_sent_requests
6990,490,492
15129,1060,1062
20700,1433,1437
30693,2132,2136
40698,2850,2854
47711,3374,3378
54447,3865,3871
62760,4485,4491
66526,4745,4753
71863,5145,5155
78662,5497,5508
82519,5770,5782
83767,5864,5879
93072,6540,6556
96941,6805,6823
106890,7498,7516
110685,7767,7787
117517,8240,8261
121380,8509,8532
123229,8647,8672
126649,8900,8927
130041,9133,9162
133179,9352,9384
135541,9523,9557
139126,9792,9828
145292,10258,10296
152335,10776,10814
162113,11501,11540
165700,11770,11811
171389,12183,12225
176185,12526,12570
179740,12780,12826
186693,13268,13315
190091,13487,13536
195112,13829,13879
201043,14261,14313
207598,14728,14781
208655,14800,14856
214104,15188,15245
219479,15554,15613
224805,15928,15988
233019,16499,16560
235993,16710,16773
240305,17016,17081
247232,17494,17560
253307,17932,17999
257884,18266,18335
259730,18397,18468
263045,18627,18700
269155,19080,19155
274937,19505,19581
279359,19832,19910
283572,20138,20217
288201,20490,20571
290442,20656,20740
295965,21064,21149
304424,21683,21769
312164,22239,22325
321413,22784,22871
325350,23082,23171
332163,23596,23686
335906,23870,23962
342826,24373,24466
346561,24645,24740
356557,25338,25433
363550,25848,25944
365071,25962,26060
370828,26373,26473
377717,26863,26964
384975,27380,27481
394670,28062,28164
401490,28521,28624
404841,28765,28870
408844,29049,29156
409717,29113,29223
417267,29639,29749
423506,30079,30191
430388,30559,30672
437210,31038,31152
443610,31495,31610
447315,31766,31883
452479,32138,32256
458293,32536,32656
459297,32601,32724
463209,32880,33005
466157,33090,33217
471953,33503,33631
477507,33910,34040
484433,34407,34538
490913,34866,34998
498367,35427,35560
502008,35692,35827
509615,36259,36394
518840,36902,37038
524343,37296,37433
528250,37588,37727
532284,37899,38040
536862,38232,38375
541003,38521,38665
547483,38979,39125
555815,39552,39698
561433,39950,40098
564118,40139,40289
568638,40464,40616
578156,41144,41296
585587,41647,41800
589140,41899,42054
592732,42147,42304
598036,42531,42689
600431,42714,42875
607329,43189,43351
613098,43586,43749
616115,43795,43960
618567,43987,44155
619360,44051,44221
626125,44455,44627
632380,44982,45155
635916,45279,45454
643830,45914,46090
653823,46600,46776
662345,47205,47381
669081,47677,47854
674705,48069,48247
680205,48453,48633
680625,48484,48667
684667,48770,48955
690079,49157,49343
694155,49461,49649
696690,49642,49833
701976,50000,50192
710326,50597,50790
716524,51039,51233
724143,51565,51760
729116,51928,52124
732827,52239,52437
738396,52709,52909
744895,53242,53443
750686,53652,53854
755864,54044,54248
760814,54399,54604
764746,54684,54891
766972,54846,55056
767982,54918,55131
777994,55638,55851
779554,55752,55967
782113,55949,56167
785923,56223,56443
792007,56647,56868
795964,56925,57148
797539,57040,57266
804489,57557,57784
814483,58300,58527
818769,58604,58832
821884,58837,59068
826393,59178,59410
832589,59627,59861
837321,59983,60218
842941,60457,60694
844794,60592,60831
850841,61014,61255
860831,61727,61968
867412,62192,62434
870302,62397,62641
878420,62971,63216
881818,63217,63464
884939,63427,63676
890037,63786,64037
893612,64054,64307
900409,64582,64836
907224,65088,65343
914720,65654,65909
917514,65854,66112
921289,66124,66384
931296,66858,67118
935052,67131,67393
940200,67523,67786
942671,67691,67957
949625,68166,68433
956465,68649,68917
966482,69354,69622
973428,69864,70133
980056,70376,70646
980976,70447,70720
984651,70705,70980
991478,71194,71470
998271,71703,71980
1005116,72200,72478
1012087,72714,72993
1017172,73060,73340
1024098,73541,73822
1032902,74171,74453
1039891,74664,74947
1046815,75165,75449
1053753,75673,75958
1060729,76177,76463
1067499,76656,76943
1074316,77162,77450
1081115,77667,77956
1084872,77949,78240
1090214,78356,78648
1095393,78705,78999
1099063,78966,79262
1109071,79473,79769
1111401,79641,79939
1114771,79872,80172
1120538,80276,80577
1127181,80739,81042
1131702,81042,81346
1139459,81610,81915
1144375,81961,82268
1148275,82238,82547
1152085,82497,82808
1158376,82922,83234
1162758,83235,83549
1169647,83707,84022
1173457,83959,84276
1177226,84219,84538
1184426,84735,85054
1190934,85205,85526
1196792,85622,85944
1198024,85710,86035
1199007,85781,86109
1202752,86046,86375
1209581,86532,86863
1216534,87046,87378
1221841,87421,87754
1229271,87950,88284
1235295,88374,88709
1237866,88552,88890
1244160,88986,89325
1250429,89433,89773
1254096,89700,90042
1262296,90276,90619
1272293,90969,91312
1275841,91207,91552
1277979,91362,91709
1280179,91530,91880
1284080,91797,92149
1288036,92060,92413
1288688,92102,92459
1294428,92510,92868
1295555,92593,92954
1302888,93110,93472
1306603,93373,93736
1310362,93645,94011
1317319,94165,94532
1327315,94936,95303
1333301,95381,95749
1337965,95731,96101
1344934,96222,96593
1351688,96695,97067
1355646,96980,97353
1362196,97442,97817
1365837,97702,98079
1370361,98028,98406
1376184,98431,98811
1386180,99124,99504
1393752,99656,100036
1399903,100081,100463
1406663,100546,100929
1408151,100648,101033
1413965,101061,101448
1420724,101535,101923
1427629,102018,102407
1434623,102516,102906
1441551,102992,103383
1444789,103220,103613
1452262,103758,104152
1462267,104481,104875
1469207,104978,105373
1473771,105301,105697
1478239,105612,106010
1480312,105762,106163
1489203,106394,106795
1497302,106966,107368
1507303,107676,108078
1514164,108162,108565
1520938,108629,109033
1525814,108971,109376
1531273,109356,109763
1539755,109960,110367
1541985,110115,110525
1548843,110593,111004
1558850,111302,111713
1562861,111580,111992
1566446,111826,112241
1573302,112290,112706
1577025,112550,112968
1583932,113043,113462
1590806,113517,113937
1597761,114012,114433
1602572,114351,114773
1605584,114575,114999
1609459,114836,115262
1615890,115291,115719
1619465,115546,115975
1626012,116008,116439
1628004,116153,116586
1630644,116342,116778
1637423,116813,117250
1644352,117319,117757
1651169,117791,118230
1655132,118079,118520
1662043,118561,119003
1668775,119034,119477
1675712,119511,119955
1679723,119781,120227
1689727,120475,120921
1692969,120707,121155
1700607,121249,121698
1703382,121442,121893
1707801,121753,122206
1717809,122444,122897
1727790,123138,123591
1736014,123711,124164
1741750,124104,124559
1748698,124596,125052
1758695,125307,125763
1768682,126025,126481
1775650,126512,126969
1782626,127020,127478
1792268,127728,128186
1799197,128211,128670
1803530,128515,128976
1813530,129228,129689
1820324,129688,130150
1827419,130194,130656
1830927,130448,130913
1840911,131157,131622
1847202,131595,132061
1853326,132027,132494
1858328,132378,132847
1865106,132845,133315
1871868,133319,133790
1878677,133801,134273
1885524,134289,134762
1891287,134694,135168
1893871,134879,135355
1895298,134978,135457
1903668,135578,136058
1911693,136147,136627
1920608,136790,137271
1927559,137281,137763
1934491,137749,138232
1944487,138469,138952
1954486,139169,139652
1955419,139233,139719
1965419,139933,140419
1972035,140403,140890
1979290,140924,141412
1983614,141233,141722
1990099,141687,142178
1994843,142021,142513
2000863,142450,142944
2007826,142937,143432
2014625,143419,143915
2021434,143894,144391
2031430,144584,145081
2035106,144842,145341
2042053,145327,145827
2048870,145808,146309
2051916,146020,146523
2059377,146544,147048
2069380,147235,147739
2079371,147931,148435
2086356,148430,148935
2093305,148915,149421
2097189,149184,149692
2101414,149481,149990
2107991,149949,150460
2117988,150659,151170
2127989,151373,151884
2132138,151674,152186
2136623,152002,152516
2145298,152611,153126
2155297,153313,153828
2162223,153794,154310
2168957,154273,154790
2172680,154539,155058
2179612,155032,155552
2189603,155730,156250
2193211,155983,156505
2200019,156461,156984
2205411,156827,157351
2208139,157021,157547
2214467,157451,157979
2221354,157927,158456
2228254,158405,158934
2231929,158654,159186
2238886,159149,159682
2245703,159628,160162
2255696,160324,160858
2262544,160806,161341
2268229,161195,161731
2273410,161561,162099
2278609,161921,162460
2283889,162302,162843
2293892,163011,163552
2300732,163500,164042
2307582,163993,164536
2314327,164473,165017
2324319,165178,165722
2331282,165664,166209
2335152,165926,166473
2345147,166630,167177
2355155,167321,167868
2360855,167728,168276
2365227,168035,168585
2368885,168287,168839
2376330,168815,169368
2381262,169164,169718
2388445,169669,170224
2396200,170228,170784
2402170,170648,171205
2407711,171045,171604
2414465,171519,172079
2417974,171766,172328
2422663,172102,172665
2431787,172747,173311
2438386,173218,173783
2442546,173520,174086
2452485,174213,174780
2462488,174923,175490
2469440,175418,175986
2476602,175931,176499
2483137,176391,176961
2490039,176882,177453
2497575,177419,177990
2503798,177860,178433
2510614,178333,178907
2517584,178821,179395
2521110,179077,179654
2528024,179573,180150
2534867,180051,180630
2541628,180517,181097
2548569,181002,181583
2553756,181366,181948
2556159,181537,182122
2558404,181691,182278
2566842,182283,182871
2572038,182635,183224
2572374,182660,183252
2580258,183210,183803
2584879,183537,184132
2588642,183815,184412
2596589,184377,184974
2599262,184566,185166
2609273,185278,185878
2616091,185767,186368
2623936,186316,186917
2629988,186739,187342
2639081,187376,187979
2643788,187708,188313
2650766,188194,188800
2653422,188382,188990
2660856,188913,189522
2665302,189238,189849
2672158,189721,190333
2682142,190416,191028
2692157,191120,191732
2699092,191605,192218
2705879,192078,192692
2712636,192549,193164
2719433,193039,193655
2727401,193607,194223
2736242,194240,194857
2743040,194703,195321
2749995,195200,195819
2756576,195671,196291
2760410,195944,196566
2767550,196456,197079
2777547,197153,197776
2779708,197301,197926
2786908,197817,198443
2791198,198125,198753
2798917,198673,199302
2805804,199153,199783
2812577,199626,200257
2819549,200121,200753
2824144,200445,201078
2828955,200786,201421
2834166,201153,201790
2837918,201418,202057
2844913,201901,202541
2854528,202564,203204
2858720,202861,203503
2862478,203120,203764
2866540,203401,204046
2869962,203641,204289
2873607,203887,204537
2881512,204428,205078
2886083,204752,205404
2891291,205129,205783
2896812,205511,206166
2904851,206080,206736
2911582,206564,207221
2921589,207284,207941
2925387,207545,208204
2929262,207833,208494
2935284,208271,208933
2939820,208591,209255
2946255,209038,209703
2950527,209340,210007
2952161,209456,210125
2961130,210088,210758
2967490,210535,211206
2971564,210822,211495
2978779,211339,212013
2987338,211931,212605
2988017,211981,212658
2995693,212526,213204
3000156,212836,213516
3006978,213302,213983
3014159,213810,214491
3020571,214260,214943
3027388,214740,215424
3034228,215222,215907
3041036,215702,216388
3047980,216189,216876
3054179,216615,217303
3057138,216827,217517
3059033,216959,217652
3066234,217466,218160
3070988,217808,218503
3076800,218206,218903
3080704,218474,219173
3085010,218781,219481
3091323,219230,219932
3094992,219487,220191
3101950,219978,220683
3108924,220482,221188
3115901,220973,221680
3122737,221448,222156
3128061,221830,222539
3133254,222197,222908
3140091,222678,223390
3147052,223166,223879
3149992,223374,224089
3157705,223918,224634
3164632,224405,225122
3171513,224877,225595
3181531,225577,226295
3188395,226069,226788
3195228,226565,227285
3202049,227051,227772
3208861,227536,228258
3213812,227893,228616
3221465,228413,229137
3226149,228745,229471
