sum_response_time,number_of_received_responses,number_of_sent_requests
4746,325,327
13521,933,936
17612,1223,1228
23250,1623,1629
28282,1976,1984
35265,2490,2499
42092,3006,3016
45850,3292,3304
52775,3784,3797
55525,3994,4009
60258,4332,4349
64125,4606,4624
70658,5064,5084
75285,5411,5432
81763,5865,5887
84970,6092,6117
91727,6566,6592
95411,6821,6849
102152,7305,7334
106056,7597,7628
109823,7880,7913
113555,8138,8173
118233,8463,8499
124005,8879,8917
127935,9184,9224
131114,9428,9470
132551,9541,9585
142230,10260,10305
152247,11000,11045
159006,11498,11544
160100,11576,11625
163770,11835,11886
170589,12321,12373
177342,12787,12840
184119,13251,13305
187965,13537,13592
193957,13956,14013
198251,14257,14316
208252,14961,15020
210995,15159,15220
215601,15477,15540
225590,16171,16234
232593,16678,16742
236931,16978,17043
240012,17192,17260
240531,17230,17301
247456,17732,17804
254311,18231,18304
258869,18546,18620
262305,18807,18883
268614,19281,19359
277104,19910,19988
283640,20389,20468
288376,20753,20834
292745,21059,21142
296453,21318,21403
300370,21594,21680
301392,21667,21756
308831,22196,22286
312817,22497,22589
321497,23139,23232
331501,23887,23980
338736,24416,24509
348487,25098,25192
353839,25474,25569
356972,25691,25788
366266,26357,26455
371023,26701,26800
377063,27126,27227
384026,27624,27726
394012,28326,28428
399172,28680,28783
404739,29078,29183
408445,29337,29444
415422,29827,29935
422419,30318,30427
430564,30888,30997
436243,31289,31400
443182,31776,31888
445784,31958,32072
450120,32258,32374
454321,32555,32673
461229,33033,33152
466176,33380,33500
468635,33551,33674
475597,34054,34178
479513,34341,34467
487071,34884,35010
490160,35106,35235
493882,35378,35509
500678,35880,36012
507623,36401,36534
513077,36802,36936
516277,37020,37156
520864,37345,37483
525933,37718,37858
532691,38220,38361
535338,38417,38560
540048,38748,38893
546857,39226,39372
553801,39698,39845
560730,40198,40346
564262,40458,40608
568052,40726,40878
577656,41411,41563
581989,41709,41863
588789,42189,42344
592551,42460,42617
601407,43107,43264
606150,43456,43615
612953,43934,44094
622654,44611,44771
625703,44824,44986
625714,44825,44990
631446,45238,45404
636350,45607,45775
643278,46186,46355
652105,46927,47097
655748,47204,47376
662749,47682,47855
669512,48153,48327
672404,48363,48539
677827,48748,48925
684103,49191,49370
687968,49468,49649
693970,49891,50073
696393,50062,50246
700071,50334,50520
702857,50531,50720
707618,50871,51061
709535,51008,51201
714024,51322,51516
720597,51771,51967
724099,52025,52223
726138,52196,52396
735252,52960,53161
744438,53721,53922
752047,54248,54450
761285,54923,55125
768924,55460,55663
775898,55952,56156
782653,56429,56634
786658,56706,56912
793242,57181,57389
800086,57683,57892
805548,58106,58316
809398,58374,58586
814365,58733,58947
820973,59207,59422
828251,59751,59967
836618,60366,60582
843701,60881,61098
846777,61091,61310
852866,61547,61768
859841,62067,62289
866835,62592,62815
873128,63062,63286
880359,63411,63636
882573,63573,63800
888134,63971,64200
893421,64350,64580
896830,64584,64816
904728,65138,65371
