sum_response_time,number_of_received_responses,number_of_sent_requests
3685,252,255
9101,632,636
17288,1208,1213
24333,1698,1704
32376,2259,2265
34993,2456,2465
44997,3197,3206
48764,3481,3492
52463,3750,3763
59380,4272,4286
63195,4559,4575
70166,5049,5066
74061,5332,5351
76629,5521,5542
81538,5850,5873
88337,6324,6348
93265,6677,6702
102071,7291,7317
106862,7634,7661
112492,8064,8093
119303,8568,8598
126273,9048,9079
133144,9525,9557
143153,10256,10288
153153,11019,11051
163136,11775,11807
167085,12062,12096
171512,12396,12431
172447,12465,12503
181445,13127,13166
188332,13615,13655
195252,14095,14136
202042,14587,14629
205688,14826,14870
210188,15130,15175
216330,15561,15607
223209,16047,16095
230144,16545,16594
233996,16820,16871
240977,17316,17368
247794,17782,17834
257757,18473,18526
262998,18840,18894
268644,19235,19291
278651,19936,19992
288645,20646,20702
292400,20918,20976
299374,21422,21481
306822,21947,22006
309933,22180,22241
319783,22916,22978
324098,23244,23307
330472,23705,23770
335722,24100,24166
340866,24460,24528
347807,24962,25031
351754,25241,25311
355194,25482,25555
361584,25928,26002
365990,26264,26340
372481,26741,26818
376448,27034,27113
383985,27578,27657
393279,28230,28310
400273,28717,28798
401729,28822,28905
404922,29051,29137
410426,29452,29539
415517,29808,29897
420602,30172,30262
426004,30550,30642
429760,30800,30894
439768,31523,31617
446144,31963,32058
447458,32055,32152
453973,32504,32602
462095,33070,33169
470251,33645,33745
477481,34219,34320
484399,34705,34807
488919,35028,35131
494927,35454,35559
501717,35934,36040
510003,36510,36616
512529,36687,36796
516173,36946,37057
523123,37441,37553
527373,37752,37865
536969,38437,38551
540770,38713,38829
546136,39113,39230
554001,39700,39818
558338,40028,40148
565156,40511,40632
573880,41125,41246
578363,41460,41583
582692,41773,41898
589490,42281,42407
596360,42768,42895
603125,43237,43365
613109,43928,44056
623124,44635,44763
630021,45119,45248
633624,45370,45501
639222,45772,45904
643977,46107,46241
649344,46475,46610
654785,46858,46995
661769,47369,47507
665580,47645,47785
669253,47902,48044
679254,48603,48745
684920,49008,49151
684963,49011,49157
690693,49424,49571
694316,49700,49850
699318,50122,50273
705181,50610,50763
715175,51423,51576
723476,51992,52145
728925,52368,52523
735684,52833,52989
740503,53170,53327
745972,53553,53712
752401,54012,54172
756811,54311,54473
758905,54456,54620
765123,54912,55077
770652,55308,55475
777671,55791,55959
787675,56503,56671
792600,56852,57021
797984,57217,57388
804910,57731,57903
806852,57895,58069
808388,58023,58200
812829,58372,58551
817752,58717,58897
824426,59210,59391
830420,59639,59821
840135,60317,60500
847091,60802,60986
853893,61277,61462
857637,61545,61732
867641,62256,62443
874396,62774,62962
878173,63030,63220
884956,63511,63702
892279,64027,64218
900002,64604,64796
904092,64908,65102
907831,65172,65368
