sum_response_time,number_of_received_responses,number_of_sent_requests
6831,479,481
10451,726,730
16273,1134,1139
24136,1677,1683
32771,2283,2289
40929,2889,2896
50926,3622,3629
57818,4132,4140
61490,4391,4401
65915,4715,4726
68318,4897,4911
70922,5080,5096
74820,5353,5371
80421,5757,5777
88875,6338,6358
94081,6704,6725
100818,7182,7205
107716,7662,7686
110238,7849,7875
115355,8240,8268
124521,8918,8946
129741,9279,9308
138927,9932,9962
142785,10224,10256
146505,10505,10539
150388,10798,10834
154285,11085,11123
158198,11373,11413
162947,11730,11771
168758,12165,12208
175833,12677,12720
179411,12931,12977
186191,13414,13461
189327,13624,13673
191366,13759,13810
197385,14183,14236
201106,14447,14502
207966,14934,14990
213045,15295,15352
217506,15620,15679
222235,15940,16001
229041,16411,16473
234237,16772,16835
239862,17161,17226
246416,17614,17680
251966,18007,18074
257102,18376,18445
263906,18873,18943
266683,19085,19157
271443,19440,19514
278419,19962,20037
285432,20484,20559
295353,21206,21282
297042,21332,21410
302558,21720,21800
309307,22209,22290
313330,22498,22580
319928,22963,23047
326875,23466,23551
333661,23987,24073
336132,24171,24259
341341,24555,24644
344782,24808,24900
351436,25277,25370
358492,25761,25855
360277,25888,25984
365909,26286,26384
370851,26639,26738
372364,26749,26851
376292,27033,27137
380821,27355,27461
384257,27593,27701
388536,27901,28011
395493,28389,28500
399634,28682,28794
406417,29151,29265
410123,29411,29527
411885,29532,29650
415708,29795,29915
421131,30179,30301
427558,30648,30771
434876,31170,31294
440150,31543,31668
446613,31994,32120
452720,32442,32570
458571,32858,32987
463419,33197,33328
467247,33475,33608
477242,34185,34318
486222,34829,34962
493574,35380,35514
497239,35658,35794
501573,35976,36114
505437,36241,36380
510792,36623,36764
512729,36767,36911
519777,37300,37445
526211,37775,37921
529889,38035,38183
532562,38221,38371
535828,38450,38602
541696,38864,39018
547270,39252,39407
550486,39484,39641
554195,39746,39905
562906,40353,40513
566747,40627,40788
575204,41232,41394
580240,41608,41772
587019,42100,42265
591844,42444,42610
597769,42857,43025
606673,43479,43647
608539,43628,43799
609873,43720,43893
616187,44215,44390
626183,45052,45227
633118,45626,45802
640025,46175,46352
650030,46861,47038
655283,47230,47408
662299,47718,47897
665479,47942,48123
674237,48548,48730
682648,49136,49318
684884,49295,49480
691782,49790,49976
698714,50299,50486
705539,50792,50980
712470,51285,51474
719330,51773,51963
723107,52039,52230
733040,52709,52901
739853,53215,53408
749866,54056,54249
758859,54808,55001
762554,55114,55309
767470,55446,55643
775396,56026,56223
778361,56234,56433
782815,56541,56742
791852,57183,57385
795460,57433,57637
802043,57909,58114
804265,58063,58270
806838,58265,58475
812357,58656,58867
817524,59025,59238
827520,59729,59942
832486,60106,60320
836427,60401,60617
842074,60807,61025
849594,61342,61560
858834,62034,62253
865764,62552,62772
869616,62821,63043
873474,63088,63312
875452,63220,63446
879490,63499,63727
887552,64079,64308
895425,64638,64867
898339,64845,65077
908349,65549,65781
912059,65816,66050
915806,66080,66316
922706,66563,66800
927105,66881,67119
930364,67126,67367
937182,67657,67899
943982,68169,68412
948912,68541,68785
953797,68891,69137
958388,69220,69468
962545,69519,69768
966661,69830,70081
971144,70169,70422
973477,70334,70590
974709,70415,70673
984038,71083,71342
988131,71367,71628
994909,71868,72130
1000278,72286,72549
1002813,72469,72734
1009066,72910,73177
1017393,73507,73774
1022150,73867,74136
1026586,74333,74604
1028948,74510,74783
1035437,74950,75224
1040756,75319,75595
1047535,75802,76079
1051433,76079,76358
1055156,76347,76628
1062004,76851,77133
1067053,77218,77501
1072478,77604,77889
1079232,78102,78388
1089234,78856,79142
1091145,78998,79286
1096638,79405,79695
1103638,79891,80182
1110606,80380,80672
1117513,80855,81148
1122996,81266,81560
1124207,81347,81644
1125708,81454,81753
1132666,81937,82237
1134718,82067,82370
1138265,82326,82631
1144927,82819,83125
1147755,83024,83333
1154728,83490,83800
1159775,83841,84152
1164014,84133,84446
1165943,84270,84586
1171261,84636,84953
1179716,85230,85548
1186558,85719,86038
1194316,86284,86603
1200252,86707,87028
1207188,87191,87513
1213242,87628,87951
1216308,87850,88175
1221189,88189,88516
1225077,88486,88815
1232656,89017,89347
1238607,89431,89762
1241895,89668,90001
1244056,89820,90156
1249945,90218,90555
1256738,90702,91040
1260149,90953,91293
1263129,91157,91499
1270640,91674,92017
1275013,91981,92326
1279434,92295,92642
1282457,92513,92862
1283831,92617,92968
1287391,92855,93209
1291233,93122,93478
1296077,93475,93832
1298699,93656,94016
1305642,94127,94488
1312961,94649,95010
1316284,94901,95265
1323257,95417,95782
1327077,95709,96076
1335475,96348,96715
1339044,96608,96977
1344564,97011,97382
1351425,97486,97858
1357176,97889,98262
1362006,98237,98612
1366920,98573,98949
1371485,98897,99275
1376207,99221,99601
1383141,99700,100081
1390801,100229,100610
1396730,100639,101022
1403500,101117,101501
1407082,101366,101752
1413848,101850,102237
1417518,102106,102495
1424381,102585,102975
1428338,102863,103255
1435104,103322,103715
1442076,103802,104196
1449023,104306,104701
1452821,104578,104975
1456666,104858,105257
1460710,105139,105539
1463998,105366,105769
1470311,105817,106221
1475080,106158,106563
1481240,106598,107005
1488005,107070,107478
1494873,107554,107963
1502134,108057,108466
1508616,108513,108924
1517452,109144,109555
1517544,109151,109565
1522962,109533,109949
1526642,109789,110207
1533629,110282,110701
1540636,110774,111194
1550642,111481,111901
1556685,111901,112322
1559657,112115,112538
1563603,112394,112819
1568716,112746,113173
1575662,113255,113683
1582071,113708,114137
1589435,114239,114669
1596348,114734,115165
1603207,115217,115648
1606969,115489,115922
1616953,116189,116623
1623715,116676,117111
1627385,116934,117371
1631149,117197,117636
1641149,117926,118365
1647957,118407,118847
1655680,118960,119400
1661707,119381,119823
1665746,119671,120114
1672219,120113,120558
1675872,120370,120817
1685855,121059,121506
1692731,121544,121992
1702727,122246,122694
1709533,122723,123172
1713338,122986,123437
1717672,123283,123735
1722975,123651,124105
1727893,123995,124451
1733099,124353,124810
1738584,124736,125195
1747581,125373,125832
1752282,125704,126165
1757704,126092,126554
1762790,126460,126924
1769198,126929,127394
1773225,127210,127677
1780055,127691,128159
1786851,128174,128643
1793970,128669,129138
1800474,129125,129596
1808741,129710,130181
1813904,130079,130552
1817921,130360,130835
1818920,130432,130910
1823772,130777,131256
1832549,131382,131862
1836033,131631,132113
1837869,131762,132246
1843509,132167,132653
1850464,132655,133142
1859079,133260,133747
1867436,133856,134344
1871788,134167,134656
1878139,134603,135094
1882415,134902,135394
1886611,135206,135700
1893915,135703,136198
1896490,135884,136381
1902061,136279,136778
1906545,136588,137089
1910072,136838,137341
1920071,137546,138049
1927229,138065,138568
1936423,138704,139208
1943973,139241,139746
1953969,139940,140445
1963969,140648,141153
1970616,141116,141622
1977714,141603,142110
1979774,141746,142255
1984675,142084,142595
