sum_response_time,number_of_received_responses,number_of_sent_requests
3788,274,277
5626,398,403
14064,980,986
21065,1459,1466
27976,1945,1953
34928,2460,2469
38398,2715,2726
42386,3000,3013
49374,3501,3515
54059,3841,3856
56357,4015,4033
58925,4201,4221
62133,4435,4457
65122,4654,4679
72065,5141,5167
82055,5837,5863
87261,6202,6229
91787,6519,6548
96283,6850,6881
102746,7344,7376
107373,7691,7724
113790,8132,8167
121197,8646,8681
128437,9170,9206
136488,9774,9811
141091,10116,10155
151085,10856,10895
154143,11084,11125
156744,11277,11320
162458,11695,11740
166234,11974,12021
170141,12256,12305
173874,12529,12580
183875,13215,13266
188769,13547,13599
194649,13954,14008
202164,14479,14533
205220,14701,14758
212159,15184,15242
215715,15437,15497
219312,15679,15741
226978,16210,16272
233253,16663,16726
236446,16888,16954
243582,17385,17452
253595,18100,18167
262043,18707,18774
267326,19097,19166
271635,19396,19466
277863,19862,19934
280574,20063,20137
285343,20416,20492
289242,20699,20777
296223,21229,21308
303024,21711,21791
306749,21979,22061
310605,22262,22345
312831,22418,22504
321227,22849,22936
328339,23385,23472
334801,23861,23950
344806,24612,24701
351680,25106,25196
356454,25441,25532
360832,25743,25836
363965,25960,26055
368259,26265,26362
371080,26466,26565
378962,27025,27125
387387,27633,27734
391355,27909,28012
394807,28143,28248
395487,28191,28299
402589,28699,28808
406434,28967,29078
413188,29429,29541
417724,29744,29857
423966,30180,30294
428078,30467,30583
432207,30761,30879
437726,31148,31268
438664,31218,31341
445598,31706,31830
449548,31971,32096
452325,32165,32293
456970,32502,32632
463918,33000,33131
465409,33107,33240
468677,33338,33473
472575,33610,33747
482251,34323,34461
486261,34619,34758
492936,35113,35254
497516,35443,35585
505324,35999,36142
507315,36145,36291
514083,36649,36796
520767,37146,37294
527757,37645,37794
534539,38128,38278
542536,38683,38833
548333,39092,39244
555466,39599,39751
561890,40058,40212
566500,40382,40537
570435,40651,40808
575540,41014,41173
579955,41336,41497
585780,41755,41917
590486,42058,42222
597393,42536,42701
600345,42743,42910
603909,42993,43162
606840,43220,43391
609722,43436,43609
613379,43713,43889
618907,44180,44357
623963,44601,44780
633948,45414,45593
640765,45874,46054
650764,46566,46746
657688,47045,47226
662077,47351,47533
665196,47576,47761
673813,48186,48371
675962,48339,48527
682902,48834,49023
689651,49330,49520
695179,49731,49922
703051,50280,50472
706827,50553,50747
713757,51036,51231
720698,51515,51711
727640,52035,52232
734560,52613,52811
741438,53189,53388
748433,53756,53956
753430,54114,54315
760104,54609,54811
763081,54814,55018
769762,55286,55492
779737,55989,56195
783625,56265,56473
791914,56869,57077
797346,57250,57460
801228,57544,57756
804801,57801,58015
810752,58224,58439
818542,58766,58982
828065,59477,59693
832366,59791,60009
842361,60531,60749
843720,60632,60852
848010,60955,61177
855092,61489,61712
860359,61876,62101
869905,62577,62802
875808,62890,63116
876621,62940,63169
882802,63374,63604
884054,63466,63699
888215,63756,63991
896226,64314,64550
899918,64577,64815
906711,65052,65291
910597,65325,65566
917561,65815,66057
920034,65991,66235
925196,66405,66651
931924,66904,67151
935997,67216,67465
943271,67732,67981
949931,68203,68454
954262,68519,68771
963035,69173,69426
967595,69514,69769
973936,69949,70205
978102,70239,70497
980784,70430,70690
987693,70913,71174
992379,71255,71518
996474,71579,71844
1003446,72091,72357
1005999,72275,72543
1012022,72706,72975
1017930,73154,73425
1024881,73663,73935
1031673,74166,74439
1041669,74860,75133
1045580,75125,75400
1053419,75682,75957
1057629,75981,76258
1063099,76376,76655
1071672,77020,77299
1073790,77173,77455
1074848,77242,77526
1077923,77466,77753
1084914,77996,78284
1090628,78415,78704
1094982,78738,79029
1099296,79042,79335
1109289,79750,80043
1112974,80007,80302
1117125,80319,80615
1123587,80770,81068
1126375,80975,81275
1131539,81337,81638
1137385,81740,82043
1144856,82290,82594
1148426,82552,82858
1151274,82768,83076
1159306,83313,83622
1166075,83784,84094
1167972,83919,84231
1172336,84220,84534
1176090,84479,84795
1184459,85064,85381
1188391,85350,85669
1192535,85644,85964
1201973,86315,86636
1207221,86686,87008
1210260,86906,87230
1213633,87145,87471
1220160,87609,87937
1226589,88068,88397
1234060,88597,88927
1244047,89294,89624
1251043,89789,90120
1254976,90065,90398
1261258,90501,90835
1265737,90815,91151
1275140,91513,91849
1279629,91826,92164
1289644,92504,92842
1295032,92891,93230
1297179,93046,93388
1301733,93370,93713
1308014,93808,94152
1314550,94260,94606
1321342,94746,95093
1327404,95185,95533
1332085,95515,95865
1335814,95775,96127
1339775,96063,96416
1344887,96429,96784
1350000,96815,97172
1356826,97575,97933
1366818,98325,98683
1370622,98605,98965
1374347,98867,99229
1379576,99229,99592
1382041,99403,99768
1389851,99963,100329
1390962,100041,100410
1396128,100410,100781
1402676,100861,101233
1404715,101007,101381
1410275,101404,101780
1420279,102087,102463
1427681,102624,103000
1430908,102849,103228
1437688,103341,103721
1445802,103920,104300
1450383,104232,104614
1454060,104491,104875
1461932,105031,105416
1468758,105512,105898
1475698,106012,106399
1482582,106507,106895
1486275,106768,107158
1493026,107247,107638
1499898,107727,108119
1503611,107990,108384
1507297,108259,108655
1514054,108734,109131
1521031,109230,109628
1527802,109717,110116
1533770,110133,110533
1538363,110450,110852
1546520,111031,111433
1547693,111113,111518
1552769,111463,111870
1556400,111718,112127
1563222,112200,112610
1569141,112612,113023
1575394,113043,113455
1580637,113416,113830
1589364,114038,114452
1597595,114623,115038
1607590,115313,115728
1611327,115575,115992
1618168,116048,116466
1626955,116667,117085
1628907,116804,117224
1638780,117504,117925
1645661,117977,118399
1652478,118464,118887
1659369,118957,119381
1666121,119442,119867
1670658,119755,120181
1676845,120197,120625
1680722,120475,120904
1682446,120595,121027
1691133,121199,121632
1694940,121470,121905
1698606,121725,122162
1702291,121982,122421
1707957,122370,122810
1712156,122672,123114
1715871,122938,123382
1723690,123484,123929
1732784,124115,124560
1737641,124447,124894
1740699,124662,125111
1748320,125195,125645
1752041,125456,125908
1759029,125938,126391
1769038,126647,127100
1775981,127139,127593
1782879,127631,128086
1789675,128123,128579
1797785,128723,129179
1800281,128893,129352
1810279,129597,130056
1820281,130309,130768
1827262,130790,131250
1837272,131494,131954
1843707,131948,132409
1847886,132248,132711
1851709,132510,132975
1855546,132787,133254
1862346,133271,133739
1866295,133542,134011
1872857,134011,134481
1879699,134494,134966
1886605,134991,135464
1894642,135553,136026
1903402,136163,136637
1913406,136869,137343
1920347,137368,137843
1927129,137840,138316
1933936,138305,138782
1940931,138796,139274
1944637,139046,139526
1949965,139421,139902
1958349,140029,140511
1965150,140500,140983
1969608,140805,141289
1975985,141247,141733
1982710,141727,142214
1983768,141798,142288
1990710,142294,142785
1997594,142776,143268
2001545,143057,143551
2008352,143529,144024
2013415,143883,144379
2021975,144487,144984
2028827,144953,145451
