sum_response_time,number_of_received_responses,number_of_sent_requests
6843,479,481
13494,943,946
17721,1233,1238
27725,1937,1942
34503,2408,2414
41329,2913,2920
43290,3051,3060
48937,3458,3469
55816,3929,3941
62469,4417,4430
66382,4680,4695
73945,5212,5227
83191,5879,5895
89969,6381,6398
93821,6649,6668
100740,7135,7155
107454,7615,7636
113949,8067,8089
118304,8388,8412
125096,8904,8929
131906,9404,9430
141901,10110,10136
148783,10589,10616
155665,11096,11124
163451,11676,11704
166978,11949,11979
171877,12296,12328
177306,12703,12737
184137,13208,13243
194142,13941,13976
201102,14454,14490
204865,14724,14762
214006,15373,15411
218785,15700,15740
222979,15986,16027
229201,16424,16467
232948,16690,16735
239883,17177,17223
242014,17330,17378
245912,17606,17656
248016,17756,17809
254897,18232,18286
258319,18472,18528
261761,18709,18767
266225,19017,19077
273618,19547,19607
279990,20011,20073
283622,20268,20332
286383,20473,20539
288231,20614,20682
293037,20966,21036
295407,21142,21215
297752,21306,21381
302909,21699,21776
309664,22183,22261
313590,22472,22552
320678,22983,23063
324040,23213,23295
329201,23579,23663
337378,24200,24285
342518,24594,24680
348747,25053,25140
352093,25297,25387
358804,25766,25857
364368,26153,26245
367306,26353,26447
376643,27014,27109
383467,27510,27606
388442,27862,27959
393836,28246,28345
397941,28529,28630
404258,28967,29069
408417,29262,29366
412038,29507,29612
416206,29803,29910
420454,30103,30212
426652,30540,30651
430398,30809,30922
435165,31143,31257
440732,31534,31650
447977,32043,32160
454777,32533,32651
461615,33009,33128
466949,33369,33489
472052,33726,33848
476092,34017,34141
484274,34603,34727
489914,35013,35139
493631,35274,35402
503625,35987,36115
509753,36453,36582
512011,36620,36751
517752,37051,37184
522052,37365,37499
527265,37731,37867
532020,38070,38208
537705,38500,38639
542506,38859,39000
549355,39340,39482
558360,39970,40112
560257,40101,40245
566676,40560,40706
576672,41269,41415
583364,41747,41894
590228,42242,42390
597138,42706,42855
605978,43334,43483
613914,43906,44056
619715,44323,44474
625360,44753,44905
631545,45189,45343
637639,45609,45764
644357,46085,46241
646274,46231,46389
649797,46490,46650
653486,46770,46933
657360,47094,47259
662363,47514,47680
670212,48165,48332
670910,48212,48382
675297,48510,48682
679195,48781,48955
682773,49015,49191
689743,49510,49687
696558,49994,50172
701669,50351,50530
707356,50751,50932
714130,51243,51425
717892,51517,51701
724645,51987,52172
730138,52365,52551
735299,52734,52922
739153,53018,53208
745978,53524,53715
752934,54109,54301
759921,54696,54889
769914,55518,55711
775445,55908,56102
777520,56063,56260
782512,56419,56617
791101,57019,57218
795003,57300,57501
798907,57569,57772
801182,57734,57939
809466,58322,58528
815281,58767,58974
818269,58969,59178
820785,59150,59362
827557,59626,59839
834083,60116,60330
836499,60293,60509
838891,60473,60692
846625,61026,61245
852819,61494,61715
854926,61655,61878
857074,61817,62043
865090,62461,62687
872273,62974,63201
880775,63578,63806
885417,63902,64131
890078,64233,64464
894279,64529,64762
896873,64699,64934
