sum_response_time,number_of_received_responses,number_of_sent_requests
4538,315,317
11821,820,823
14566,1010,1015
21199,1469,1476
28142,1957,1965
31801,2229,2239
38700,2756,2767
43947,3158,3170
46166,3315,3330
50658,3637,3653
56010,3869,3887
60239,4171,4191
68791,4788,4808
75592,5285,5306
80868,5651,5674
90859,6351,6374
92937,6496,6521
98293,6874,6901
105050,7370,7398
108810,7651,7681
113477,7996,8027
122662,8632,8664
126264,8883,8917
133060,9383,9418
140016,9911,9947
143651,10191,10229
150863,10732,10771
153844,10952,10993
158562,11304,11347
165542,11825,11869
169191,12080,12126
174494,12445,12492
176854,12608,12658
183668,13070,13121
193327,13617,13668
200429,14108,14160
209925,14778,14830
214182,15088,15142
217818,15338,15394
221605,15611,15669
227931,16054,16113
232268,16363,16424
238882,16829,16891
239253,16854,16919
243393,17140,17207
247163,17406,17475
253778,17887,17957
257669,18179,18251
263497,18594,18667
268475,18970,19045
272197,19253,19330
276356,19563,19641
279637,19797,19878
286357,20309,20391
293505,20790,20873
297142,21058,21143
301361,21368,21454
308470,21863,21950
313113,22188,22277
315606,22373,22464
320249,22710,22803
323067,22918,23014
329935,23423,23520
336854,23906,24004
342310,24282,24381
345187,24478,24579
348684,24734,24837
352162,24979,25084
353944,25110,25218
359111,25485,25595
363461,25788,25900
367290,26057,26171
373817,26529,26644
375154,26629,26746
379761,26950,27069
386067,27393,27513
389189,27619,27741
395973,28086,28210
402898,28563,28688
409823,29057,29183
416727,29558,29685
418298,29661,29790
421226,29866,29998
423269,30005,30139
427808,30319,30455
432498,30659,30797
439460,31156,31295
446246,31649,31789
450478,31954,32095
453717,32189,32333
460652,32708,32853
466815,33171,33317
468779,33316,33464
474942,33748,33898
483421,34360,34510
488579,34745,34897
492145,35011,35165
495721,35270,35426
502583,35758,35915
506294,36015,36174
510174,36286,36447
517094,36784,36946
520769,37038,37202
530693,37746,37910
536420,38154,38319
539674,38378,38545
548162,38977,39145
554433,39415,39584
561931,39983,40153
564583,40171,40343
572079,40693,40866
579619,41215,41389
585232,41608,41783
587179,41755,41932
590638,42007,42187
592415,42140,42322
598203,42626,42810
601958,42938,43124
611230,43704,43890
614972,43962,44150
619624,44278,44468
627883,44851,45041
636368,45433,45624
640069,45698,45891
645246,46067,46261
650772,46460,46656
653735,46666,46864
659457,47093,47292
664824,47482,47683
671760,47973,48175
675731,48258,48462
682728,48755,48960
686653,49021,49228
690077,49271,49480
697485,49893,50103
706478,50651,50861
713509,51230,51441
721216,51767,51979
731218,52497,52709
732995,52627,52841
738798,53040,53256
743883,53398,53615
749515,53801,54020
756368,54296,54516
761308,54657,54878
766547,55053,55276
770696,55338,55563
777537,55831,56057
784078,56297,56524
788041,56595,56824
793221,56977,57207
799123,57404,57636
803705,57723,57956
806878,57962,58198
810661,58250,58488
816572,58695,58934
824332,59261,59501
831119,59740,59981
834955,60006,60249
843147,60579,60822
846904,60839,61084
847138,60852,61100
853085,61273,61523
859730,61740,61991
863813,62029,62282
870757,62499,62753
877272,62965,63220
879071,63102,63359
882232,63345,63605
882938,63400,63663
884796,63540,63805
890511,63950,64217
897265,64412,64680
901175,64701,64971
911174,65446,65716
913310,65606,65878
915782,65779,66054
922639,66253,66529
929563,66754,67031
934292,67080,67358
937166,67292,67573
946966,68055,68336
954117,68586,68868
964111,69301,69583
971035,69793,70076
974861,70080,70365
981743,70576,70862
984072,70748,71036
989403,71118,71408
994287,71458,71749
1003100,72085,72377
1009523,72543,72836
1017078,73092,73386
1027072,73830,74124
1033799,74314,74609
1037689,74593,74890
1044598,75107,75405
1051529,75625,75924
1058477,76139,76439
1065278,76644,76945
1072139,77115,77417
1075315,77346,77650
1076457,77423,77730
1083332,77908,78216
1090110,78387,78696
1094041,78667,78977
1099378,79034,79346
1104280,79381,79695
1111149,79867,80182
1118127,80365,80681
1120104,80497,80815
1125699,80873,81193
1132661,81360,81681
1137376,81688,82010
1143344,82104,82428
1151835,82688,83012
1157210,83063,83389
1161071,83339,83667
1165256,83641,83970
1171643,84101,84432
1178382,84564,84896
1182071,84828,85162
1185464,85075,85411
1189065,85317,85655
1190829,85444,85784
1197290,85902,86244
1202551,86260,86603
1211183,86869,87213
1218146,87342,87687
1221814,87593,87940
1228709,88093,88441
1235491,88590,88939
1244732,89249,89598
1250974,89683,90033
1252099,89767,90120
1254599,89945,90300
1257624,90165,90523
1262051,90463,90822
1265274,90683,91045
1274641,91349,91711
1276319,91474,91838
1285945,92154,92519
1292266,92594,92960
1299623,93114,93481
1303471,93390,93759
1313271,94121,94490
1319934,94638,95008
1321156,94730,95102
1327765,95213,95587
1334628,95701,96076
1341914,96202,96577
1348254,96653,97030
1352059,96918,97296
1360348,97491,97870
1365522,97872,98253
1372498,98365,98747
1376195,98628,99012
1383155,99118,99503
1393166,99807,100192
1403162,100514,100899
1409895,100993,101379
1413556,101249,101637
1420465,101731,102120
1427244,102209,102599
1434062,102698,103089
1441060,103180,103572
1447263,103619,104012
1448460,103704,104100
1455126,104186,104583
1459112,104468,104867
1466825,105017,105416
1471293,105322,105723
1476398,105676,106079
1482286,106091,106495
1484085,106220,106627
1491007,106717,107125
1494744,106988,107398
1501670,107464,107875
