sum_response_time,number_of_received_responses,number_of_sent_requests
4588,321,323
10673,753,756
17506,1233,1238
21335,1502,1509
31147,2186,2193
38281,2725,2733
48277,3466,3474
54970,3970,3979
62151,4480,4490
66847,4822,4833
70179,5084,5097
76855,5563,5578
86854,6289,6304
93820,6792,6808
100738,7271,7288
108164,7788,7805
114333,8229,8248
121230,8708,8728
124907,8976,8998
131754,9494,9517
132943,9584,9609
138677,9977,10004
141863,10198,10227
149793,10778,10808
153635,11072,11104
159781,11539,11572
164400,11887,11922
170434,12346,12382
175001,12677,12715
184675,13389,13427
185729,13462,13503
190330,13797,13839
196382,14221,14265
203307,14696,14741
208596,15050,15096
216735,15626,15673
224092,16105,16153
230976,16594,16643
236290,16968,17018
239476,17192,17244
245173,17598,17652
249179,17875,17931
255808,18339,18396
259844,18618,18677
266666,19099,19159
273410,19572,19633
277224,19856,19919
284203,20355,20419
291081,20841,20906
298142,21362,21428
300964,21578,21646
308822,22157,22226
312719,22438,22509
318301,22865,22937
320039,22984,23059
323896,23272,23349
333900,24001,24078
337657,24278,24357
341422,24551,24632
348380,25069,25151
352308,25365,25449
359225,25876,25961
363050,26152,26239
369996,26640,26728
378511,27231,27319
383847,27615,27705
390619,28093,28184
391337,28144,28237
395260,28426,28522
402093,28922,29019
406163,29201,29300
412921,29675,29775
419373,30144,30245
419794,30176,30280
420899,30259,30365
427670,30727,30834
431926,31033,31142
439204,31539,31649
442536,31772,31884
445272,31967,32082
450461,32316,32432
453401,32519,32638
457188,32787,32908
462379,33146,33268
467830,33525,33649
471582,33800,33926
475390,34071,34199
479219,34349,34479
482774,34603,34735
486143,34843,34977
488472,35021,35157
494182,35447,35585
504179,36189,36327
510964,36671,36810
517782,37157,37297
524752,37664,37805
530384,38084,38226
535334,38449,38593
542297,38945,39090
552297,39647,39792
560327,40204,40349
563771,40455,40602
566532,40652,40802
573336,41137,41288
583321,41847,41998
593333,42530,42681
600083,43010,43162
605590,43397,43550
610626,43774,43929
617605,44283,44439
623291,44679,44836
628340,45038,45196
638207,45725,45884
640172,45887,46048
643533,46139,46302
646723,46376,46542
650506,46690,46858
656340,47177,47346
662983,47731,47901
666406,47962,48134
673378,48453,48626
678821,48836,49011
685771,49309,49485
692612,49787,49964
699504,50275,50453
706445,50757,50936
710427,51042,51223
714246,51322,51505
718482,51618,51802
725850,52141,52326
731757,52562,52749
741771,53271,53458
748558,53722,53910
758557,54468,54656
763909,54916,55105
769160,55356,55547
771970,55590,55783
777768,55990,56184
781229,56250,56446
782148,56313,56512
784925,56506,56707
791738,56982,57185
798160,57432,57636
805444,57962,58167
810680,58326,58532
816152,58752,58960
819974,59024,59234
826815,59522,59733
830755,59797,60010
838838,60401,60614
844265,60796,61011
848568,61104,61320
858049,61791,62008
864992,62314,62532
868825,62603,62823
872673,62866,63088
881698,63523,63745
884712,63732,63956
884966,63747,63974
892790,64294,64522
896003,64518,64748
901559,64905,65137
905234,65160,65393
911953,65643,65878
918188,66081,66317
922787,66400,66638
932780,67116,67354
937370,67458,67697
940459,67705,67947
941636,67795,68039
944942,68044,68291
951712,68533,68781
961679,69233,69481
962961,69329,69579
967022,69634,69886
973764,70142,70395
976970,70367,70623
981236,70660,70917
984578,70899,71159
991429,71384,71645
998230,71873,72135
1005034,72401,72664
1011831,72890,73154
1016012,73191,73456
1025497,73864,74130
1030265,74225,74492
1037370,74728,74996
1044722,75259,75528
1046906,75412,75684
1050627,75667,75941
1057598,76155,76430
1064208,76633,76909
1068016,76910,77188
1071773,77183,77463
1075662,77463,77745
1079539,77733,78016
1082266,77929,78215
1089647,78482,78769
1095223,78893,79181
1103406,79509,79798
1107335,79777,80068
1113699,80227,80519
1118035,80528,80822
1121802,80802,81098
1131789,81498,81794
1138567,81976,82273
1143793,82336,82634
1150678,82832,83131
1154385,83100,83401
1156295,83237,83541
1159499,83481,83787
1164349,83808,84116
1171152,84280,84589
1173829,84469,84780
1178947,84828,85141
1184320,85203,85517
1186349,85346,85663
1191488,85720,86038
1199970,86328,86647
1206750,86812,87132
1213535,87288,87609
1217471,87569,87892
1221311,87839,88164
1228304,88325,88650
1235118,88819,89146
1238700,89068,89397
1242497,89332,89663
1246080,89578,89911
1253021,90060,90394
1257935,90404,90739
