sum_response_time,number_of_received_responses,number_of_sent_requests
3672,252,255
13671,949,952
20518,1436,1440
27480,1923,1928
32429,2264,2270
36823,2595,2603
41674,2959,2969
42651,3031,3044
52646,3739,3752
59515,4266,4280
62478,4478,4494
68028,4874,4891
73691,5273,5292
80509,5768,5788
87453,6251,6272
93863,6705,6727
98254,7020,7044
105165,7507,7532
111920,8000,8026
115877,8294,8322
119638,8569,8599
125625,8981,9012
127943,9138,9171
133779,9573,9608
135209,9682,9719
144197,10352,10390
148316,10659,10699
155269,11179,11220
163211,11769,11810
167097,12046,12089
172853,12461,12506
176428,12715,12762
179979,12976,13025
183681,13222,13273
185183,13326,13379
190807,13711,13766
195589,14046,14102
201975,14503,14561
205547,14756,14816
212406,15237,15298
217755,15620,15682
224188,16064,16127
227057,16228,16293
230675,16483,16551
240532,17168,17236
244245,17425,17495
251090,17920,17991
259027,18490,18561
265513,18952,19024
268516,19177,19251
272069,19439,19516
278996,19949,20027
284005,20310,20389
291328,20869,20949
296205,21208,21290
303109,21707,21790
310051,22222,22306
313841,22488,22574
323293,23162,23248
327817,23501,23588
332661,23853,23942
338634,24297,24387
342317,24562,24654
348317,24984,25078
351021,25166,25262
353898,25362,25460
357356,25606,25706
360965,25862,25964
362567,25980,26085
368225,26386,26493
375195,26872,26980
378803,27124,27233
385391,27597,27708
389294,27875,27988
393238,28158,28272
397585,28452,28568
400890,28692,28810
406194,29064,29184
412536,29515,29636
416087,29765,29888
420111,30042,30167
425667,30440,30567
429377,30708,30837
436123,31189,31319
440049,31471,31603
446963,31965,32098
456961,32683,32816
460767,32954,33089
464503,33225,33361
468029,33484,33623
471469,33748,33889
475827,34071,34214
481249,34469,34613
487589,34915,35060
488952,35009,35157
490924,35156,35307
494703,35433,35586
498114,35685,35840
501792,35943,36100
505899,36229,36388
512837,36709,36869
514484,36830,36992
517465,37038,37203
524297,37529,37695
532003,38074,38240
533538,38180,38349
538803,38562,38733
542373,38813,38986
546317,39103,39278
553310,39628,39804
562993,40311,40487
567041,40593,40771
569627,40774,40954
571442,40918,41101
575131,41188,41373
576040,41257,41445
583012,41839,42028
593009,42671,42860
599124,43172,43362
606181,43655,43846
613564,44164,44356
617252,44417,44611
621007,44661,44857
629462,45263,45459
634743,45633,45831
641524,46111,46310
651526,46817,47016
655293,47084,47285
662067,47570,47772
665658,47821,48025
675652,48534,48738
682610,49018,49223
689599,49481,49687
696534,50013,50220
703490,50597,50805
709347,51086,51295
716098,51650,51860
722147,52070,52281
730035,52658,52870
735458,53037,53250
744555,53675,53889
747314,53870,54086
748961,53988,54206
755722,54476,54696
759542,54758,54980
766327,55275,55498
771878,55669,55893
780199,56255,56480
782497,56415,56642
787815,56806,57035
796172,57417,57646
798564,57596,57828
805390,58092,58325
812324,58611,58845
815657,58857,59093
819767,59145,59383
826764,59652,59891
835137,60249,60488
835782,60286,60528
841230,60660,60904
849620,61252,61496
855144,61640,61886
862141,62149,62396
865864,62422,62671
872833,62908,63158
876708,63176,63428
879499,63375,63629
884147,63709,63965
885254,63795,64053
891663,64265,64525
901680,65026,65286
909071,65551,65811
917934,66170,66431
922256,66496,66759
925956,66774,67039
932800,67287,67553
937783,67640,67907
943983,68077,68345
950506,68538,68808
957268,69014,69285
959673,69188,69461
964554,69569,69844
974551,70307,70582
978757,70608,70884
987781,71249,71526
990691,71458,71737
995751,71823,72104
1002652,72323,72605
1007891,72694,72977
1010046,72846,73132
1015669,73244,73531
1017756,73393,73683
1024678,73892,74183
1031612,74403,74695
1034648,74624,74918
1039147,74955,75251
1046045,75467,75764
1052965,75985,76283
1059723,76495,76794
1066727,77022,77322
1073468,77485,77786
1077331,77760,78063
1084204,78240,78544
1089600,78640,78945
1091751,78786,79093
1098451,79263,79572
1104098,79654,79964
1111374,80175,80486
