sum_response_time,number_of_received_responses,number_of_sent_requests
6838,480,482
10603,744,748
20619,1443,1447
24474,1719,1724
31385,2206,2213
32791,2300,2309
36408,2554,2565
43932,3115,3127
52391,3712,3725
57009,4045,4059
59969,4309,4326
60781,4364,4383
70583,5066,5086
74495,5356,5378
81250,5823,5846
85998,6145,6169
95085,6789,6814
101992,7277,7303
105728,7553,7581
109631,7848,7878
113467,8134,8166
122975,8797,8829
127263,9097,9131
134978,9652,9686
138802,9937,9973
144880,10392,10430
148590,10664,10704
152516,10954,10996
160207,11522,11564
169513,12210,12253
176598,12721,12764
186293,13411,13455
190148,13693,13739
194007,13961,14009
203995,14640,14688
207810,14894,14943
212021,15187,15238
218374,15646,15699
228380,16359,16412
235339,16852,16906
242122,17322,17377
249011,17794,17850
255636,18261,18318
259396,18519,18578
263391,18802,18863
267036,19064,19127
273597,19544,19608
277460,19821,19887
284406,20331,20398
294388,21072,21139
301166,21581,21649
305364,21889,21958
307171,22018,22090
312145,22392,22466
313030,22459,22536
316923,22740,22819
320925,23026,23106
325234,23324,23406
334483,23979,24062
341292,24503,24587
348041,25013,25098
358040,25761,25846
364803,26249,26335
374813,26954,27040
380247,27331,27418
382190,27469,27559
389034,27959,28050
395824,28437,28529
398360,28624,28718
402764,28941,29037
407115,29244,29342
413561,29695,29794
420589,30201,30301
424757,30498,30600
431629,30981,31084
438496,31469,31573
445247,31943,32048
448984,32206,32313
457402,32800,32907
461248,33073,33182
464293,33278,33389
470426,33712,33825
477214,34178,34292
479447,34334,34450
481802,34498,34617
485736,34788,34909
492522,35268,35390
499493,35772,35895
506436,36268,36392
510118,36533,36659
516893,37027,37154
526904,37774,37901
534500,38341,38468
543812,38995,39123
549347,39385,39514
554316,39751,39882
561364,40281,40413
568230,40783,40916
572061,41058,41193
578818,41535,41671
585132,41975,42112
589463,42290,42429
592333,42497,42638
596822,42818,42961
605629,43448,43591
610392,43781,43926
611486,43860,44007
614477,44069,44219
616791,44237,44389
622304,44646,44800
626086,44905,45061
632478,45344,45501
635504,45555,45714
638150,45766,45927
641225,45992,46155
644910,46272,46438
648850,46602,46770
655789,47182,47351
662636,47732,47902
667874,48090,48261
673122,48454,48627
677559,48754,48928
683770,49171,49347
690520,49645,49822
698931,50237,50414
704242,50610,50789
707947,50866,51047
714300,51338,51520
718879,51661,51844
722167,51892,52078
726069,52171,52358
730146,52454,52643
739511,53097,53287
744756,53469,53660
750405,53943,54136
759913,54745,54938
763240,55018,55213
765994,55206,55403
770889,55563,55762
772546,55676,55878
776284,55942,56146
781360,56298,56503
786513,56651,56858
790893,56976,57185
798869,57538,57747
801277,57722,57934
806616,58104,58317
811775,58473,58688
818556,58950,59166
825543,59468,59685
832449,59981,60199
836778,60308,60527
843677,60800,61020
846836,61036,61259
854393,61607,61830
857197,61798,62024
860961,62076,62304
867717,62550,62779
874506,63028,63258
875992,63132,63364
879434,63375,63609
880955,63482,63719
886831,63900,64139
893822,64401,64641
900770,64887,65128
909510,65490,65731
914450,65844,66087
919092,66193,66437
922058,66420,66667
925955,66711,66960
933439,67279,67528
936606,67509,67761
946574,68205,68457
950885,68526,68779
960249,69222,69476
965613,69622,69877
971081,69999,70256
972837,70117,70376
976425,70371,70632
982576,70798,71061
987535,71150,71414
989764,71321,71588
993847,71618,71886
1003569,72306,72575
1004288,72361,72633
1006835,72551,72825
1011648,72898,73174
1015561,73179,73457
1020665,73543,73822
1027591,74025,74305
1030347,74218,74501
1036809,74679,74963
1037734,74743,75029
1044573,75239,75527
1049001,75561,75850
1054927,75976,76267
1061935,76481,76773
1070177,77110,77402
1078172,77716,78009
1084171,78175,78469
1089498,78538,78834
1093355,78810,79108
1099961,79304,79603
1102691,79505,79806
1102886,79517,79821
1108653,79917,80222
1115178,80375,80682
1119181,80657,80966
1122994,80914,81225
1126881,81203,81516
1133803,81698,82012
1141868,82246,82560
1144643,82434,82751
1152517,82979,83296
1155388,83175,83495
1162266,83646,83967
1169082,84125,84447
1171074,84276,84600
1176584,84668,84994
1183384,85152,85479
1186998,85401,85730
1193965,85889,86219
1203185,86545,86875
1207619,86851,87183
1211787,87155,87488
1218216,87605,87940
1222473,87898,88234
1228645,88335,88673
1234869,88762,89101
1239095,89045,89386
1241952,89241,89584
1246197,89548,89893
1248409,89703,90050
1251189,89883,90233
1257422,90324,90675
1264892,90846,91198
1269067,91144,91497
1272501,91391,91747
1276233,91644,92002
1280226,91931,92290
1284940,92271,92632
1290589,92670,93033
1293759,92899,93264
1298354,93229,93596
1302440,93516,93884
1308904,94004,94374
1312865,94311,94683
1319661,94820,95193
1323455,95097,95472
1330275,95589,95965
1337263,96074,96450
1340808,96337,96716
1350810,97045,97424
1354903,97335,97715
1361352,97802,98184
1368391,98291,98674
1372293,98569,98954
1376177,98840,99227
1383010,99313,99701
1389159,99741,100130
1393777,100065,100456
1397555,100337,100729
1403066,100734,101128
1411251,101302,101697
1416748,101691,102087
1421861,102039,102437
1428685,102525,102924
1431186,102707,103108
1434494,102949,103352
1442548,103522,103926
1444098,103628,104034
1447136,103841,104250
1456595,104529,104938
1459753,104747,105158
1461647,104882,105296
1465544,105155,105571
1471184,105554,105971
1476340,105920,106338
1478800,106089,106510
1483941,106456,106879
1490884,106947,107371
1497840,107438,107863
1504816,107925,108351
1510685,108337,108764
1515536,108663,109092
1522533,109165,109595
1529396,109640,110071
1537887,110240,110671
1542993,110608,111041
1547387,110913,111347
1554300,111411,111846
1563709,112077,112513
1570649,112573,113010
1577498,113054,113492
1584312,113534,113973
1591290,114019,114459
1595005,114276,114718
1602365,114802,115244
1608716,115256,115700
1612478,115513,115959
1619427,116021,116468
1623132,116284,116733
1630294,116798,117247
1636867,117254,117705
1640671,117517,117970
1650662,118207,118660
1654299,118458,118913
1660995,118920,119376
1667681,119390,119847
1671762,119679,120138
1678744,120169,120629
1685733,120657,121118
1691974,121086,121548
1696329,121391,121855
1703211,121866,122331
1710162,122344,122810
1720165,123055,123521
1725488,123445,123912
1730833,123824,124293
1734372,124081,124552
1743270,124729,125200
1750721,125270,125742
1758319,125795,126268
1765237,126287,126761
1775238,126990,127464
1782057,127451,127926
1788917,127933,128409
1793288,128241,128718
1799249,128668,129147
1800586,128762,129244
1810580,129464,129946
1812955,129631,130115
1816755,129899,130385
1825301,130512,130999
1830532,130873,131361
1836032,131265,131755
1842883,131740,132231
1846468,131997,132490
1849751,132233,132728
1854373,132571,133067
1861236,133051,133549
1868044,133538,134037
1874868,134014,134514
1881809,134491,134992
1887573,134895,135397
1892510,135244,135748
1898968,135701,136206
1903007,135982,136489
1912987,136690,137197
1914144,136777,137286
1917703,137025,137537
1922442,137361,137874
1928519,137791,138305
1935382,138278,138794
1942182,138748,139265
1952181,139456,139973
1959538,139966,140483
1966980,140479,140997
1975926,141112,141631
1981110,141463,141983
1986780,141861,142383
1989139,142031,142555
1994966,142441,142966
2001199,142870,143397
2005430,143168,143696
2011734,143621,144151
2018481,144090,144621
2025507,144584,145116
2035522,145286,145818
2042688,145806,146338
2047329,146133,146667
2049884,146316,146853
2053486,146577,147116
2059379,146997,147537
2064261,147340,147882
2071119,147821,148364
2081101,148533,149076
2088100,149028,149572
2096519,149626,150170
2101813,150002,150548
2111815,150726,151272
2118686,151202,151749
2128681,151905,152452
2138687,152604,153151
2145553,153090,153638
2150065,153403,153952
2153234,153617,154168
2157261,153896,154449
2163903,154347,154902
2173892,155039,155594
2180797,155519,156075
2185718,155864,156421
2191323,156263,156822
2196594,156627,157187
2201986,157011,157573
2208955,157507,158070
2215709,157982,158546
2223970,158571,159135
2229493,158960,159526
2236263,159444,160011
2241401,159809,160377
2246928,160186,160756
2253382,160634,161205
2257691,160932,161505
2261410,161196,161771
2268359,161687,162263
2272085,161949,162527
2276618,162266,162845
2282807,162691,163272
2292810,163394,163975
2298196,163763,164345
2300971,163965,164549
2305027,164246,164832
2309057,164529,165117
2313945,164884,165474
2321235,165402,165993
2328173,165877,166469
2334701,166334,166927
2338712,166622,167217
2341863,166843,167440
2349047,167359,167957
2356426,167886,168485
2363941,168415,169014
2371182,168925,169525
2376936,169336,169938
2383446,169802,170405
2387400,170083,170688
2397400,170788,171393
2404281,171267,171873
2408237,171546,172153
2414928,172017,172626
2418716,172292,172903
2423522,172643,173255
2429347,173055,173669
2434574,173415,174030
2439969,173794,174411
2443579,174058,174677
2453576,174783,175402
2463578,175488,176107
2473582,176178,176797
2475902,176342,176963
2481361,176725,177348
2488227,177201,177825
2498217,177901,178525
2507845,178588,179212
2509852,178733,179359
2512338,178911,179540
2519349,179414,180044
2526492,179928,180558
2533025,180377,181009
2539619,180827,181460
2546719,181332,181966
2553508,181815,182450
2560975,182327,182962
2564179,182558,183195
2570560,183014,183653
2574470,183293,183934
2581672,183808,184450
2588610,184280,184923
2595435,184766,185410
2599352,185041,185687
2607214,185584,186230
2613258,186018,186666
2617104,186278,186928
2627107,186987,187637
2631661,187313,187964
2633383,187433,188087
2637464,187726,188382
2642160,188059,188717
2649074,188541,189200
2655595,189013,189673
2661059,189401,190062
2669775,190019,190681
2676537,190501,191164
2685515,191144,191807
2692612,191644,192308
2697339,191976,192642
2702143,192318,192985
2708153,192740,193409
2715112,193241,193911
2725116,193955,194625
2731174,194379,195050
2739026,194911,195583
2746013,195398,196071
2752763,195868,196542
2762317,196541,197215
2769721,197069,197744
2776661,197551,198227
2783499,198027,198704
2787823,198333,199011
2791861,198609,199289
2795176,198843,199525
2804722,199524,200207
2807272,199698,200383
2812296,200044,200731
2814312,200188,200877
2816647,200346,201038
2823589,200832,201525
2833600,201553,202246
2840483,202060,202754
2844260,202337,203033
2850696,202784,203481
2855009,203089,203788
2861762,203562,204262
2865482,203826,204528
2868985,204077,204781
2872782,204335,205041
2876971,204632,205340
2883756,205103,205812
2888239,205413,206123
2893962,205822,206534
2896502,206000,206714
2899565,206208,206924
2905268,206613,207331
2910944,207019,207738
2918560,207551,208271
2919946,207649,208372
2923824,207914,208638
2930721,208406,209132
2937668,208897,209624
2944435,209376,210104
2951233,209861,210590
2961230,210573,211302
2969696,211166,211895
2974990,211537,212268
2980493,211922,212654
2984964,212247,212981
2989479,212567,213303
2996299,213045,213782
3003106,213523,214261
3010585,214047,214785
3016811,214482,215222
3024437,215011,215751
3026298,215143,215886
3031141,215491,216236
3037945,215979,216725
3042332,216290,217037
3051822,216950,217698
3060110,217524,218272
3065564,217911,218661
3069876,218205,218956
3076266,218657,219410
3083269,219163,219917
3091480,219753,220507
3096821,220119,220875
3103606,220607,221364
3108810,220973,221731
3112972,221262,222022
3119007,221685,222446
3127666,222294,223056
3133689,222713,223476
3138446,223048,223813
3145007,223506,224272
3148403,223750,224518
3148852,223781,224552
3153838,224125,224898
3158456,224456,225230
3162633,224750,225526
3166561,225033,225811
3168617,225178,225959
3175574,225669,226451
3182547,226166,226949
3187053,226475,227259
3193308,226930,227716
3200083,227413,228200
3203907,227681,228469
3210608,228149,228939
3220601,228847,229637
3226410,229255,230046
3234380,229830,230622
3241339,230321,231114
3245113,230576,231371
3249014,230851,231648
3259017,231545,232342
3264943,231968,232766
3269704,232303,233103
3275636,232736,233537
3280364,233057,233860
3287230,233539,234343
3290817,233786,234592
3298958,234361,235167
3304466,234748,235556
3311302,235236,236045
3315002,235490,236301
3319959,235836,236648
3323969,236121,236935
3331248,236637,237452
3336273,236986,237803
3340129,237254,238073
3347011,237737,238557
3348591,237849,238671
3355222,238340,239163
3358169,238548,239374
3361947,238811,239639
3368739,239283,240112
3375242,239737,240567
3379356,240029,240861
3383276,240313,241147
