sum_response_time,number_of_received_responses,number_of_sent_requests
1857279,132380,132869
1862032,132714,133205
1869546,133255,133747
1879538,133964,134456
1886323,134442,134935
1888524,134595,135090
1890989,134762,135260
1897951,135263,135762
1904868,135751,136251
1911522,136217,136718
1918652,136721,137223
1925631,137232,137735
1933729,137811,138314
1938553,138150,138655
1943497,138500,139006
1946396,138704,139213
1950264,138982,139493
1957238,139478,139990
1967237,140171,140683
1977234,140875,141387
1981048,141136,141650
1984866,141408,141924
1991787,141891,142408
1998705,142378,142896
2008532,143064,143582
2014210,143463,143982
2016187,143609,144131
2019967,143875,144399
2026962,144371,144896
2033786,144842,145368
2037322,145082,145610
2047318,145771,146299
2051030,146035,146565
2058017,146525,147056
2063024,146881,147413
2068698,147296,147830
2073433,147632,148167
2079081,148030,148567
2085058,148447,148985
2092907,149002,149541
2099702,149479,150019
2106487,149965,150506
2114639,150539,151080
2117302,150725,151269
2124165,151205,151750
2131023,151689,152235
2132858,151818,152366
2139216,152268,152817
2142374,152482,153034
2146302,152758,153312
2150438,153057,153612
2154218,153325,153882
2161520,153827,154385
2170610,154466,155025
2173018,154639,155200
2177110,154926,155489
2181007,155197,155762
2187190,155633,156199
2195599,156228,156795
2201465,156659,157227
2206072,156984,157554
2212978,157468,158039
2219940,157943,158515
2229957,158646,159218
2236886,159133,159706
2243060,159565,160139
2244586,159674,160251
2252660,160240,160817
2257061,160540,161119
2261885,160876,161457
2266541,161200,161782
2272375,161613,162197
2276081,161875,162461
2277950,162007,162595
2283648,162413,163003
2290459,162896,163487
2294080,163155,163748
2299061,163512,164106
2304729,163902,164498
2314732,164596,165192
2321599,165082,165679
2325495,165354,165953
2335349,166034,166633
2339111,166303,166904
2349110,167017,167618
2359114,167722,168323
2360111,167789,168392
2364134,168069,168674
2370402,168517,169124
2377503,169017,169625
2381937,169338,169947
2391116,169969,170579
2394046,170185,170797
2401734,170717,171330
2405515,170986,171601
2412528,171488,172103
2419268,171960,172577
2426223,172450,173068
2433150,172931,173550
2438626,173323,173943
2445255,173795,174416
2452079,174282,174904
2458772,174741,175364
2464754,175148,175772
2470979,175587,176213
2477878,176070,176697
2481801,176346,176975
2490502,176966,177595
2495503,177318,177949
2502432,177804,178436
2509820,178335,178967
2513147,178570,179205
2523140,179269,179904
2527035,179540,180177
2537042,180243,180880
2543972,180722,181360
2550773,181195,181834
2553330,181379,182020
2561417,181958,182600
2565971,182280,182923
2568904,182488,183134
2578917,183185,183831
2582645,183456,184104
2592654,184155,184803
2602651,184848,185496
2606877,185147,185796
2613297,185601,186252
2618866,185997,186649
2624031,186360,187014
2630910,186843,187498
2637650,187320,187976
2644640,187823,188480
2651512,188311,188969
2661516,189033,189691
2671514,189726,190384
2678271,190198,190857
2685108,190684,191344
2688747,190948,191610
2695338,191425,192088
2699608,191722,192387
2706541,192213,192879
2710893,192522,193189
2714075,192745,193415
2721004,193237,193908
2727960,193729,194401
2734620,194182,194855
2741625,194673,195347
2748447,195143,195818
2752099,195399,196076
2758937,195876,196554
2768946,196575,197253
2775781,197048,197727
2782573,197521,198201
2789535,198011,198692
2793195,198271,198954
2795244,198416,199101
2800885,198829,199515
2808262,199352,200039
2814696,199797,200486
2818463,200071,200762
2822052,200328,201021
2823026,200402,201098
2829849,200890,201587
2836610,201366,202064
2840356,201629,202329
2844880,201949,202650
2853991,202591,203293
2861518,203111,203813
2867856,203562,204266
2875174,204064,204768
2878998,204345,205051
2885452,204786,205494
2892424,205275,205984
2896139,205538,206249
2906150,206255,206966
2912949,206717,207429
2919759,207203,207916
2929762,207897,208610
2933361,208151,208866
2936942,208400,209117
2943928,208892,209610
2947716,209153,209873
2954411,209627,210348
2961397,210120,210842
2965623,210421,211144
2971931,210867,211592
2978873,211346,212072
2985622,211808,212535
2987376,211932,212661
2993121,212336,213067
3003116,213054,213785
3012245,213709,214440
3015012,213904,214637
3020575,214297,215032
3027507,214781,215517
3033497,215205,215942
3039743,215655,216393
3048072,216247,216986
3054226,216685,217425
3059358,217049,217790
3068128,217667,218409
3075742,218205,218948
3082592,218693,219437
3088308,219097,219842
3096225,219665,220411
3103052,220144,220891
3106777,220410,221159
3111750,220761,221511
3115456,221019,221771
3119495,221301,222055
3124764,221664,222420
3132750,222223,222979
3138467,222622,223380
3145432,223114,223873
3149202,223378,224139
3153939,223712,224474
3159757,224129,224893
3163577,224398,225164
3170353,224868,225635
3177170,225340,226108
3183945,225820,226589
3186623,225999,226770
3191473,226333,227106
3196096,226662,227436
3199153,226877,227654
3207128,227434,228211
3214314,227941,228719
3219800,228333,229113
3226769,228816,229597
3233345,229275,230057
3239104,229675,230458
3243286,229964,230749
3249602,230418,231204
3257995,231021,231808
3264766,231487,232275
3269814,231849,232638
3275459,232248,233039
3283330,232798,233589
3290402,233288,234080
3295915,233670,234464
3305913,234349,235143
3310342,234663,235458
3319643,235307,236103
3329646,236022,236818
3336436,236507,237304
3343273,236994,237792
3350090,237469,238268
3353844,237741,238542
3360670,238214,239016
3366699,238637,239440
3373121,239086,239890
3379617,239536,240341
3383401,239810,240617
3388863,240195,241004
3393270,240528,241338
3402781,241209,242020
3411319,241804,242615
3413772,241977,242790
3417041,242199,243015
3426870,242905,243721
3433901,243408,244225
3440714,243880,244698
3447650,244358,245177
3451409,244625,245446
3456758,245010,245832
3461973,245369,246193
3468938,245841,246666
3472699,246100,246926
3475058,246265,247094
3482956,246810,247640
3486979,247094,247926
3491976,247438,248271
3497704,247845,248680
3507687,248556,249391
3513286,248944,249780
3521326,249512,250349
3528286,250016,250854
3534723,250459,251298
3540274,250849,251689
3545739,251245,252087
3552273,251703,252546
3556180,251987,252832
3563293,252496,253342
3570254,252984,253831
3571664,253085,253934
3577474,253493,254344
3578700,253581,254434
3582543,253852,254707
3590891,254438,255294
3594606,254692,255550
3597503,254898,255758
3602401,255240,256102
3607444,255583,256447
3614254,256060,256925
3621237,256550,257416
3628219,257032,257899
3638222,257733,258600
3645155,258211,259079
3655161,258901,259769
3660962,259310,260179
3665707,259640,260511
3672512,260094,260966
3676716,260395,261268
3683176,260845,261720
3690978,261398,262273
3696935,261824,262701
3703684,262304,263182
3709663,262732,263611
3712525,262943,263824
3721100,263550,264432
3728075,264047,264930
3729185,264126,265011
3736367,264628,265514
3742466,265070,265958
3749430,265570,266459
3758893,266234,267123
3762815,266506,267397
3767189,266810,267703
3772873,267210,268104
3777642,267542,268438
3786588,268157,269053
3793395,268638,269535
3795281,268765,269665
3802097,269247,270148
3812090,269954,270855
3819039,270439,271341
3823658,270770,271673
3831918,271356,272260
3839785,271901,272806
3849779,272593,273498
3859299,273260,274165
3866697,273786,274692
3876694,274496,275402
3885424,275108,276014
3890453,275465,276373
3898811,276058,276966
3904240,276437,277347
3910978,276904,277815
3917764,277380,278292
3922280,277691,278604
3928138,278106,279021
3938138,278813,279728
3948146,279512,280427
3957324,280169,281084
3961876,280487,281404
3968821,280991,281909
3975708,281465,282384
3982547,281958,282878
3989485,282434,283355
3993197,282697,283620
4001769,283295,284218
4003619,283424,284350
4010590,283910,284837
4017555,284400,285328
4023782,284832,285761
4027891,285130,286061
4028966,285207,286141
4035878,285692,286627
4039740,285955,286892
4046686,286429,287367
4050554,286706,287646
4060547,287399,288339
4062456,287538,288480
4065325,287735,288680
4073743,288327,289272
4082193,288946,289892
4086060,289220,290168
4096061,289910,290858
4102908,290396,291345
4106629,290660,291611
4113514,291143,292095
4120454,291634,292587
4127312,292124,293078
4131074,292394,293350
4141075,293091,294047
4145427,293394,294351
4151304,293812,294771
4152185,293873,294835
4153776,293982,294946
4159808,294412,295378
4163360,294659,295627
4170594,295154,296122
4175855,295519,296489
4183017,296028,296999
4190999,296583,297555
4197960,297077,298050
4200546,297251,298226
4202359,297377,298355
4207734,297757,298736
4211482,298013,298994
4213306,298139,299123
4220129,298626,299611
4226703,299091,300077
4227631,299157,300146
4237365,299830,300819
4241452,300120,301111
4248459,300611,301603
4255403,301085,302078
4262232,301572,302566
4266052,301848,302844
4269526,302095,303093
4273767,302398,303398
4282373,302997,303997
