sum_response_time,number_of_received_responses,number_of_sent_requests
3918,276,278
8766,618,622
13408,946,952
17942,1259,1267
21595,1515,1525
28396,2021,2032
35021,2526,2538
37431,2712,2726
42582,3070,3086
47296,3410,3427
53242,3702,3721
55240,3845,3866
60849,4245,4268
63621,4451,4476
68253,4774,4801
75033,5253,5281
78860,5529,5559
83408,5848,5879
89517,6291,6324
96425,6807,6841
102578,7257,7292
108823,7689,7725
116401,8208,8245
120638,8515,8554
124357,8797,8838
129889,9218,9260
132466,9413,9457
141087,10055,10100
145517,10387,10434
155509,11119,11166
159153,11380,11429
161430,11540,11591
165183,11800,11853
173690,12376,12430
180666,12794,12849
187227,13249,13305
194509,13755,13812
198365,14031,14090
205179,14509,14569
209853,14849,14910
218988,15490,15552
225722,15957,16020
230996,16320,16384
236456,16699,16765
240031,16947,17015
246847,17432,17501
253656,17923,17993
258555,18273,18344
261292,18475,18549
271303,19221,19295
278273,19745,19820
281862,20009,20086
287116,20387,20465
292382,20789,20869
296193,21064,21146
303177,21575,21658
307095,21851,21935
310670,22116,22203
320669,22823,22910
327492,23334,23422
331757,23656,23745
334776,23875,23967
341676,24374,24467
348544,24859,24953
355492,25332,25427
357383,25468,25565
360102,25665,25764
364606,25985,26086
367674,26204,26308
371538,26480,26586
378333,26959,27066
385291,27436,27543
388887,27690,27799
392553,27946,28058
399348,28433,28546
402766,28672,28787
406725,28949,29066
413683,29440,29558
418335,29764,29883
423821,30155,30276
427897,30442,30565
434891,30937,31061
440091,31313,31438
443892,31586,31713
449387,31879,32008
455762,32337,32467
460025,32643,32775
463286,32879,33013
467902,33211,33346
471502,33469,33607
478633,33989,34127
485040,34467,34607
491928,34979,35120
495938,35267,35409
501316,35643,35787
502429,35725,35872
505763,35978,36127
510352,36324,36475
517255,36816,36968
524122,37301,37454
528368,37598,37752
532527,37895,38051
538392,38306,38464
543504,38671,38830
549052,39058,39219
559051,39743,39904
562932,40015,40177
569881,40508,40671
576504,40992,41157
584842,41615,41780
587013,41767,41935
593912,42239,42408
596529,42420,42591
596572,42423,42597
599088,42605,42782
602926,42910,43089
612932,43745,43924
621865,44488,44667
628034,45005,45185
632924,45341,45523
637201,45632,45816
644062,46117,46302
649715,46503,46689
654565,46838,47026
660118,47233,47422
664396,47534,47725
668970,47861,48054
673988,48230,48424
676415,48406,48603
684252,48960,49157
689757,49351,49550
694130,49662,49862
700958,50128,50330
703041,50280,50484
708475,50731,50937
717568,51492,51698
721543,51817,52025
729152,52346,52555
732233,52571,52782
735469,52804,53017
740440,53157,53372
746264,53571,53787
750244,53852,54070
757951,54413,54632
761897,54706,54927
765602,54992,55215
772553,55478,55702
778512,55907,56132
783296,56241,56468
791464,56851,57078
795218,57127,57356
800752,57545,57776
807585,58040,58272
814537,58558,58791
818370,58851,59085
825227,59346,59582
831945,59847,60084
835679,60123,60362
842605,60619,60859
850352,61157,61397
856318,61591,61833
866314,62292,62534
870166,62578,62822
873730,62832,63078
880686,63317,63564
886621,63727,63975
891632,64083,64333
893296,64202,64454
893745,64236,64491
900028,64697,64954
904939,65067,65325
909099,65365,65625
914300,65730,65992
918104,66016,66280
921801,66290,66556
928563,66799,67066
933475,67148,67416
940549,67634,67903
946202,68038,68309
953204,68526,68798
958356,68888,69161
962390,69202,69477
967367,69564,69841
971122,69834,70113
977913,70315,70595
985948,70906,71186
991842,71331,71613
996307,71656,71939
1002569,72086,72371
1005386,72282,72569
1009981,72613,72902
1013716,72880,73171
1017638,73161,73453
1021105,73414,73709
1031105,74134,74429
1035056,74412,74708
1038572,74676,74975
1043915,75086,75386
1052502,75740,76041
1059447,76261,76563
1067701,76828,77130
1073339,77225,77529
1076950,77479,77785
1080805,77751,78059
1090815,78448,78756
1097776,78933,79242
1104590,79408,79717
1106876,79572,79884
1111275,79895,80209
1115469,80201,80517
1117290,80346,80664
1120336,80548,80869
1128706,81130,81451
1134063,81494,81817
1140825,81969,82293
1144506,82230,82556
1154506,82932,83258
1161295,83419,83746
1168059,83899,84227
1177077,84542,84870
1184986,85107,85436
1194877,85815,86144
1198567,86075,86406
1202281,86327,86660
1209248,86817,87151
1214540,87192,87527
1219594,87547,87884
1226389,88033,88371
1233168,88497,88836
1239906,88959,89299
1245919,89385,89726
1250734,89736,90079
1254315,89993,90338
1258720,90287,90633
1264931,90718,91066
1270831,91133,91482
1272435,91254,91606
1279205,91722,92075
1282518,91954,92309
1283698,92038,92396
1290482,92525,92884
1297366,93009,93369
1307373,93693,94053
1311814,94005,94366
1318002,94463,94826
1324234,94931,95295
1328626,95266,95632
1335450,95775,96142
1342420,96284,96652
1349306,96772,97141
1356250,97259,97629
1363122,97759,98130
1363869,97810,98183
1370444,98281,98656
1380455,98998,99373
1386711,99423,99799
1389188,99602,99980
1394810,99997,100377
1401778,100471,100852
1408559,100948,101330
1415363,101428,101811
1425347,102140,102523
1432196,102623,103007
1437918,103016,103401
1445767,103576,103962
1455775,104259,104645
1464839,104902,105288
1468546,105171,105559
1473407,105518,105908
1480217,105997,106388
1483994,106257,106650
1490807,106732,107126
1497086,107182,107577
1504566,107705,108101
1508637,107991,108388
1515133,108455,108854
1518895,108712,109113
1524712,109114,109516
1527235,109285,109689
1536094,109919,110324
1542843,110394,110800
1549775,110885,111292
1556554,111355,111763
1560367,111622,112032
1567198,112104,112515
1574005,112578,112990
1577696,112840,113254
1584517,113326,113741
1587014,113499,113916
1595267,114071,114489
1602022,114549,114968
1608998,115035,115455
1615915,115520,115941
1622806,116002,116424
1629658,116488,116911
1639639,117183,117606
1645823,117621,118045
1647937,117772,118198
1653969,118203,118631
1660851,118683,119112
1670688,119398,119827
1674587,119672,120103
1684591,120392,120823
1691349,120867,121299
1698333,121356,121789
1708326,122045,122478
1715263,122539,122973
1725269,123236,123670
1731636,123688,124123
1736122,124010,124447
1739761,124259,124698
1746561,124746,125186
1753485,125225,125666
1760301,125710,126151
1764182,125980,126423
1771061,126455,126900
1781063,127163,127608
1784961,127449,127895
1791661,127919,128367
1798445,128401,128850
1805202,128890,129340
1809001,129157,129609
1817013,129715,130167
1819776,129919,130374
1823697,130202,130658
1825508,130324,130783
1831065,130719,131180
1838045,131225,131687
1844899,131703,132166
1851783,132177,132641
1861112,132836,133300
1865891,133166,133631
1875592,133830,134296
1882422,134306,134773
1888375,134731,135199
1892848,135044,135514
1902843,135746,136216
1907428,136061,136532
1913427,136487,136960
1917231,136757,137232
1922464,137127,137603
1927845,137507,137985
1931759,137782,138262
1938606,138257,138738
1942982,138566,139048
1945043,138706,139191
1949868,139057,139544
1956645,139532,140020
1960570,139804,140293
1964488,140084,140576
1974482,140780,141272
1981144,141249,141742
1983105,141382,141877
1991571,141983,142479
1997289,142387,142884
2005825,142977,143475
2011364,143376,143875
2019682,143935,144435
2025276,144336,144837
2031434,144773,145275
2032196,144826,145331
2038027,145237,145744
2044973,145723,146231
2049377,146031,146540
2052345,146237,146749
2059119,146721,147234
2064185,147065,147579
2069719,147453,147969
2073514,147718,148236
2083503,148435,148953
2087147,148690,149210
2091083,148971,149493
2098836,149539,150061
2102161,149779,150303
2108130,150202,150728
2109050,150267,150796
2112884,150538,151069
2116430,150779,151312
2123278,151271,151805
2126991,151541,152077
2133919,152029,152566
2140794,152514,153052
2144586,152788,153328
2150063,153162,153703
2155107,153529,154072
2162786,154065,154608
2169033,154502,155047
2175816,154976,155522
2185806,155663,156209
2192736,156152,156699
