sum_response_time,number_of_received_responses,number_of_sent_requests
9990,691,692
16807,1166,1168
26812,1864,1866
33260,2321,2324
37553,2621,2626
39671,2782,2789
44971,3163,3172
51617,3658,3668
57875,4109,4120
65571,4697,4709
69386,4990,5004
73452,5269,5284
80182,5750,5767
87078,6262,6280
91022,6537,6556
94851,6805,6827
104510,7483,7505
111834,7996,8019
117565,8406,8430
119359,8541,8568
126253,9054,9082
132713,9495,9524
135899,9712,9743
143456,10263,10295
148335,10626,10659
151683,10878,10913
158128,11344,11381
162079,11643,11682
172073,12378,12417
182069,13114,13153
188838,13601,13641
193898,13955,13996
202487,14550,14592
209283,15024,15067
216270,15495,15539
223091,15986,16031
230079,16473,16519
237032,16968,17015
243908,17445,17493
253918,18151,18199
257828,18420,18470
267828,19108,19158
274787,19606,19657
281547,20080,20132
288389,20551,20604
298382,21256,21309
308389,21983,22036
312143,22252,22307
319022,22762,22818
322980,23058,23116
328859,23496,23555
333599,23841,23902
340361,24326,24388
347165,24841,24904
351079,25115,25179
357863,25608,25674
364828,26111,26178
368596,26386,26455
372308,26643,26714
375957,26916,26989
379664,27194,27269
383519,27490,27567
388577,27856,27934
391813,28075,28155
397395,28458,28540
401705,28778,28862
405291,29036,29122
409416,29325,29412
414066,29658,29747
420465,30120,30210
426720,30558,30650
436578,31233,31325
439990,31480,31574
443930,31756,31852
450827,32243,32340
454795,32521,32620
458636,32783,32884
459474,32843,32946
468291,33347,33451
472632,33650,33756
476794,33941,34049
483538,34419,34528
484507,34492,34603
486318,34623,34737
494714,35208,35323
501053,35664,35780
508450,36184,36301
514690,36640,36758
516183,36743,36864
522986,37233,37355
529772,37729,37852
539572,38458,38581
543323,38743,38868
550005,39221,39347
552423,39398,39526
556923,39720,39850
560255,39960,40092
561910,40075,40210
566072,40368,40504
572541,40818,40956
576375,41080,41220
580681,41387,41528
583982,41615,41758
588723,41957,42102
594226,42337,42484
602531,42892,43039
604914,43065,43214
611682,43539,43690
615380,43809,43962
622204,44302,44456
632201,45005,45159
635977,45273,45429
641665,45670,45827
643637,45834,45994
644434,45888,46050
651305,46408,46571
654949,46714,46880
662966,47385,47551
666175,47655,47823
672025,48054,48224
677214,48423,48594
683292,48835,49008
690153,49299,49473
693711,49556,49732
700495,50038,50215
709447,50661,50838
715097,51060,51238
717922,51267,51448
720236,51434,51617
725166,51780,51965
733765,52388,52573
738990,52758,52945
745901,53226,53414
750926,53589,53778
756480,54052,54243
760319,54377,54570
767278,54941,55135
773784,55400,55595
778200,55722,55919
788197,56423,56620
793561,56787,56985
798741,57153,57353
802649,57432,57634
806409,57709,57913
813365,58206,58411
817090,58493,58700
822082,58849,59057
824632,59031,59242
834638,59735,59946
841617,60250,60462
846833,60636,60849
850045,60883,61098
859269,61545,61761
869266,62296,62512
872551,62546,62764
879778,63069,63288
886532,63572,63792
896537,64279,64499
904403,64842,65062
911651,65349,65570
915538,65625,65848
920535,65974,66199
922403,66099,66326
927366,66460,66689
928571,66543,66775
933164,66860,67094
940014,67359,67594
946949,67873,68109
948253,67973,68211
954389,68423,68663
961842,68987,69227
967503,69398,69640
972206,69730,69974
979039,70237,70482
985959,70754,71000
992958,71275,71522
997867,71619,71867
1004025,72046,72295
1010355,72502,72753
1016004,72899,73151
1021206,73280,73534
1028019,73809,74064
1034626,74291,74547
1035873,74376,74634
1045346,75054,75313
1052291,75559,75819
1059095,76047,76308
1065953,76542,76804
1069709,76803,77067
1073574,77077,77343
1081533,77631,77897
1084783,77861,78129
1088262,78109,78379
1093476,78500,78772
1099765,78954,79227
1105186,79345,79620
1110585,79738,80014
1117166,80233,80510
1122811,80668,80947
1128096,81069,81349
1130303,81225,81508
1134265,81497,81782
1141023,81967,82253
1145035,82267,82554
1147781,82461,82751
1152331,82777,83069
1162325,83476,83768
1172320,84171,84463
1175224,84368,84662
1180019,84705,85001
1183898,84981,85279
1189597,85368,85667
1195759,85798,86098
1203167,86308,86609
1208110,86651,86954
