sum_response_time,number_of_received_responses,number_of_sent_requests
9982,693,694
16766,1168,1170
23370,1628,1631
27140,1890,1895
30350,2125,2132
32690,2295,2304
38619,2733,2744
39319,2782,2796
46251,3267,3282
49806,3528,3545
51919,3672,3691
55803,3939,3960
64537,4569,4591
73100,5199,5221
78338,5565,5589
85255,6052,6077
88992,6316,6343
95845,6793,6821
102686,7290,7319
107495,7650,7680
111342,7931,7963
120466,8568,8601
124112,8826,8861
131014,9330,9366
137828,9851,9888
147627,10594,10631
154121,11080,11118
158607,11409,11448
165279,11898,11939
172150,12403,12445
179281,12915,12957
186014,13391,13435
192780,13870,13915
199608,14333,14379
206600,14809,14856
210276,15080,15129
220290,15777,15826
224241,16053,16104
229345,16419,16471
234952,16818,16872
238684,17085,17141
242236,17335,17393
247508,17710,17769
255466,18265,18325
256758,18357,18420
257442,18406,18472
264434,18905,18972
268883,19229,19297
278184,19897,19966
281930,20181,20252
291925,20924,20995
295980,21229,21301
302764,21717,21791
306523,21996,22072
310094,22246,22324
312110,22388,22468
317393,22780,22862
321246,23196,23280
324992,23454,23540
331862,23961,24048
338796,24468,24556
342520,24745,24835
352523,25469,25559
359352,25955,26046
363931,26274,26366
370043,26713,26807
373850,26983,27079
377939,27277,27374
382565,27603,27702
385934,27844,27945
388939,28064,28168
396056,28544,28649
406043,29266,29371
412943,29745,29851
419744,30226,30332
423619,30497,30606
424797,30583,30694
430683,30995,31108
434845,31282,31397
438319,31527,31644
445564,32032,32150
449911,32338,32457
456176,32768,32889
466178,33460,33581
473168,33963,34085
479124,34388,34511
483776,34709,34834
490744,35215,35341
497499,35700,35827
501189,35961,36090
506362,36346,36476
511691,36735,36867
515539,37025,37159
525501,37735,37869
528134,37926,38062
536387,38535,38672
543178,39040,39178
550158,39557,39696
554100,39830,39971
561071,40308,40449
570941,40988,41130
574704,41261,41405
580905,41688,41833
585321,42002,42149
592186,42489,42637
596170,42764,42914
600536,43076,43227
603488,43281,43435
608671,43670,43825
614839,44137,44293
622017,44638,44795
631055,45269,45427
639277,45845,46003
642408,46093,46253
651734,46774,46935
655550,47080,47243
659347,47397,47562
663103,47710,47877
668667,48176,48344
673227,48489,48659
674346,48567,48740
676160,48692,48867
685373,49321,49497
692316,49810,49987
696056,50073,50252
702848,50554,50734
706543,50805,50987
710106,51065,51249
711799,51186,51372
717142,51576,51764
721033,51852,52042
726272,52216,52407
731843,52589,52782
738749,53108,53302
746275,53735,53929
751550,54178,54374
