sum_response_time,number_of_received_responses,number_of_sent_requests
3895,273,276
7648,540,545
17642,1235,1240
24546,1722,1728
30476,2139,2146
33827,2389,2398
35636,2523,2534
40539,2890,2903
43035,3058,3073
48775,3497,3514
53557,3856,3875
57400,4124,4145
61120,4393,4416
71119,5124,5147
73874,5311,5336
78637,5644,5671
82527,5923,5952
87011,6236,6266
91962,6593,6625
96818,6963,6997
104374,7526,7560
110599,7958,7994
117379,8438,8475
124280,8948,8986
132066,9536,9574
141258,10227,10266
145619,10552,10592
152080,11035,11077
162065,11769,11811
165788,12043,12087
169449,12301,12347
171037,12416,12464
173540,12599,12650
177936,12901,12953
182512,13205,13259
185448,13399,13455
194856,14056,14113
199131,14369,14428
203082,14651,14712
206838,14921,14984
216837,15623,15686
226784,16314,16377
230745,16599,16663
231791,16670,16737
238118,17106,17175
245050,17600,17670
252041,18108,18179
253522,18214,18287
260235,18690,18764
266498,19158,19234
273356,19677,19754
283352,20421,20498
288498,20796,20874
293892,21204,21284
297154,21446,21528
301277,21748,21832
305110,22036,22121
306787,22156,22244
309756,22365,22456
316553,22886,22978
323306,23394,23487
330544,23926,24019
335296,24272,24367
343811,24868,24964
348415,25190,25287
352262,25458,25557
361595,26124,26224
363548,26260,26362
367773,26561,26665
369873,26710,26817
379874,27409,27516
383511,27671,27780
386867,27919,28030
389582,28106,28219
391514,28245,28361
396024,28560,28677
400203,28855,28974
405881,29253,29374
412662,29726,29848
419226,30193,30316
423477,30481,30605
427947,30800,30926
430581,30994,31123
435491,31324,31454
437662,31475,31608
441690,31764,31899
444608,31974,32111
449034,32296,32435
455789,32779,32919
465338,33464,33604
472749,34025,34166
479506,34519,34661
483202,34795,34939
486860,35063,35209
489403,35248,35396
494481,35624,35774
498165,35895,36047
504988,36408,36561
511938,36903,37057
518805,37380,37535
528789,38059,38214
535756,38546,38702
542644,39028,39185
547753,39398,39556
553436,39802,39961
561752,40361,40521
564592,40564,40726
567784,40789,40953
570193,40963,41130
