sum_response_time,number_of_received_responses,number_of_sent_requests
6787,472,474
10431,723,727
14130,979,985
21041,1461,1468
24659,1710,1719
28419,1986,1997
35274,2499,2511
43327,3106,3118
49002,3514,3528
55998,4031,4046
59297,4286,4303
66727,4816,4834
71391,5148,5167
79679,5751,5771
85904,6172,6193
93623,6707,6729
98116,7026,7050
104860,7497,7522
111601,7984,8010
115602,8294,8322
122549,8807,8836
132534,9505,9534
139324,9975,10005
146304,10489,10520
150915,10834,10866
156944,11290,11324
163898,11815,11850
173887,12562,12597
177285,12800,12837
181890,13137,13175
185350,13390,13431
190555,13752,13794
199087,14346,14389
202718,14589,14634
206014,14765,14812
213319,15271,15319
220780,15788,15836
228080,16319,16368
233849,16714,16765
236449,16897,16950
244858,17479,17533
250667,17879,17934
254739,18170,18227
258605,18445,18504
262628,18729,18790
268905,19179,19241
273397,19501,19564
280190,19997,20062
289605,20674,20739
297135,21233,21299
302228,21603,21670
311066,22259,22327
314700,22521,22591
321661,23050,23121
325429,23316,23389
329294,23598,23673
336063,24089,24165
340660,24409,24486
343465,24597,24677
351547,25199,25279
354070,25392,25475
364066,26138,26221
367778,26406,26491
374596,26883,26969
384603,27567,27653
386110,27674,27762
390328,27979,28069
396101,28396,28488
401170,28755,28848
404294,28981,29076
410436,29413,29510
413912,29657,29756
417785,29933,30034
421890,30224,30327
425810,30506,30611
429385,30748,30855
430398,30819,30929
437170,31295,31406
442417,31663,31775
447881,32050,32164
454829,32532,32647
459478,32863,32979
463774,33153,33271
469301,33535,33655
479299,34474,34594
482460,34703,34825
489379,35194,35317
493108,35473,35598
497709,35804,35931
505552,36367,36494
510583,36743,36872
514818,37049,37180
518681,37341,37474
523727,37699,37833
527522,37968,38104
529484,38113,38252
532687,38347,38488
536436,38631,38774
541475,38989,39133
544569,39208,39354
551810,39706,39853
557974,40150,40299
562536,40471,40621
568549,40897,41049
575404,41373,41526
582162,41834,41988
585953,42099,42254
594411,42704,42860
599541,43088,43246
606304,43578,43737
613178,44059,44219
619676,44510,44671
622204,44689,44852
622654,44716,44882
625167,44896,45065
628759,45092,45263
629581,45162,45336
633645,45499,45675
640431,46038,46215
647187,46495,46673
654009,46968,47147
664001,47665,47844
667580,47906,48087
672248,48242,48424
676956,48572,48756
685176,49142,49327
689622,49456,49642
698912,50146,50333
702905,50428,50616
709371,50880,51070
719374,51595,51785
723193,51865,52057
730145,52341,52534
735253,52710,52904
738175,52958,53154
744383,53476,53674
749619,53916,54115
756441,54386,54586
761091,54724,54926
765696,55044,55248
772646,55522,55727
778665,55950,56156
780294,56065,56273
783646,56311,56522
787597,56590,56803
794415,57113,57327
801201,57590,57805
807996,58079,58295
811818,58348,58566
818753,58858,59077
827068,59470,59689
832661,59873,60094
836558,60151,60374
846556,60903,61126
850359,61180,61405
853324,61404,61631
857445,61705,61934
860129,61888,62119
865420,62258,62491
874209,62875,63108
877103,63079,63314
880898,63344,63581
883570,63546,63786
886023,63722,63964
891100,64067,64311
894929,64333,64579
899394,64652,64899
902596,64883,65133
905153,65090,65342
909954,65445,65699
911357,65553,65809
920835,66224,66481
927778,66710,66968
934539,67205,67464
935423,67269,67531
939268,67553,67817
940666,67654,67920
947332,68117,68384
950707,68357,68627
957630,68839,69110
966321,69465,69736
971211,69845,70118
978142,70347,70621
988136,71058,71332
995134,71559,71834
