sum_response_time,number_of_received_responses,number_of_sent_requests
4747,331,333
10215,722,726
17763,1244,1249
27756,1949,1954
34460,2435,2441
36785,2615,2623
41732,2987,2997
48641,3509,3520
52379,3767,3780
57141,4116,4130
60032,4338,4355
63664,4599,4618
69141,5002,5022
74330,5372,5394
78233,5645,5669
85000,6116,6141
88738,6387,6414
89544,6444,6474
96531,6947,6978
103518,7482,7514
108241,7829,7862
114124,8239,8274
119849,8634,8670
127726,9211,9248
131460,9496,9535
135365,9793,9834
139208,10077,10119
145929,10582,10626
152753,11080,11125
156369,11348,11395
160266,11631,11679
164893,11963,12013
167672,12158,12211
171218,12404,12459
177728,12847,12903
184523,13313,13370
188710,13609,13668
192764,13899,13959
197793,14256,14318
203150,14636,14700
210123,15126,15191
215083,15467,15533
219283,15761,15829
227083,16304,16373
234528,16815,16885
244534,17532,17602
248425,17808,17879
251139,18006,18080
255631,18330,18406
262375,18841,18918
265270,19056,19135
269903,19400,19481
277053,19925,20006
279846,20134,20218
284001,20417,20503
293993,21142,21228
297755,21411,21498
301349,21657,21746
309672,22241,22331
316187,22726,22817
321891,23145,23238
328452,23638,23732
330899,23814,23910
339425,24412,24509
344906,24794,24892
350189,25173,25273
351310,25257,25359
357862,25729,25833
359467,25854,25960
368335,26490,26597
375061,26958,27066
379007,27218,27327
385626,27706,27817
386024,27734,27848
387563,27845,27961
396650,28477,28594
401531,28810,28928
410785,29455,29574
417577,29926,30046
420415,30137,30259
428182,30679,30802
432951,31018,31142
438514,31394,31520
442506,31664,31792
446394,31940,32070
451831,32335,32466
460198,32930,33062
464078,33210,33344
468555,33532,33667
474024,33928,34065
478234,34241,34380
482199,34534,34674
486556,34858,35000
491504,35206,35350
498231,35681,35826
506238,36264,36410
513030,36777,36924
518864,37217,37365
523582,37553,37703
533584,38257,38407
535888,38425,38577
538668,38625,38779
544713,39048,39204
549400,39379,39536
554678,39750,39909
562076,40263,40423
570615,40871,41031
572828,41024,41187
579622,41519,41683
583185,41790,41956
590104,42280,42447
596853,42740,42908
601710,43081,43250
602355,43132,43304
605602,43376,43551
609314,43678,43855
613199,44004,44183
622087,44749,44928
626913,45145,45326
632125,45503,45685
634352,45653,45838
641211,46125,46311
648150,46591,46778
654981,47074,47262
658703,47337,47527
668702,48025,48215
677498,48651,48841
682114,48996,49188
684796,49188,49382
690628,49598,49793
695103,49915,50112
701301,50350,50548
707225,50748,50948
711036,51036,51238
717203,51548,51751
721792,51933,52138
728761,52494,52700
738757,53192,53398
745641,53695,53902
748182,53878,54087
753999,54289,54499
759061,54646,54858
763524,54954,55168
768905,55343,55558
772185,55573,55790
774365,55740,55960
778536,56030,56252
788536,56740,56962
795309,57217,57440
800397,57594,57818
806041,58019,58245
812836,58535,58762
817425,58876,59104
818483,58957,59188
821992,59223,59456
825565,59493,59728
828794,59722,59960
832621,59994,60233
839195,60457,60698
849192,61159,61400
855978,61647,61889
861751,62041,62284
869787,62604,62848
876581,63084,63329
883375,63559,63805
893368,64259,64505
902320,64897,65143
904885,65092,65340
907931,65327,65578
917932,66076,66327
924765,66596,66848
931719,67095,67348
941719,67788,68041
945900,68092,68346
951809,68538,68794
953019,68626,68885
954761,68748,69009
963830,69378,69640
970615,69859,70122
977145,70315,70579
981041,70596,70862
984830,70894,71162
991684,71395,71664
995311,71647,71918
999714,71966,72238
1005890,72433,72707
