sum_response_time,number_of_received_responses,number_of_sent_requests
4634,327,329
10574,739,743
14526,1029,1035
21440,1510,1517
26867,1883,1891
31846,2246,2256
35561,2528,2539
42284,3023,3036
46225,3311,3326
51292,3685,3701
53801,3879,3898
60567,4358,4378
65941,4741,4762
71123,5111,5134
79578,5691,5714
84858,6059,6084
91645,6539,6565
97734,6959,6986
99133,7066,7096
106085,7598,7629
113030,8103,8135
117866,8438,8471
124612,8899,8933
129272,9237,9273
137475,9863,9900
144245,10375,10413
148608,10691,10730
153949,11095,11136
158658,11444,11487
162276,11712,11757
166338,12013,12059
169969,12274,12323
176878,12761,12811
180502,12997,13049
187479,13471,13524
194386,13950,14004
197609,14180,14236
201845,14495,14553
205840,14776,14836
209606,15045,15107
218128,15641,15703
225885,16186,16249
228278,16358,16423
233977,16758,16825
240777,17233,17301
250772,17945,18013
254540,18206,18275
258119,18460,18532
264905,18943,19016
274898,19688,19761
278824,19978,20053
282909,20284,20360
287916,20658,20736
293043,21050,21130
297006,21312,21394
303765,21801,21884
307770,22090,22174
312597,22426,22512
317933,22802,22890
324879,23323,23412
331776,23829,23919
338703,24337,24428
345650,24845,24937
352414,25327,25420
353920,25435,25530
354638,25486,25584
358078,25734,25834
361701,25987,26089
365523,26257,26362
372518,26766,26872
376237,27028,27136
383034,27492,27601
386734,27758,27869
390457,28011,28124
394417,28283,28397
398599,28576,28692
406209,29103,29220
408508,29262,29382
415420,29814,29935
424976,30487,30608
429269,30788,30911
433202,31061,31186
436992,31331,31458
441893,31662,31790
447324,32037,32167
454115,32521,32652
464124,33234,33365
474119,33957,34088
480892,34441,34573
490367,35126,35258
494800,35460,35594
498410,35723,35859
504671,36186,36323
506447,36306,36445
511264,36646,36787
516745,37049,37192
520072,37298,37443
524272,37613,37760
528047,37883,38032
531662,38142,38293
541668,38830,38981
551661,39539,39690
555369,39807,39960
563624,40392,40545
569857,40839,40993
576077,41280,41436
580390,41576,41733
585156,41915,42074
590177,42286,42447
600178,43020,43181
610163,43720,43881
619192,44348,44509
621731,44529,44692
622383,44579,44745
628414,45007,45175
632233,45315,45485
636059,45633,45805
641990,46128,46301
646606,46489,46664
653454,46964,47140
659392,47387,47564
663860,47699,47878
666972,47905,48086
673120,48333,48515
681644,48927,49110
691646,49618,49801
695512,49892,50076
702137,50378,50564
706065,50660,50848
714023,51213,51401
719171,51579,51769
726527,52103,52294
733492,52578,52770
743502,53318,53510
747468,53653,53846
754439,54237,54432
756323,54395,54592
758385,54544,54744
762693,54863,55065
772689,55565,55767
782690,56265,56467
789685,56762,56965
796020,57198,57402
802021,57637,57842
807910,58054,58260
813674,58498,58706
821019,59006,59215
827086,59434,59644
831371,59732,59944
835727,60057,60271
842623,60571,60786
846873,60868,61084
847679,60925,61144
853829,61385,61606
861397,61958,62179
866720,62358,62581
870860,62659,62884
871895,62730,62958
878920,63235,63464
888916,63938,64167
895707,64429,64659
900532,64769,65000
906643,65209,65442
913437,65689,65923
917195,65961,66197
927186,66656,66892
933966,67142,67379
937765,67425,67664
939097,67525,67766
947848,68184,68426
953063,68573,68816
955733,68767,69013
959254,69015,69263
966205,69522,69771
969798,69785,70036
971296,69899,70152
975359,70175,70430
981425,70599,70856
985110,70866,71125
988632,71110,71371
995273,71594,71856
998683,71861,72125
1000251,71979,72246
1010256,72698,72965
1017063,73180,73448
1023808,73672,73941
1027514,73937,74208
1031738,74245,74517
1036987,74610,74884
1045014,75184,75459
1050636,75581,75857
1058656,76154,76431
1062623,76440,76718
1069474,76940,77220
1074648,77310,77591
1077349,77504,77787
1082514,77886,78171
1085795,78129,78416
1088384,78320,78610
1095387,78844,79135
1105394,79532,79823
1109009,79785,80078
1115998,80270,80564
1118329,80440,80736
1122575,80727,81025
1130350,81265,81564
1137130,81730,82030
1145621,82321,82621
1150735,82687,82989
1157598,83177,83480
1160537,83391,83696
1165220,83713,84020
1172855,84241,84548
1180775,84788,85096
1182878,84936,85247
1188261,85311,85623
1193799,85697,86010
1200499,86186,86501
1207921,86724,87039
1210816,86935,87253
1211621,86990,87311
1212649,87065,87388
1219296,87541,87866
1226258,88019,88344
1233093,88505,88832
1239846,88981,89309
1243440,89235,89565
1250216,89695,90026
1256322,90113,90445
1260112,90372,90706
1261460,90475,90812
1264315,90684,91023
1271131,91158,91498
1272919,91275,91618
1275869,91481,91826
1278611,91674,92021
1280903,91843,92193
1284710,92100,92452
1288772,92365,92718
1292444,92627,92983
1299215,93123,93480
1305793,93597,93955
1307407,93708,94068
1313685,94160,94522
1317226,94411,94775
1327025,95143,95507
1327787,95200,95567
1331651,95492,95861
1338419,95990,96360
1342099,96253,96625
1349044,96741,97114
1351720,96930,97305
1356250,97259,97636
1363957,97797,98174
1366758,98002,98382
1367848,98079,98461
1377455,98750,99133
1381904,99056,99440
1388446,99508,99893
1391791,99752,100139
1401723,100447,100835
1404029,100608,100998
1407668,100863,101255
1412845,101218,101612
1417592,101551,101946
1426575,102166,102562
1433578,102655,103052
1443577,103374,103771
1448277,103718,104116
1451457,103943,104343
1457798,104391,104793
1467801,105080,105482
1474753,105581,105984
1478441,105846,106251
1485205,106320,106726
1495206,107036,107442
1499537,107348,107755
1504560,107697,108106
1509497,108039,108450
1513209,108304,108717
1520023,108782,109196
1530004,109486,109900
1535295,109865,110280
1538667,110095,110512
1542998,110400,110819
1545163,110551,110973
1548805,110805,111229
1558802,111518,111942
1562800,111799,112224
1569335,112255,112682
1573634,112561,112989
1579899,112996,113426
1584717,113342,113773
1592977,113915,114347
1597556,114233,114667
1601270,114488,114924
1605009,114745,115183
1611876,115233,115672
1618859,115731,116170
1628345,116394,116834
1632560,116702,117144
1639397,117176,117619
1640611,117262,117707
1643789,117490,117938
1647591,117757,118207
1657552,118449,118899
1661238,118715,119167
1663157,118846,119300
1667974,119195,119651
1672548,119518,119976
1681724,120152,120610
1688397,120612,121071
1696343,121157,121617
1701078,121494,121955
1707260,121920,122382
1709830,122101,122566
1717581,122643,123109
