sum_response_time,number_of_received_responses,number_of_sent_requests
6932,476,478
13753,954,957
20546,1422,1426
27342,1910,1915
37221,2601,2606
41999,2959,2965
47968,3409,3417
54961,3924,3933
61931,4427,4437
65596,4693,4705
69672,4970,4984
73361,5235,5251
77162,5507,5525
84127,6010,6029
94124,6696,6715
101025,7176,7196
104062,7389,7411
108751,7714,7738
112451,7990,8016
118824,8466,8493
126145,9003,9031
129711,9251,9281
133427,9506,9538
140412,10022,10055
145089,10374,10408
153553,11016,11051
160631,11540,11576
161883,11634,11673
168836,12139,12179
172436,12408,12450
179426,12914,12957
183092,13171,13216
187016,13454,13501
193684,13906,13954
200710,14386,14435
202942,14543,14594
207568,14863,14916
212265,15208,15262
218057,15627,15683
222541,15940,15998
226377,16207,16267
233124,16679,16740
236718,16936,16999
238828,17079,17144
244395,17462,17529
254410,18188,18255
259617,18548,18616
264476,18910,18980
271405,19416,19487
275760,19736,19809
280168,20066,20140
289519,20756,20831
293170,21017,21094
299944,21524,21602
303774,21812,21891
307519,22088,22170
314424,22590,22673
321221,23071,23155
323274,23212,23298
328798,23629,23716
332443,23902,23992
339240,24414,24505
346111,24910,25002
349862,25179,25273
354199,25484,25579
355145,25552,25650
361407,26001,26101
368282,26500,26601
370201,26641,26744
375569,27028,27133
379663,27314,27421
384058,27619,27727
386850,27813,27923
393565,28278,28390
397284,28543,28657
401693,28846,28961
403125,28948,29066
406568,29191,29311
414361,29610,29731
417688,29842,29965
418970,29935,30061
421245,30098,30226
427050,30506,30636
430783,30767,30899
437724,31260,31393
441445,31524,31659
448428,32033,32169
452202,32301,32439
453592,32403,32543
459907,32855,32996
465748,33289,33432
469414,33556,33701
473844,33880,34027
477465,34133,34282
486200,34748,34897
491454,35134,35285
496155,35493,35645
501772,35920,36074
505581,36193,36349
515583,36891,37047
518904,37118,37276
526244,37637,37796
533171,38119,38279
535186,38262,38424
543837,38864,39027
550834,39339,39503
554613,39606,39772
559323,39934,40101
565260,40378,40547
572102,40880,41050
582097,41578,41748
589059,42072,42243
594841,42473,42645
594852,42474,42649
600562,42886,43062
604253,43165,43343
605002,43227,43409
614998,44062,44244
621973,44620,44803
631967,45298,45481
637319,45674,45858
642665,46052,46238
646507,46318,46506
651192,46656,46845
654044,46857,47049
660986,47341,47534
667895,47824,48018
674799,48331,48526
681642,48823,49019
687101,49204,49401
691812,49541,49740
697378,49935,50135
705977,50524,50725
712820,51039,51241
719596,51605,51808
723349,51920,52125
729460,52429,52635
734070,52745,52953
738723,53088,53297
744625,53504,53715
748418,53764,53977
754426,54191,54405
755874,54291,54508
762857,54791,55009
769968,55290,55508
776723,55808,56028
780357,56067,56289
787312,56571,56794
794301,57054,57278
800431,57507,57732
808043,58075,58301
814985,58581,58808
819379,58894,59122
825598,59361,59590
830701,59746,59977
835344,60098,60331
842125,60598,60832
846678,61000,61236
853676,61501,61738
860450,61979,62217
865661,62346,62585
868576,62542,62783
877903,63211,63453
884429,63678,63921
885423,63748,63994
895405,64448,64694
902398,64938,65185
903975,65049,65298
908618,65408,65659
912167,65671,65924
920857,66330,66584
927624,66813,67068
936702,67445,67700
941253,67785,68042
947655,68264,68522
951969,68589,68849
955696,68848,69110
959311,69104,69368
966112,69598,69863
969878,69859,70126
975322,70247,70515
980385,70640,70910
983859,70891,71163
987905,71181,71455
995166,71699,71973
1001818,72185,72461
1011826,72906,73182
1021817,73637,73913
1027313,74017,74294
1031104,74280,74559
1036008,74631,74912
1042916,75124,75406
1049839,75625,75908
1056585,76116,76400
1064802,76712,76996
1070158,77099,77385
1072543,77266,77554
1077833,77652,77942
1081731,77950,78242
1088607,78477,78770
1098517,79157,79450
1101928,79401,79696
1106245,79703,80000
1113489,80233,80530
1120231,80705,81004
1127181,81190,81490
1132461,81561,81862
1137910,81945,82248
1142699,82282,82586
1148360,82691,82997
1155334,83189,83496
1160285,83523,83831
1162815,83700,84011
1171602,84309,84620
1178950,84832,85144
1183334,85136,85450
1190265,85627,85942
1196280,86072,86388
1200608,86389,86707
1204553,86668,86988
1208485,86936,87258
1215434,87427,87750
1219111,87685,88010
1222337,87914,88241
1229296,88423,88751
1236831,88954,89283
1243699,89430,89760
1249548,89846,90177
1251256,89965,90299
1257839,90416,90751
1260600,90609,90946
1263505,90812,91151
1268234,91143,91484
1272723,91451,91794
1278060,91833,92177
1284933,92314,92659
1286081,92401,92749
1291058,92743,93093
1294941,92910,93262
1298905,93182,93536
1306079,93703,94057
1309433,93944,94301
1316423,94424,94782
1323388,94921,95280
1329979,95396,95756
1334275,95713,96075
1341110,96244,96607
1348060,96762,97126
1355040,97271,97636
1362021,97764,98130
1368972,98254,98621
1373016,98547,98915
1382770,99244,99613
1389988,99744,100113
1396477,100215,100586
1403473,100699,101071
1407363,100973,101347
1414211,101445,101820
1424213,102122,102497
1430966,102609,102985
1434584,102871,103249
1438220,103131,103511
1443560,103502,103883
1448060,103826,104209
1451563,104070,104455
1458836,104565,104951
1461495,104753,105141
1470205,105386,105775
1480203,106113,106502
1483954,106372,106763
1493947,107076,107467
1499136,107436,107828
1500716,107548,107943
1504161,107783,108180
1512207,108359,108757
1522219,109071,109469
1529210,109563,109962
1535122,109976,110376
1539968,110304,110706
1546879,110800,111203
1556893,111508,111911
1563733,111990,112394
1567278,112241,112647
1574274,112737,113144
1577843,112986,113395
1584117,113414,113824
1590644,113868,114279
1595206,114193,114606
1602185,114688,115102
1609072,115162,115577
1616012,115666,116082
1622801,116143,116560
1632797,116845,117262
1639661,117323,117741
1646450,117814,118233
1652624,118253,118673
1659574,118756,119177
1663758,119053,119476
1670586,119535,119959
1677384,120002,120427
1678200,120064,120492
1684813,120535,120964
1689491,120866,121296
1692921,121103,121536
1699586,121569,122003
1703570,121843,122279
1711994,122429,122865
1715474,122678,123116
1719757,122983,123423
1721628,123116,123559
1730934,123761,124204
1737607,124232,124676
1737938,124256,124703
1740074,124406,124855
1743926,124672,125124
1747670,124933,125387
1750479,125126,125582
1758202,125680,126137
1765055,126162,126620
1775057,126875,127333
1785060,127593,128051
1788887,127866,128326
1796856,128423,128883
1802677,128835,129297
1806544,129112,129575
1813265,129566,130031
1820191,130051,130517
1824790,130369,130836
1830831,130794,131263
1834595,131057,131528
1844600,131767,132238
1846457,131900,132373
1852046,132293,132768
1858896,132783,133259
1865728,133271,133748
1872508,133751,134229
1874155,133866,134346
1876935,134060,134542
1885915,134699,135182
1888908,134914,135399
1894052,135278,135765
1898808,135612,136100
1899982,135697,136188
1902497,135871,136364
1909008,136326,136821
1913354,136635,137131
1919712,137089,137587
1928410,137696,138194
1933196,138038,138538
1940410,138555,139056
1950405,139255,139756
1960404,139963,140464
1964263,140229,140732
1965310,140305,140810
1975165,140983,141489
1978979,141243,141751
1983680,141576,142085
1989501,141970,142481
1996482,142462,142974
2001732,142823,143336
2010377,143426,143940
2019197,144048,144562
2023852,144378,144894
2028717,144714,145231
2031906,144941,145461
2035668,145215,145737
2045668,145908,146430
2048405,146095,146619
2054700,146520,147045
2056936,146682,147210
2065517,147285,147813
2069380,147555,148085
2076357,148054,148585
2081492,148424,148957
2088298,148904,149438
2095225,149390,149925
2102211,149888,150424
2108031,150308,150845
2115960,150883,151421
2124286,151473,152011
2126480,151623,152164
2132659,152055,152597
2140128,152577,153120
2146934,153054,153598
2151235,153365,153910
2154959,153626,154173
2161113,154057,154606
2162778,154177,154728
2166298,154421,154974
2166990,154470,155026
2173179,154909,155467
2177445,155203,155762
2183724,155643,156204
2190256,156110,156672
2193201,156323,156887
2196376,156544,157110
2203563,157061,157628
2211796,157646,158214
2220039,158220,158788
2225350,158605,159175
2230106,158947,159518
2238569,159540,160112
2246111,160067,160640
2256103,160747,161320
2260147,161029,161603
2269789,161692,162267
2276661,162177,162753
2286666,162880,163456
2290223,163125,163703
2297359,163624,164203
2304251,164094,164674
2312866,164705,165285
2317859,165058,165640
2321778,165342,165926
2328737,165837,166422
2338740,166534,167119
2345587,167009,167595
2355581,167712,168298
2362533,168202,168789
2365925,168440,169029
2369904,168725,169316
2376837,169215,169807
2380980,169504,170097
2386595,169899,170494
2389634,170116,170713
2394859,170493,171092
2398450,170754,171355
2404312,171153,171755
2409045,171478,172082
2416011,171964,172569
2426019,172669,173274
2436018,173389,173994
2442793,173878,174484
2446527,174137,174745
2454706,174703,175311
2463282,175302,175911
2465459,175450,176061
2471587,175889,176501
2480984,176558,177171
2484522,176806,177421
2489655,177160,177776
2491171,177269,177888
2492382,177353,177975
2499258,177829,178452
2506095,178315,178939
2511071,178665,179290
2514883,178929,179556
2520398,179318,179947
2524339,179592,180223
2526046,179713,180346
2532070,180123,180758
2535095,180338,180975
2539069,180621,181260
2543451,180929,181570
2547016,181182,181825
2552838,181605,182249
2557521,181940,182586
2564506,182443,183090
2570686,182870,183518
2574703,183152,183802
2578588,183431,184083
2579996,183532,184186
2583451,183780,184437
2587160,184040,184699
2592347,184406,185066
2599650,184922,185583
2604499,185256,185919
2611381,185745,186409
2618000,186215,186880
2624932,186702,187368
2627296,186874,187542
2632918,187271,187941
2639703,187725,188396
2649024,188381,189052
2653551,188700,189373
2660379,189188,189862
2667349,189664,190339
2671217,189930,190607
2678563,190443,191120
2684968,190892,191571
2694973,191589,192268
2698465,191834,192515
2702253,192097,192780
2706221,192379,193064
2713163,192861,193547
2719669,193310,193997
2723582,193589,194277
2733507,194280,194969
2738737,194651,195341
2747156,195231,195922
2753979,195704,196396
2762636,196311,197003
2770847,196893,197586
2779661,197530,198223
2781295,197642,198338
2788196,198127,198824
2795122,198630,199328
2801767,199111,199810
2805830,199416,200117
2812820,199929,200631
2819719,200406,201109
2823500,200669,201374
2833495,201376,202081
2840282,201852,202558
2841570,201941,202649
2847767,202378,203088
2851464,202634,203346
2861469,203345,204057
2868253,203804,204517
2871952,204065,204780
2878911,204555,205271
2882850,204834,205552
2892846,205527,206245
2896646,205788,206507
2905116,206395,207115
2910210,206755,207477
2917039,207242,207965
2920869,207511,208236
2924607,207774,208501
2931366,208251,208979
2941365,208958,209686
2944967,209216,209946
2951835,209709,210440
2958651,210178,210910
2962480,210448,211182
2967429,210796,211531
2976186,211420,212156
2980098,211693,212430
2986710,212162,212901
2990562,212433,213174
2995053,212751,213493
2998888,213023,213767
3002960,213310,214056
3006743,213584,214332
3009907,213808,214558
3015837,214228,214980
3025851,214933,215685
3032754,215407,216160
3039648,215890,216643
3046502,216369,217124
3052166,216778,217534
3054182,216918,217676
3060810,217384,218144
3067702,217873,218634
3077699,218580,219341
3087702,219296,220057
3097695,219992,220753
3104458,220469,221231
3114455,221172,221934
3120802,221614,222377
3127424,222074,222838
3135028,222598,223363
3145050,223307,224072
3151923,223786,224552
3161926,224495,225261
3168914,224976,225743
3175210,225426,226194
3180979,225832,226601
3186270,226198,226969
3193241,226694,227466
3200182,227180,227953
3207185,227675,228448
