sum_response_time,number_of_received_responses,number_of_sent_requests
6850,483,485
13774,961,964
20726,1433,1437
26294,1827,1832
34437,2408,2414
40967,2888,2895
45763,3227,3235
51601,3677,3687
55147,3936,3948
59116,4235,4249
65457,4719,4734
72752,5237,5253
78787,5679,5696
83467,6012,6031
87422,6287,6308
94389,6769,6791
97918,7019,7043
103078,7379,7404
108367,7770,7797
111970,8049,8078
115624,8321,8352
120339,8646,8678
123145,8838,8873
130151,9350,9386
134063,9650,9688
140861,10165,10204
147828,10676,10716
156917,11354,11394
161452,11686,11728
168302,12185,12228
175144,12675,12719
178908,12941,12987
188915,13652,13698
198915,14340,14386
205866,14806,14853
209742,15075,15123
213031,15309,15360
217167,15604,15657
223897,16077,16131
227702,16341,16397
237701,17045,17101
247691,17737,17793
253819,18170,18227
258142,18475,18534
268140,19185,19244
273469,19566,19626
276968,19819,19881
282507,20217,20281
285082,20410,20476
290149,20789,20857
297690,21347,21415
307081,22042,22111
315502,22655,22724
320292,23020,23091
324454,23303,23376
329652,23676,23750
334978,24072,24148
338839,24349,24427
348840,25065,25143
355888,25595,25673
360302,25915,25995
366395,26374,26456
373314,26878,26960
379981,27340,27424
389998,28030,28114
394378,28334,28419
395498,28410,28498
401277,28822,28912
408054,29301,29392
409836,29428,29521
415394,29818,29913
420061,30133,30229
423015,30341,30440
426657,30596,30697
430587,30871,30974
435894,31237,31341
442736,31714,31819
448053,32084,32191
458035,32659,32766
462605,32981,33089
468828,33423,33533
476318,33959,34069
479592,34190,34303
481753,34340,34455
483886,34497,34615
487590,34762,34882
494406,35243,35364
497777,35486,35609
502137,35797,35922
506924,36137,36263
515914,36800,36927
522874,37311,37439
525071,37478,37608
533358,38054,38185
542029,38667,38798
545693,38926,39059
554274,39560,39694
557834,39825,39961
561769,40102,40240
571770,40796,40934
578605,41270,41409
583127,41584,41724
592313,42236,42377
599260,42735,42877
609269,43435,43577
616124,43890,44033
620359,44189,44333
623422,44406,44553
631828,45026,45173
637200,45426,45575
640905,45684,45835
647802,46163,46315
650488,46352,46506
652435,46499,46655
655884,46751,46910
656511,46798,46960
663335,47368,47531
670317,47949,48113
677138,48498,48663
687144,49188,49353
697142,49883,50048
699418,50042,50209
704404,50385,50554
711340,50878,51048
715216,51156,51328
717814,51339,51513
722397,51669,51845
728749,52142,52319
732845,52429,52608
737760,52772,52952
742075,53078,53260
748579,53523,53706
754184,53912,54097
760988,54416,54602
767114,54927,55114
774790,55570,55758
778606,55879,56069
785482,56354,56545
788349,56562,56755
792727,56869,57064
799886,57369,57565
805842,57795,57992
810973,58150,58348
817657,58638,58838
822372,58968,59169
824932,59164,59368
831719,59648,59853
837759,60084,60290
842420,60409,60617
851523,61094,61302
855915,61419,61629
859628,61697,61909
861211,61809,62023
867362,62270,62486
874929,62845,63061
881096,63288,63506
891090,64014,64232
898078,64507,64726
908083,65213,65432
912669,65536,65756
917182,65856,66078
919387,66012,66237
926319,66508,66734
933152,67000,67227
936909,67275,67504
943796,67756,67986
949030,68121,68352
952105,68356,68589
955320,68607,68843
962552,69149,69385
966487,69449,69687
976019,70132,70371
979572,70379,70620
989569,71117,71358
995888,71595,71837
1003432,72163,72406
1007108,72417,72662
1008221,72497,72744
1011493,72733,72983
1021201,73414,73664
1025080,73687,73939
1031731,74203,74456
1038433,74700,74954
1042573,74997,75253
1049514,75491,75748
1053057,75754,76013
1055093,75905,76166
1060799,76324,76587
1067705,76799,77063
1074702,77290,77555
1079637,77631,77897
1086643,78131,78398
1093396,78621,78889
1101984,79255,79524
1111985,79972,80241
1115780,80240,80510
1117980,80406,80679
1123065,80780,81055
1131261,81404,81679
1136886,81828,82105
1140580,82079,82358
1146995,82538,82818
1154461,83057,83338
1161382,83563,83845
1166402,83911,84194
