sum_response_time,number_of_received_responses,number_of_sent_requests
3651,253,256
6909,481,486
11008,772,779
14889,1045,1054
21756,1522,1532
25514,1802,1814
35511,2539,2551
42451,3054,3067
47774,3434,3448
53098,3828,3844
56703,4103,4121
63637,4596,4615
73646,5321,5340
83645,6053,6072
92100,6632,6651
100413,7219,7239
110414,7932,7952
113944,8187,8209
119482,8584,8607
124521,8957,8982
128940,9287,9313
133391,9595,9623
139215,10004,10034
145769,10485,10516
148884,10720,10753
152645,11003,11038
157336,11350,11387
161211,11636,11675
167325,12092,12132
170393,12308,12350
175561,12675,12719
177656,12821,12867
183055,13197,13245
189797,13663,13712
196431,14108,14158
203523,14603,14654
207810,14903,14955
217233,15576,15629
225415,16164,16217
229832,16474,16529
234817,16819,16876
244819,17518,17575
248718,17787,17846
251890,18013,18074
254912,18226,18289
256303,18321,18387
260112,18592,18659
266844,19075,19144
271179,19393,19463
277448,19866,19938
286365,20529,20601
291304,20897,20970
294922,21162,21238
301874,21686,21763
308064,22123,22201
310628,22311,22391
312881,22481,22564
319815,22986,23070
326555,23455,23540
333331,23976,24062
338911,24389,24476
341158,24559,24648
347455,25015,25106
352131,25345,25437
361491,25985,26078
362963,26089,26184
364022,26160,26258
372905,26792,26891
377875,27147,27247
380025,27303,27406
384174,27596,27701
387970,27849,27956
394790,28341,28449
401570,28809,28918
405408,29085,29196
412407,29580,29692
419210,30068,30181
426123,30556,30670
434163,31112,31226
439451,31495,31611
446759,32005,32122
451322,32329,32447
457248,32742,32862
462477,33112,33233
464801,33273,33397
471594,33760,33885
478463,34256,34382
482615,34556,34683
489208,35020,35149
490695,35127,35258
493450,35329,35463
500199,35826,35961
506838,36320,36456
514097,36825,36962
519638,37214,37352
523277,37483,37623
529755,37967,38108
538614,38625,38767
548610,39334,39476
553067,39648,39791
559431,40085,40230
563139,40347,40494
566678,40602,40751
573633,41095,41245
578352,41432,41583
585083,41892,42044
591338,42338,42492
596793,42733,42888
605059,43360,43516
608878,43648,43806
618885,44339,44497
626730,44888,45046
631548,45227,45387
634480,45456,45618
637088,45641,45806
642074,46015,46181
647775,46492,46660
657774,47326,47494
663287,47786,47955
671478,48348,48518
678289,48813,48984
683584,49179,49351
685809,49340,49514
690209,49652,49828
693321,49869,50048
695907,50050,50231
700640,50390,50573
705548,50747,50931
711092,51144,51330
719006,51711,51897
724226,52079,52267
727631,52322,52512
732514,52665,52857
736375,52949,53143
743160,53519,53714
749921,54087,54283
754977,54512,54709
762308,55019,55217
768491,55478,55677
770073,55591,55793
774672,55921,56125
781937,56439,56644
788132,56888,57094
794752,57371,57578
799541,57716,57925
807978,58356,58565
813285,58718,58929
817192,58992,59205
827198,59700,59913
834164,60217,60431
840956,60728,60943
842504,60846,61063
848297,61279,61498
855100,61786,62006
860224,62172,62393
861678,62281,62505
866238,62527,62753
870639,62832,63059
875535,63183,63412
881074,63568,63798
888769,64112,64343
890941,64270,64504
897730,64767,65002
901496,65025,65262
909979,65626,65863
915386,66000,66239
922138,66489,66729
923713,66600,66842
926750,66835,67080
933643,67342,67588
934984,67445,67693
938264,67678,67928
945056,68146,68398
951906,68651,68904
958672,69156,69410
963848,69547,69802
967158,69771,70028
970585,70015,70274
973848,70242,70504
980657,70717,70980
981490,70781,71047
987643,71259,71526
988773,71346,71616
990166,71446,71718
997964,71994,72267
1003018,72378,72653
1005465,72558,72835
1009337,72839,73118
1011563,72991,73273
1017074,73383,73666
1019734,73569,73854
1022391,73763,74051
1027532,74133,74422
1030229,74326,74618
1037194,74826,75119
1037989,74880,75175
1044564,75373,75670
1049573,75758,76056
1055220,76179,76479
1060502,76580,76881
1065952,76961,77264
1069050,77183,77488
1073351,77589,77896
1083348,78883,79190
1089121,79296,79604
1093644,79615,79925
1097583,79896,80208
1106802,80539,80851
1111332,80864,81178
1117691,81322,81637
1121834,81634,81951
1127642,82030,82348
1132492,82376,82696
1133871,82472,82794
1141785,83034,83357
1147155,83401,83726
1147801,83444,83772
1154663,83939,84268
1162421,84500,84829
1167148,84839,85170
1171901,85171,85504
1175735,85447,85782
1182707,85954,86290
1189689,86437,86773
1196462,86925,87263
1201034,87251,87590
1210161,87888,88228
1216793,88354,88695
1220848,88630,88973
1229844,89255,89598
1236354,89724,90068
1242353,90168,90513
1245223,90368,90716
1250695,90744,91093
1258927,91324,91674
1261517,91514,91866
1263208,91643,91998
1267088,91909,92266
1270902,92167,92526
1277712,92660,93020
1282204,92989,93350
1287502,93357,93720
1292281,93697,94062
1299150,94189,94555
1303412,94493,94860
1309013,94902,95271
1313499,95246,95617
1320291,95753,96125
1324025,96024,96398
1333760,96731,97105
1337713,96998,97374
1347718,97721,98097
1354477,98203,98580
1359382,98546,98924
1364990,98939,99319
1371816,99409,99790
1381800,100094,100475
1388766,100588,100970
1393111,100884,101267
1399301,101322,101707
1409300,102027,102412
1419299,102734,103119
1426235,103224,103610
1431830,103614,104001
1437548,104019,104407
1442453,104345,104735
1447010,104666,105058
1452256,105033,105426
1460523,105632,106026
1464237,105891,106287
1471008,106373,106770
1480628,107047,107444
1484855,107348,107747
1491795,107856,108256
1498910,108358,108758
1504191,108738,109140
1509128,109085,109489
1514154,109427,109832
1520078,109834,110241
1529162,110482,110889
1532287,110702,111111
1539061,111177,111587
1547543,111768,112179
1555746,112337,112748
1564522,112946,113358
1571515,113447,113860
1575136,113693,114108
1582262,114199,114614
1588987,114671,115088
1596776,115211,115628
1605897,115846,116264
1612864,116332,116751
1619749,116811,117231
1626673,117298,117719
1636685,118007,118428
1643569,118481,118903
1646689,118701,119125
1650671,118991,119417
1660473,119694,120120
1664488,119984,120411
1674036,120684,121112
1674797,120737,121168
1682729,121307,121738
1688413,121706,122139
1694969,122163,122597
1697666,122350,122786
1702633,122710,123148
1712626,123403,123841
1716531,123678,124118
1726538,124378,124818
1735359,124987,125427
1742288,125457,125898
1746987,125784,126227
1753868,126259,126703
1758959,126616,127061
1764679,127005,127452
1771870,127523,127970
1773293,127630,128080
1779278,128051,128503
1782843,128307,128761
1789830,128814,129269
1796618,129289,129745
1803176,129736,130193
1807457,130034,130493
1815271,130592,131051
1822847,131116,131576
1828223,131491,131953
