sum_response_time,number_of_received_responses,number_of_sent_requests
9994,692,693
16930,1174,1176
24174,1680,1682
33779,2354,2357
41757,2912,2915
45269,3176,3181
51292,3610,3617
56196,3984,3992
62044,4405,4415
65590,4672,4684
69614,4970,4984
74755,5329,5344
79825,5683,5700
84246,6000,6019
88125,6282,6303
91783,6544,6567
101774,7243,7266
107725,7665,7689
109306,7781,7808
114104,8136,8164
121940,8716,8745
126819,9063,9094
129945,9285,9318
135874,9712,9746
140235,10043,10079
143625,10291,10329
147541,10589,10629
152464,10955,10997
157229,11306,11349
163630,11772,11816
170115,12237,12283
173898,12502,12550
177776,12786,12836
181658,13055,13106
185234,13292,13346
192035,13781,13836
195774,14048,14105
202706,14548,14606
209500,15026,15085
216251,15502,15562
220064,15765,15827
226916,16241,16304
230088,16465,16530
233954,16734,16801
237882,17003,17072
244691,17493,17563
253361,18114,18184
261604,18707,18778
268487,19192,19264
275428,19713,19786
279804,20037,20111
288527,20685,20760
291437,20900,20977
294948,21172,21251
297539,21367,21448
301196,21632,21716
308029,22120,22205
314837,22600,22686
321581,23088,23175
328304,23583,23671
330588,23757,23847
336561,24199,24290
339852,24434,24528
342066,24591,24687
345705,24847,24945
351243,25253,25353
358120,25751,25852
368131,26463,26564
375053,26952,27054
382376,27481,27583
385676,27713,27818
392181,28150,28256
398836,28639,28746
403273,28958,29067
407021,29219,29330
413943,29706,29818
417642,29976,30090
421465,30240,30356
428085,30699,30816
431930,30972,31091
435812,31247,31368
442808,31739,31861
449561,32212,32335
457836,32793,32916
460171,32962,33088
463136,33176,33304
464540,33277,33408
468066,33528,33661
472169,33823,33957
481865,34524,34659
488277,35004,35140
495374,35534,35671
499705,35860,35999
505686,36283,36423
509038,36524,36666
514275,36903,37047
519966,37334,37479
524809,37687,37834
531722,38183,38331
535464,38449,38599
542202,38916,39067
549214,39407,39559
552255,39624,39778
556574,39933,40089
560212,40189,40347
564772,40496,40655
570915,40929,41090
579641,41547,41708
581587,41690,41854
583466,41833,41999
588309,42178,42346
595553,42684,42853
600733,43048,43218
601030,43066,43239
607058,43503,43678
610777,43792,43969
616997,44317,44495
624589,44944,45123
631488,45503,45683
636639,45848,46029
641084,46166,46349
645844,46498,46683
649052,46706,46893
652409,46941,47130
659893,47463,47653
664292,47762,47954
671278,48260,48453
672732,48368,48563
678293,48769,48966
683249,49115,49313
688822,49511,49711
692744,49788,49990
699681,50253,50456
703503,50538,50743
707205,50844,51051
713065,51333,51541
713649,51382,51593
717743,51667,51880
724350,52151,52365
727039,52342,52558
730993,52626,52844
739742,53243,53462
742878,53468,53689
747203,53787,54010
751022,54065,54290
757953,54591,54817
761767,54862,55090
768553,55349,55578
772281,55611,55842
776072,55886,56119
782865,56396,56630
787973,56765,57000
793405,57163,57400
800343,57684,57922
804190,57974,58214
807926,58229,58471
814924,58730,58973
816997,58874,59119
824156,59383,59629
829392,59760,60008
837783,60361,60609
843296,60743,60993
850040,61214,61465
853469,61454,61707
860247,61930,62184
864325,62218,62474
869687,62607,62864
874826,62980,63239
881695,63519,63779
885543,63807,64069
892294,64316,64579
899290,64811,65074
905994,65281,65546
909686,65545,65812
914170,65883,66151
917267,66117,66388
921908,66437,66709
927868,66859,67133
934846,67368,67643
939513,67693,67969
944120,68016,68294
949883,68466,68745
952952,68689,68971
958026,69056,69339
965056,69554,69838
972240,70085,70370
974774,70269,70556
977747,70491,70781
981386,70742,71034
986636,71111,71404
987727,71192,71488
995992,71785,72082
1002916,72281,72579
1008645,72707,73006
1016708,73283,73583
1023597,73775,74076
1027279,74044,74347
1032363,74432,74736
1037001,74791,75097
1044885,75384,75691
1048865,75658,75967
1052188,75892,76203
1056440,76180,76493
1065071,76809,77122
1070287,77167,77482
1080281,77857,78172
1084012,78120,78437
1090895,78592,78910
1096015,78954,79273
1099718,79225,79546
1105073,79620,79943
1111903,80079,80403
1118238,80511,80836
1119645,80604,80932
1123221,80865,81195
1130009,81339,81670
1133815,81622,81955
1138017,81922,82256
1142914,82276,82612
1151360,82873,83210
1157940,83332,83670
1161107,83555,83895
1168827,84104,84445
1172592,84368,84711
1175915,84607,84952
1178166,84768,85115
1183217,85125,85474
1187811,85440,85791
1192992,85804,86156
1198353,86174,86528
1202789,86504,86859
1205963,86737,87095
1211640,87135,87494
1218126,87584,87944
1224799,88062,88423
1225854,88138,88502
1227608,88267,88634
1231457,88532,88901
1238707,89013,89382
1245196,89471,89842
1248842,89736,90109
1256790,90297,90670
1265615,90909,91283
1269880,91218,91593
1276849,91717,92093
1283370,92203,92581
1290004,92711,93090
1297119,93242,93622
1303885,93738,94119
1307606,94009,94392
1317609,94703,95086
1321314,94971,95356
1327183,95387,95773
1328913,95512,95900
1335670,95995,96385
1339482,96256,96648
1343356,96531,96925
1350124,97004,97399
1360127,97689,98084
1366881,98175,98571
1373739,98652,99049
1381555,99215,99612
1388910,99729,100127
1397564,100331,100730
1407564,101035,101434
1414317,101495,101895
1421154,101974,102375
1428109,102476,102878
1438107,103208,103610
1445054,103705,104108
1451835,104187,104591
1458606,104663,105068
1464904,105106,105512
1468050,105328,105736
1476096,105899,106308
1479986,106174,106584
1484266,106478,106890
1487948,106737,107151
1494587,107198,107614
1501589,107707,108124
1511593,108430,108847
1516894,108806,109224
1520458,109060,109480
1528661,109641,110062
1531409,109837,110260
1538386,110317,110741
1542856,110620,111046
1547129,110921,111349
1557126,111631,112059
1561395,111925,112354
1570729,112591,113021
1577600,113080,113511
1579356,113203,113636
1585274,113622,114056
1588913,113882,114318
1592588,114141,114579
1599449,114617,115057
1606370,115112,115553
1616225,115816,116257
1623149,116309,116751
1630095,116813,117256
1640089,117518,117961
1650092,118238,118681
1653679,118492,118937
1663682,119186,119631
1667593,119459,119906
1674437,119927,120375
1684442,120628,121076
1691434,121129,121578
1695306,121402,121853
1702719,121916,122367
1705922,122138,122592
1711460,122524,122979
1719882,123118,123574
1726712,123585,124042
1733550,124061,124519
1737483,124331,124791
1744466,124828,125289
1750720,125271,125733
1755176,125593,126057
1762178,126094,126559
1768921,126588,127054
1775863,127082,127549
1779810,127354,127823
1787115,127874,128343
1788059,127937,128409
1797447,128597,129070
1801974,128915,129389
1807945,129340,129816
1811656,129600,130078
1818427,130085,130564
1828125,130768,131247
1835318,131252,131732
1845318,131972,132452
1855318,132676,133156
1864837,133345,133825
1872100,133851,134332
1876733,134168,134650
1879124,134338,134823
1883513,134655,135142
1890263,135136,135624
1894852,135461,135950
1903998,136099,136589
1910883,136570,137061
1920901,137281,137772
1929745,137905,138396
1937680,138468,138960
1944616,138949,139442
1954615,139655,140148
1958209,139922,140417
1967571,140580,141075
1972602,140941,141437
1978729,141371,141869
1987271,141972,142470
1993757,142422,142921
2002347,143018,143518
2009241,143510,144011
2016043,143974,144476
2019961,144255,144759
2024866,144593,145098
2027528,144786,145294
2033197,145188,145697
2038227,145538,146049
2048232,146236,146747
2054979,146701,147213
2062667,147244,147756
2071928,147887,148400
2078927,148367,148881
2087091,148929,149443
2088267,149011,149528
2089094,149072,149592
2094729,149482,150003
2097610,149687,150211
2103200,150081,150606
2111318,150646,151172
2114103,150843,151371
2118898,151180,151710
2122645,151450,151982
2129425,151939,152472
2136397,152432,152966
2146388,153133,153667
2154442,153697,154231
2158096,153952,154488
2167131,154577,155114
2177130,155288,155825
2181040,155554,156093
2182284,155642,156183
2185480,155860,156404
2192319,156335,156880
2196637,156631,157177
2201315,156956,157504
2204053,157144,157694
2212168,157719,158270
2218359,158161,158713
2227312,158799,159352
2233848,159251,159805
2236882,159483,160039
2244603,160037,160594
2249876,160406,160964
2252872,160615,161175
2255657,160808,161371
2262554,161300,161864
2269512,161790,162355
2273224,162044,162611
2276985,162312,162881
2282527,162700,163270
2290638,163276,163847
2297404,163755,164327
2300972,164013,164587
2310988,164708,165282
2317948,165188,165763
2325881,165746,166321
2331834,166154,166731
2338593,166637,167215
2345439,167117,167696
2354743,167773,168352
2360020,168140,168720
2368483,168741,169322
2372770,169048,169631
2382581,169725,170308
2386560,170011,170596
2390164,170264,170851
2397048,170756,171344
2403927,171232,171821
2409832,171654,172244
2412121,171820,172412
2418111,172245,172839
2424953,172720,173315
2431884,173204,173800
2438888,173687,174284
2442901,173971,174569
2452706,174676,175275
2459507,175159,175759
2469499,175862,176462
2473267,176120,176722
2478619,176496,177099
2486962,177089,177693
2494465,177635,178239
2503862,178297,178902
2510707,178767,179373
2514652,179038,179646
2518230,179287,179897
2525159,179779,180390
2535150,180479,181090
2542136,180971,181583
2547193,181338,181951
2550699,181585,182200
2553580,181789,182407
2560457,182278,182897
2567173,182751,183371
2574204,183245,183866
2580268,183668,184290
2583657,183914,184538
2591761,184479,185104
2598666,184963,185589
2607906,185611,186237
2615551,186154,186781
2622520,186652,187280
2629298,187130,187759
2636287,187626,188256
2643032,188098,188729
2644470,188197,188830
2653485,188835,189469
2660418,189327,189962
2665957,189724,190360
2668110,189876,190515
2674901,190346,190986
2681784,190840,191481
2687992,191277,191919
2695591,191821,192464
2705584,192528,193171
2712573,193013,193657
2722572,193721,194365
2730187,194271,194915
2735294,194633,195279
2740081,194971,195619
2747062,195449,196098
2753860,195924,196574
2757708,196197,196849
2762138,196502,197155
2768220,196926,197581
2774003,197334,197990
2782057,197882,198539
2782812,197933,198593
2789619,198403,199064
2796463,198882,199544
2801430,199235,199898
2810071,199838,200502
2815278,200198,200863
2820680,200558,201225
2825038,200864,201532
2831383,201317,201987
2835126,201583,202255
2839051,201865,202539
2845066,202296,202971
2849605,202624,203301
2859612,203333,204010
2866547,203837,204515
2873334,204327,205006
2880148,204821,205501
2887151,205311,205991
2893811,205780,206462
2900909,206284,206967
2910901,206987,207670
2918606,207524,208207
2927794,208166,208850
2937797,208865,209549
2940428,209057,209743
2948283,209608,210295
2953936,210010,210698
2961373,210540,211229
2969115,211090,211780
2976074,211577,212268
2982885,212044,212736
2992889,212748,213440
2996517,213007,213701
3000152,213266,213962
3003227,213484,214182
3007746,213796,214496
3011467,214054,214756
3018161,214525,215228
3018863,214577,215282
3025454,215046,215753
3035466,215751,216458
3042347,216226,216934
3046218,216496,217206
3055423,217150,217860
3060034,217491,218203
3063948,217764,218478
3065927,217900,218616
3070739,218239,218957
3076221,218620,219339
3084264,219179,219899
3088072,219451,220173
3092861,219795,220519
3099025,220237,220962
3104938,220657,221383
3113618,221275,222002
3115834,221428,222157
3124283,222032,222762
3126486,222187,222919
3131167,222522,223256
3135480,222825,223561
3145475,223544,224280
3152433,224034,224771
3160744,224619,225356
3166171,225007,225746
3175225,225634,226373
3179941,225961,226702
3186319,226413,227155
3193664,226923,227666
3200543,227400,228144
3204114,227650,228396
3207442,227892,228640
3211238,228165,228915
3214623,228392,229144
3219716,228750,229504
3223384,229007,229763
3227230,229275,230033
3231070,229541,230301
3238925,230090,230850
3244895,230520,231282
3248706,230781,231544
3250899,230931,231697
3256054,231291,232059
3261556,231669,232438
3263675,231822,232594
3270660,232310,233083
3276701,232729,233503
3281600,233083,233859
3287222,233474,234251
3295166,234033,234811
3299150,234317,235096
