server_0,server_1,server_2
18006790,21728362,13969629
18074615,21796186,14037454
18141625,21863197,14104464
18212238,21933809,14175077
18283048,22004620,14245888
18355656,22077228,14318496
18432063,22153634,14394902
18506108,22227679,14468947
18575908,22297479,14538747
18647004,22368576,14609844
18719353,22440925,14682192
18792491,22514063,14755330
18864300,22585871,14827139
18936587,22658158,14899426
19009588,22731160,14972427
19077711,22799283,15040550
19147379,22868951,15110219
19220431,22942003,15183271
19289796,23011368,15252635
19360305,23081877,15323144
19435142,23156714,15397981
19508479,23230051,15471318
19580641,23302213,15543480
19649129,23370701,15611968
19723888,23445460,15686728
19796873,23518444,15759712
19869938,23591509,15832777
19943834,23665406,15906674
20014332,23735903,15977171
20082420,23803991,16045259
20156845,23878416,16119684
20224565,23946137,16187404
20297740,24019311,16260579
20366351,24087922,16329190
20441595,24163166,16404434
20512274,24233845,16475113
20580389,24301961,16543228
20651487,24373059,16614326
20721672,24443244,16684511
20792618,24514189,16755457
20864352,24585924,16827192
20929932,24651504,16892771
20996080,24717652,16958920
21069675,24791246,17032514
21142468,24864040,17105308
21209695,24931267,17172535
21280516,25002087,17243355
21356593,25078165,17319433
21425386,25146958,17388226
21497974,25219546,17460814
21574733,25296304,17537572
21646662,25368233,17609501
21715861,25437432,17678700
21783352,25504924,17746192
21857540,25579112,17820380
21927598,25649169,17890437
21998009,25719580,17960848
22072717,25794288,18035556
22140923,25862495,18103763
22205178,25926750,18168017
22278028,25999600,18240867
22350775,26072346,18313614
22420328,26141900,18383168
22494889,26216460,18457728
22567943,26289514,18530782
22639826,26361398,18602666
22713069,26434641,18675909
22783235,26504806,18746074
22856615,26578187,18819455
22932378,26653950,18895217
23004043,26725614,18966882
23077152,26798723,19039991
23144363,26865935,19107202
23215046,26936617,19177885
23287525,27009096,19250364
23360297,27081868,19323136
23431982,27153554,19394821
23506534,27228106,19469373
23583023,27304595,19545862
23657253,27378824,19620092
23725141,27446713,19687980
23789632,27511204,19752472
23862943,27584515,19825782
23936273,27657845,19899113
24009892,27731464,19972732
24082018,27803589,20044857
24153399,27874971,20116238
24226560,27948132,20189399
24294183,28015755,20257023
24365760,28087331,20328599
24435994,28157565,20398833
24506801,28228373,20469640
24577130,28298701,20539969
24646011,28367583,20608850
24717355,28438927,20680195
24791751,28513323,20754590
24863412,28584983,20826251
24932601,28654172,20895440
25003673,28725245,20966512
25074501,28796073,21037341
25147538,28869110,21110377
25215427,28936998,21178266
25289709,29011281,21252549
25365235,29086807,21328074
25438571,29160143,21401411
25510441,29232013,21473280
25581327,29302898,21544166
25650593,29372164,21613432
25719135,29440706,21681974
25791638,29513210,21754477
25861950,29583522,21824790
25933695,29655266,21896534
26004447,29726018,21967286
26073513,29795085,22036353
26145461,29867032,22108300
26215650,29937222,22178490
26284535,30006107,22247374
26349958,30071530,22312798
26422327,30143898,22385166
26490236,30211808,22453075
26562005,30283577,22524845
26630373,30351945,22593213
26700517,30422089,22663357
26769946,30491518,22732786
26839994,30561565,22802833
26910336,30631908,22873175
26981197,30702768,22944036
27055305,30776877,23018145
27128409,30849981,23091248
27199967,30921538,23162806
27272224,30993796,23235063
27346137,31067709,23308977
27415437,31137009,23378277
27481914,31203486,23444753
27552383,31273955,23515222
27627733,31349304,23590572
27696879,31418451,23659718
27767557,31489129,23730396
27835904,31557476,23798744
27910017,31631589,23872856
27974765,31696337,23937605
28047093,31768665,24009932
28119289,31840861,24082129
28189975,31911547,24152814
28265883,31987455,24228723
28336910,32058481,24299749
28407731,32129303,24370571
28479916,32201488,24442755
28551756,32273328,24514595
28624372,32345944,24587211
28695884,32417455,24658723
28764611,32486183,24727450
28834916,32556488,24797756
28902797,32624369,24865637
28969080,32690652,24931919
29041434,32763006,25004273
29112168,32833740,25075008
