sum_response_time,number_of_received_responses,number_of_sent_requests
9837,650,651
13551,899,902
18755,1242,1246
22702,1506,1512
28591,1915,1922
36555,2460,2468
37260,2508,2519
45330,3077,3089
48791,3334,3348
52684,3629,3645
56551,3900,3918
60541,4165,4185
67504,4665,4686
71170,4918,4941
81179,5576,5599
88021,6038,6062
92316,6329,6354
96132,6593,6620
102597,7036,7065
109457,7532,7562
116669,8052,8082
119350,8240,8273
124261,8569,8603
130376,9009,9045
135111,9356,9393
141220,9799,9838
147472,10245,10285
151650,10542,10584
158528,11038,11081
162941,11354,11398
166166,11581,11628
169901,11837,11886
176705,12299,12349
180480,12554,12606
184324,12816,12870
186445,12963,13019
191343,13305,13363
195680,13614,13674
199237,13856,13918
203109,14125,14189
209971,14592,14657
216264,15017,15083
218330,15171,15239
220910,15350,15421
226724,15744,15816
234713,16285,16358
236315,16396,16471
239388,16603,16681
243341,16881,16961
253340,17592,17672
259228,18017,18098
266983,18564,18646
273420,19008,19091
277679,19315,19400
284512,19741,19827
292797,20299,20385
298291,20689,20777
304710,21119,21208
308842,21405,21496
312106,21641,21734
319495,22175,22269
323382,22459,22555
327112,22722,22820
332409,23078,23177
339247,23530,23630
341604,23707,23810
345665,23988,24092
350500,24316,24422
353121,24493,24602
356236,24716,24827
360702,25031,25144
367651,25530,25644
371181,25774,25890
375701,26090,26207
378862,26312,26431
382682,26569,26691
386656,26844,26967
390210,27084,27210
391285,27160,27288
401029,27929,28058
407905,28514,28644
411767,28776,28908
413004,28855,28989
415973,29056,29193
422887,29533,29671
426204,29762,29902
428794,29950,30092
432429,30205,30349
438162,30608,30754
441177,30829,30977
442316,30911,31062
446454,31204,31356
448457,31351,31506
453387,31706,31863
460343,32173,32331
463612,32391,32551
467747,32690,32852
471651,32975,33139
481655,33654,33818
487788,34076,34241
495549,34603,34769
497811,34763,34931
500592,34945,35115
506902,35379,35551
515009,35939,36111
520682,36317,36491
530666,36983,37157
534999,37293,37468
544425,37950,38126
550098,38371,38548
558274,38922,39100
563315,39262,39441
567196,39522,39703
569142,39662,39846
572215,39874,40060
577007,40312,40500
587002,41083,41271
590633,41361,41551
598471,41963,42153
601223,42161,42354
606497,42525,42719
611993,42911,43107
616120,43194,43391
622663,43643,43842
629620,44116,44315
632118,44293,44495
633946,44415,44620
638649,44735,44941
644793,45136,45344
651631,45588,45797
661634,46271,46480
664548,46469,46680
666883,46627,46840
670068,46853,47068
673397,47111,47329
677991,47460,47679
684240,47938,48158
687700,48182,48405
692016,48487,48712
698842,48961,49187
702375,49203,49431
709149,49687,49916
719138,50356,50585
723019,50625,50856
724969,50771,51004
730619,51173,51408
734518,51449,51686
738421,51715,51954
746797,52270,52509
752443,52669,52909
757274,53015,53257
760743,53266,53510
766660,53679,53925
775643,54327,54573
783075,54859,55106
787383,55158,55407
794153,55641,55891
798600,55955,56206
801757,56166,56420
804444,56348,56604
809317,56683,56941
816092,57134,57393
819924,57401,57662
826728,57879,58141
830491,58143,58407
837356,58614,58879
845715,59190,59455
848725,59398,59665
854945,59674,59943
860335,60059,60329
863006,60248,60520
869656,60601,60875
873546,60864,61140
874223,60910,61188
881298,61412,61691
887868,61877,62158
895737,62406,62687
896412,62452,62736
901146,62770,63056
907061,63175,63462
909881,63379,63669
919878,64114,64404
923518,64380,64672
929150,64792,65085
930977,64920,65216
932086,64995,65294
938861,65471,65771
944465,65858,66159
946502,65996,66300
953392,66456,66761
960375,66927,67233
964648,67226,67533
967981,67475,67785
973679,67869,68180
977238,68113,68426
982405,68477,68792
986391,68773,69090
993156,69241,69559
999533,69691,70010
1003857,69997,70317
1010122,70424,70746
1011696,70536,70860
1015393,70791,71118
1022178,71256,71584
1026046,71514,71844
1030316,71821,72152
1035881,72206,72539
1040435,72518,72853
1046141,72905,73241
1049480,73136,73474
1053205,73388,73728
1054421,73470,73813
1057232,73667,74012
1066269,74278,74624
1070315,74552,74899
1076975,75004,75352
1080786,75258,75608
1086622,75667,76019
1091016,75987,76341
1093686,76174,76530
1098749,76511,76869
1101925,76736,77096
1106337,77052,77414
1110721,77357,77720
1113819,77575,77941
1120625,78051,78418
1124074,78292,78661
1127418,78528,78899
1128328,78591,78965
1129502,78669,79046
1136269,79158,79536
1143102,79640,80019
1149227,80071,80451
1152354,80290,80672
1153880,80393,80778
1155343,80498,80886
1157806,80665,81055
1162332,80996,81388
1163435,81075,81470
1169861,81521,81917
1176515,81979,82376
1183976,82505,82903
1187744,82763,83163
1191589,83034,83436
1198113,83496,83899
1205022,84001,84405
1208919,84283,84689
1218921,85014,85420
1223406,85334,85741
1227241,85592,86001
1233556,86013,86424
1238854,86368,86780
1247264,86947,87360
1254203,87415,87829
1258679,87731,88146
1266589,88281,88697
1268328,88392,88811
1272486,88673,89094
1279372,89132,89554
1286344,89605,90028
1287131,89659,90084
1296958,90342,90768
1303937,90824,91251
1310864,91291,91719
1317654,91749,92178
1324571,92214,92644
1328313,92460,92892
1332049,92720,93154
1342050,93402,93836
1351771,94054,94488
1354254,94219,94655
1356233,94352,94791
1365185,94960,95399
1366752,95063,95505
1373708,95544,95987
1375088,95639,96084
1381347,96072,96519
1388214,96523,96971
1395145,96975,97424
1401905,97448,97898
1408821,97920,98371
1415711,98389,98841
1422688,98860,99313
1429765,99343,99796
1433279,99581,100037
1440140,100049,100506
1446924,100510,100968
1455643,101109,101567
1459581,101376,101836
1463343,101625,102087
1464951,101738,102202
1471638,102203,102669
1478507,102658,103125
1485267,103112,103580
1489016,103370,103840
1499008,104029,104499
1503762,104344,104815
1512637,104960,105432
1522628,105635,106107
1529550,106088,106561
1535556,106502,106976
1540121,106809,107285
1547037,107289,107766
1555615,107877,108354
1560672,108210,108689
1564525,108481,108962
1571307,108928,109410
1578294,109399,109882
1585133,109860,110344
1591948,110320,110805
1598982,110782,111268
1605856,111243,111730
1612989,111711,112198
1617005,111992,112481
1620734,112240,112731
1626881,112648,113141
1633845,113127,113621
1640802,113603,114098
1647727,114088,114584
1651558,114353,114851
1661553,115038,115536
1666141,115352,115851
1667883,115460,115962
1669642,115582,116087
1679621,116273,116778
1683344,116517,117024
1690124,116953,117461
1696998,117419,117928
1702823,117811,118321
1707795,118139,118651
