sum_response_time,number_of_received_responses,number_of_sent_requests
9992,648,649
19984,1311,1312
25340,1663,1665
28924,1901,1905
31779,2096,2102
38421,2554,2561
41993,2814,2824
48044,3249,3260
49375,3341,3355
53875,3658,3673
57230,3903,3920
60703,4134,4154
67665,4632,4653
72867,4999,5021
75335,5155,5179
78820,5386,5413
82767,5657,5686
86435,5904,5935
89984,6150,6183
96922,6651,6685
101099,6952,6987
104595,7189,7227
111992,7676,7714
117656,8075,8115
122903,8460,8501
130468,9009,9051
135880,9401,9445
142579,9881,9926
146485,10166,10213
149466,10379,10428
154173,10705,10755
159328,11058,11110
161505,11205,11260
165475,11481,11537
171888,11917,11975
175129,12131,12191
176571,12230,12292
182537,12640,12704
187529,12985,13050
193059,13352,13419
197225,13631,13700
201034,13894,13965
204200,14117,14190
205515,14203,14279
211413,14597,14674
216004,14908,14987
219670,15170,15251
225749,15590,15672
229858,15883,15967
234163,16199,16285
238349,16498,16585
246912,17096,17184
251634,17434,17524
252483,17495,17587
256177,17753,17848
262969,18212,18308
267180,18514,18611
271335,18802,18901
275703,19107,19208
277401,19227,19331
281775,19547,19653
285654,19829,19937
293101,20342,20450
297929,20672,20782
304777,21134,21245
307603,21328,21441
310778,21550,21666
315723,21898,22015
321480,22289,22408
327803,22740,22860
329051,22826,22949
335918,23316,23440
338818,23520,23646
343850,23870,23997
350106,24296,24425
351501,24390,24521
357686,24817,24950
363232,25203,25337
369242,25674,25809
376592,26184,26320
377963,26277,26416
382660,26663,26804
389110,27099,27241
392536,27337,27481
397029,27652,27798
402993,28061,28208
405088,28209,28358
414741,28877,29027
418607,29149,29301
421792,29377,29531
425525,29651,29807
429713,29948,30106
435326,30358,30517
436045,30404,30566
437790,30518,30683
445885,31063,31228
451524,31470,31637
458530,31981,32149
462139,32227,32397
466027,32489,32661
469753,32739,32913
479747,33440,33614
485954,33866,34041
488135,34018,34195
494127,34425,34604
497807,34674,34855
503745,35069,35251
504873,35151,35336
509182,35458,35645
515976,35951,36139
520788,36276,36465
524110,36501,36692
528604,36806,36999
534092,37202,37397
535277,37291,37488
537677,37446,37646
543372,37882,38083
547697,38202,38405
553517,38647,38851
555125,38754,38961
560160,39095,39304
567546,39594,39804
575314,40125,40335
577519,40266,40479
580273,40457,40672
582518,40612,40830
589290,40989,41208
595948,41455,41675
600009,41712,41934
606932,42173,42396
613692,42640,42864
620647,43114,43339
627476,43577,43803
634263,44058,44285
638134,44359,44587
648054,45115,45344
651716,45395,45625
657592,45797,46029
662474,46148,46382
667198,46470,46705
670057,46666,46904
680047,47363,47601
690048,48048,48286
693705,48306,48546
697438,48572,48814
707231,49279,49521
710545,49509,49753
712967,49681,49927
718183,50027,50275
722007,50302,50552
726953,50662,50913
732835,51092,51345
739805,51584,51838
746777,52087,52342
753589,52576,52832
758737,52946,53203
764185,53324,53583
770892,53777,54037
771785,53840,54103
777612,54238,54502
784412,54708,54973
789320,55033,55300
791825,55206,55475
793938,55355,55627
797477,55604,55878
801531,55884,56160
811208,56551,56827
813095,56687,56965
816366,56921,57201
820151,57194,57476
824625,57501,57785
830112,57861,58147
833907,58117,58405
834816,58179,58469
841500,58650,58942
848104,59124,59417
852279,59408,59703
853866,59511,59808
860849,59987,60285
866714,60393,60693
869285,60574,60876
873198,60854,61158
877964,61210,61516
881685,61464,61772
889523,61991,62299
898452,62619,62928
905429,63110,63420
909620,63403,63714
911417,63524,63838
916966,63898,64214
923959,64376,64693
932160,64951,65268
937901,65368,65687
944876,65849,66169
948709,66109,66431
955666,66581,66904
959498,66843,67168
964539,67207,67533
966795,67366,67695
973701,67869,68199
979926,68291,68622
984508,68625,68958
988398,68892,69227
993074,69217,69553
994841,69333,69672
998162,69558,69899
1002960,69896,70239
