sum_response_time,number_of_received_responses,number_of_sent_requests
3890,247,249
10511,697,701
14251,952,958
24109,1603,1609
28019,1872,1879
37909,2555,2563
44709,3034,3043
51639,3524,3534
55464,3802,3814
58937,4069,4083
60134,4157,4173
66707,4600,4618
70922,4897,4916
75475,5218,5239
84479,5808,5830
91326,6268,6291
95263,6540,6565
98890,6794,6821
104804,7221,7249
108466,7479,7509
115437,7971,8002
120060,8280,8313
126986,8747,8781
133836,9237,9272
140799,9744,9780
146075,10138,10175
148215,10290,10330
152148,10575,10617
155903,10849,10893
159673,11108,11154
163474,11387,11435
170449,11860,11909
175841,12226,12276
181241,12586,12638
184901,12830,12884
187913,13038,13094
195479,13564,13621
202346,14038,14096
206975,14366,14425
211983,14700,14761
213545,14807,14871
216647,15024,15090
218215,15142,15211
222013,15392,15463
228927,15856,15928
235870,16332,16405
242645,16805,16879
245077,16978,17054
250163,17331,17409
257483,17842,17920
263940,18303,18383
270781,18787,18868
274515,19056,19139
281389,19553,19637
285068,19800,19886
290401,20170,20257
297366,20669,20757
303001,21061,21150
307933,21399,21490
316379,22018,22110
319591,22246,22340
323994,22562,22658
326141,22714,22812
328417,22868,22969
333639,23216,23318
335172,23321,23426
340085,23662,23768
344920,23993,24101
352433,24507,24616
353615,24590,24702
354811,24677,24792
355556,24726,24844
362667,25222,25341
365191,25395,25516
367082,25528,25651
371535,25832,25957
380761,26456,26582
383639,26660,26788
388166,27048,27178
395138,27515,27646
401947,27975,28107
405687,28222,28356
408775,28441,28577
411188,28601,28739
413470,28754,28895
420262,29218,29360
427528,29722,29864
433944,30165,30309
437797,30438,30584
444634,30917,31064
454635,31639,31786
462285,32182,32329
470052,32746,32894
470619,32784,32935
475556,33106,33259
483643,33648,33801
486187,33828,33984
492776,34301,34458
496604,34562,34721
500195,34798,34959
505075,35131,35293
506463,35233,35398
511161,35561,35728
518105,36036,36204
523075,36376,36545
525814,36570,36742
529636,36824,36998
535158,37222,37397
540137,37565,37742
542701,37757,37936
547716,38101,38282
554592,38567,38749
559696,38914,39097
561272,39026,39212
563347,39164,39352
566756,39506,39697
569836,39745,39938
576528,40255,40449
582157,40691,40886
588076,41093,41290
594942,41544,41742
601753,42006,42205
605434,42258,42459
609388,42527,42730
613096,42779,42984
616340,43005,43212
619856,43244,43453
624450,43565,43776
631342,44024,44236
638172,44474,44687
645526,44977,45190
650955,45355,45570
653126,45501,45718
657512,45809,46028
663340,46260,46481
673337,47026,47247
680207,47551,47772
682417,47704,47928
685095,47900,48126
691229,48318,48546
694380,48532,48762
698592,48825,49057
708594,49493,49725
712151,49743,49977
717119,50093,50328
723633,50557,50793
729450,50966,51204
734122,51284,51523
740826,51732,51972
746988,52171,52413
754525,52716,52958
758052,52965,53209
764262,53400,53646
771482,53918,54164
776443,54275,54523
781745,54650,54900
785869,54944,55196
787435,55049,55303
796702,55673,55928
798628,55803,56060
806049,56315,56573
809606,56556,56816
815120,56936,57198
818923,57208,57472
822072,57431,57697
823096,57494,57763
828352,57863,58133
830890,58037,58310
837644,58501,58775
844515,58990,59265
848486,59267,59544
855278,59719,59997
859116,59982,60262
862128,60196,60478
869211,60699,60982
870716,60809,61094
876955,61227,61514
880868,61498,61787
888709,62035,62324
894749,62441,62732
898421,62704,62997
904331,63147,63441
908992,63479,63775
915932,63972,64269
922838,64445,64743
926501,64710,65010
930170,64977,65278
933819,65226,65530
935976,65374,65680
941261,65725,66033
944835,65975,66285
946890,66121,66433
955408,66742,67055
959967,67056,67370
967456,67570,67885
972863,67944,68261
976426,68186,68505
981997,68589,68909
984385,68757,69080
993308,69409,69732
996042,69587,69912
998749,69770,70097
1002522,70031,70361
1007301,70369,70700
1010101,70559,70893
1012496,70731,71067
1016041,70966,71304
1024037,71508,71847
1028793,71830,72170
1034693,72238,72580
1040775,72658,73001
1041110,72682,73028
1044365,72896,73244
1049660,73256,73606
1053415,73515,73867
1057366,73785,74138
1064282,74258,74613
1069384,74613,74969
1075046,75021,75379
1081846,75497,75856
1088777,75951,76311
1092474,76218,76580
1096253,76485,76849
1103214,76981,77345
1109229,77404,77770
1115483,77831,78198
1119953,78145,78514
1127240,78651,79021
1133715,79101,79472
1137793,79381,79754
1144244,79839,80213
1148584,80143,80519
1155545,80633,81010
1159969,80932,81310
1164513,81254,81634
1165182,81302,81685
1168358,81522,81907
1168810,81550,81938
1172241,81766,82157
1176011,82030,82423
1182879,82516,82910
1187700,82844,83239
1190186,83013,83411
1194803,83333,83732
1201311,83786,84187
1211304,84497,84898
1218068,85002,85404
1223368,85391,85794
1225657,85556,85962
1229896,85843,86250
1236626,86287,86695
1241389,86608,87018
1249839,87185,87596
1259848,87865,88276
1269317,88514,88925
1276802,89019,89431
1283769,89495,89908
1290701,89965,90379
1296924,90386,90801
1304473,90907,91323
1311448,91390,91807
1318296,91860,92278
1328292,92542,92960
1331979,92791,93211
1341109,93414,93834
1348748,93920,94341
1354265,94287,94709
1362458,94846,95269
1369229,95321,95745
1378905,95972,96396
1386116,96455,96880
1392973,96920,97346
1399625,97371,97798
1406879,97861,98289
1413673,98323,98752
1417533,98579,99010
1423313,98979,99411
1431398,99513,99946
1439014,100022,100455
1448155,100653,101087
1453852,101045,101480
1458874,101382,101819
1463935,101718,102156
1470269,102144,102583
1477397,102622,103062
1482902,102991,103433
1489438,103438,103881
1496918,103951,104395
1500529,104188,104634
1503147,104363,104811
1510931,104888,105337
1515132,105178,105628
1524751,105831,106282
1531560,106290,106742
1535280,106561,107015
1541886,107000,107455
1549000,107484,107940
1555790,107949,108406
1562614,108406,108864
1569375,108873,109332
1576270,109346,109806
1577609,109433,109895
1583698,109855,110319
1588915,110210,110675
1594256,110570,111037
1598117,110835,111304
1608121,111498,111967
1618120,112164,112633
1625011,112622,113092
1635009,113299,113769
1643898,113887,114357
1647718,114144,114616
1655602,114665,115138
1663051,115177,115650
1667381,115461,115936
1673261,115852,116329
1677066,116111,116590
1680639,116357,116838
1687547,116836,117318
1694548,117309,117792
1701490,117795,118279
1708370,118278,118763
1715351,118754,119240
1724531,119376,119862
1730621,119798,120285
1738225,120311,120799
1742908,120631,121121
1749764,121095,121586
1753962,121378,121870
1755159,121458,121953
1761121,121867,122364
1766350,122219,122717
1773825,122708,123207
1779066,123070,123570
1785435,123499,124001
1792397,123978,124481
1796213,124235,124739
1798243,124370,124877
1803726,124750,125259
1810716,125228,125738
1817672,125706,126216
1824542,126176,126688
1828514,126444,126957
1834946,126878,127393
1840320,127248,127764
1848736,127822,128339
1857645,128422,128939
1865562,128963,129481
1871322,129366,129885
1877783,129818,130338
1883181,130176,130698
1886924,130429,130953
1891501,130733,131258
1900811,131380,131906
1904454,131626,132154
1911448,132094,132623
1918499,132581,133110
1925249,133024,133555
1932231,133505,134037
1939005,133967,134500
1945437,134394,134928
1947030,134499,135035
1953389,134932,135470
1963377,135604,136142
1970385,136081,136619
1976915,136535,137075
1986607,137174,137714
1990606,137451,137993
1997470,137922,138465
2004236,138382,138926
2011093,138841,139386
2017827,139299,139845
2021437,139547,140095
2028268,140017,140566
2035172,140484,141034
2042042,140949,141500
2052055,141632,142183
2058877,142092,142644
2064725,142482,143035
2069469,142807,143362
2074140,143126,143682
2080154,143524,144082
2085505,143896,144455
2094005,144462,145022
2101186,144956,145516
2107968,145410,145972
2112664,145722,146285
2116359,145974,146539
2117724,146067,146635
2123667,146462,147031
2130169,146903,147474
2134017,147157,147730
2140796,147601,148175
2142723,147733,148309
2149446,148191,148768
2155224,148591,149170
2162178,149062,149642
2169059,149526,150107
2179056,150209,150790
2185876,150680,151262
2189566,150936,151520
2196485,151398,151983
2201486,151720,152306
2204060,151892,152481
2214061,152579,153168
2217560,152811,153402
2224333,153273,153865
2230694,153691,154284
2235949,154053,154647
2244619,154641,155236
2248475,154913,155510
2252304,155179,155778
2259209,155649,156249
2266165,156132,156733
2272681,156580,157182
2276797,156851,157455
2286781,157517,158121
2293563,157967,158572
2300372,158434,159040
2303076,158615,159223
2307647,158926,159536
2314722,159405,160016
2321475,159868,160480
2328370,160330,160943
2335112,160779,161393
2341717,161228,161843
2348863,161724,162340
2355820,162186,162803
2359275,162414,163033
2360395,162485,163106
2364073,162732,163355
2370825,163196,163821
2374650,163455,164082
2381573,163926,164554
2385312,164174,164804
2388360,164388,165020
2395927,164888,165521
2402874,165363,165997
2406750,165628,166264
2413720,166107,166744
2417501,166363,167002
2424472,166821,167461
2431277,167289,167930
2435055,167537,168180
2445059,168223,168866
2449914,168559,169203
2458663,169153,169798
2465645,169636,170282
2469470,169893,170541
2476298,170353,171002
2483174,170816,171466
2490119,171275,171926
2494110,171541,172193
2500982,171996,172650
2507965,172451,173106
2517323,173070,173725
2524946,173602,174258
2531790,174073,174730
2538589,174531,175189
2545803,175018,175676
2549099,175238,175899
2555873,175693,176355
2562836,176178,176841
2569824,176652,177315
2576406,177092,177757
2583375,177565,178231
2593276,178225,178891
2600306,178715,179382
2607250,179192,179860
2617250,179880,180548
2623991,180325,180994
2634005,181005,181674
2643609,181666,182335
2647930,181960,182631
2653465,182342,183014
2658612,182688,183362
2665345,183144,183819
2675348,183816,184491
2679034,184064,184741
2685994,184540,185218
2690676,184857,185536
2696681,185250,185930
2700216,185488,186171
2709885,186139,186822
2716543,186580,187264
2722553,186982,187667
2726691,187265,187952
2728535,187385,188074
2733048,187691,188382
2738990,188092,188785
2748994,188749,189442
2754018,189091,189785
2756365,189250,189947
2763142,189710,190408
2772200,190328,191026
2779943,190857,191556
