sum_response_time,number_of_received_responses,number_of_sent_requests
7755,501,502
12339,814,817
15648,1029,1034
21536,1431,1437
27525,1840,1848
34858,2352,2361
39429,2681,2691
48573,3330,3341
52271,3595,3608
56729,3934,3948
59737,4150,4167
64077,4443,4461
70131,4870,4890
80129,5578,5598
87813,6077,6097
93854,6481,6503
99807,6883,6906
101653,7008,7033
111226,7680,7706
121225,8398,8424
125775,8721,8748
128747,8919,8949
135584,9373,9403
139207,9630,9663
145860,10113,10147
151379,10512,10547
153721,10682,10720
163727,11408,11446
166063,11576,11616
171385,11957,11999
178233,12438,12481
184779,12889,12933
188981,13171,13217
195274,13595,13642
199434,13881,13930
206279,14347,14397
210047,14610,14662
213732,14860,14914
223749,15543,15597
227376,15791,15847
231092,16045,16103
238015,16511,16570
241233,16738,16799
242549,16822,16886
249432,17274,17339
258907,17915,17980
263329,18226,18293
267054,18485,18554
272075,18839,18909
278195,19266,19337
283625,19657,19730
288744,20014,20088
297849,20666,20741
299226,20765,20842
307776,21327,21405
309804,21465,21546
313502,21726,21809
320330,22193,22277
326824,22633,22718
330977,22938,23025
337966,23443,23531
344861,23938,24027
351735,24421,24511
355674,24683,24774
360678,25023,25116
361039,25053,25149
363780,25264,25362
371716,25811,25910
377406,26186,26287
382854,26568,26670
384880,26703,26808
388756,26990,27097
394162,27367,27475
402561,27949,28058
406427,28210,28321
413329,28674,28786
420305,29149,29262
423887,29395,29510
429051,29760,29876
435143,30174,30291
441425,30607,30726
442017,30645,30767
447401,30944,31067
452754,31303,31428
459349,31757,31883
462505,31974,32102
467139,32298,32428
471159,32586,32718
475365,32875,33008
478888,33119,33255
482612,33390,33528
487438,33731,33870
491788,34044,34185
495732,34309,34452
500535,34632,34777
509299,35233,35378
514232,35598,35745
518175,35878,36027
525069,36352,36502
529747,36672,36823
535721,37083,37236
538268,37265,37420
538743,37297,37455
545370,37749,37908
550957,38125,38286
560963,38799,38960
567872,39266,39428
573478,39654,39817
579971,40107,40271
585466,40519,40684
593440,41049,41215
596135,41231,41400
602878,41685,41855
609871,42192,42363
613665,42450,42623
618525,42806,42980
624922,43297,43472
628107,43540,43718
635067,44070,44249
641998,44543,44723
645855,44807,44989
652365,45231,45414
656685,45528,45713
660484,45788,45975
661724,45873,46062
666766,46221,46412
675002,46785,46977
681579,47248,47441
683576,47370,47565
692634,47983,48179
694716,48122,48320
