sum_response_time,number_of_received_responses,number_of_sent_requests
3712,244,247
10469,699,703
20474,1353,1357
27427,1804,1809
31268,2071,2078
38255,2550,2558
45226,3052,3061
54448,3715,3724
55872,3813,3825
59283,4084,4098
61274,4226,4242
67178,4612,4630
72065,4958,4977
77791,5366,5387
84775,5818,5840
93201,6386,6408
101760,6974,6997
105849,7251,7275
109017,7478,7505
114875,7894,7922
119598,8230,8260
129587,8918,8948
133463,9179,9211
137279,9447,9481
141042,9723,9759
148025,10239,10276
151810,10517,10556
155407,10775,10816
159354,11059,11102
163096,11318,11363
166673,11578,11625
170336,11841,11890
174010,12103,12154
178787,12428,12480
179133,12451,12506
181998,12656,12714
183049,12732,12792
189559,13173,13235
194176,13495,13558
199694,13867,13932
201743,14004,14071
206366,14311,14380
207709,14407,14479
208832,14478,14553
211980,14695,14772
219202,15185,15263
226187,15671,15750
233130,16173,16253
236749,16433,16515
240586,16706,16790
247536,17200,17285
250220,17390,17477
251899,17515,17605
261897,18240,18330
268880,18700,18791
278884,19383,19474
282496,19634,19727
286209,19889,19984
293109,20352,20448
296759,20617,20715
303706,21115,21214
307847,21411,21511
311113,21637,21740
316413,21993,22097
323250,22453,22558
326074,22648,22755
326433,22672,22782
330126,22933,23046
337003,23399,23513
340697,23657,23773
347683,24146,24263
348545,24207,24326
354212,24612,24733
355845,24724,24848
359570,24983,25109
363155,25228,25356
370110,25702,25831
373971,25961,26092
377689,26220,26353
381395,26477,26612
386962,26867,27003
392693,27272,27409
398830,27684,27823
405717,28136,28276
408626,28334,28476
413444,28666,28810
417319,28938,29084
421178,29209,29356
425170,29485,29634
431722,29947,30098
438160,30418,30570
444101,30838,30991
450164,31282,31436
452966,31472,31629
458378,31837,31995
459531,31922,32083
464411,32274,32437
468326,32565,32730
478331,33246,33411
481178,33433,33600
484251,33648,33817
488211,33919,34090
492041,34169,34342
494157,34309,34485
504015,34982,35158
510921,35455,35632
520902,36124,36301
523260,36289,36468
528748,36670,36850
533667,37033,37215
541935,37591,37774
548746,38051,38235
555516,38521,38706
565516,39234,39419
566675,39321,39508
570188,39585,39775
574086,39884,40076
582617,40537,40729
587909,40940,41134
589265,41028,41224
593830,41347,41545
599360,41733,41933
609362,42412,42612
613291,42679,42881
620242,43164,43367
627217,43647,43851
633213,44077,44282
637789,44397,44604
643158,44751,44959
645140,44884,45095
654810,45552,45763
662123,46069,46281
672134,46734,46946
675653,46995,47209
676976,47096,47312
683193,47573,47791
689995,48094,48312
692720,48281,48502
697118,48591,48814
699230,48732,48957
704652,49105,49332
711878,49614,49842
715710,49872,50102
721645,50291,50522
726408,50632,50865
732570,51076,51310
734961,51231,51467
743813,51841,52078
748653,52169,52407
754275,52573,52813
758351,52864,53106
762902,53189,53432
766006,53410,53656
767156,53490,53738
773316,53939,54189
775215,54070,54322
784470,54724,54977
794474,55400,55653
799188,55725,55979
