sum_response_time,number_of_received_responses,number_of_sent_requests
3526,238,241
11431,768,771
15508,1026,1031
21012,1395,1402
24153,1619,1628
27101,1821,1832
32346,2191,2204
39194,2680,2694
45997,3163,3178
49719,3442,3459
53306,3703,3722
54226,3764,3786
58172,4045,4068
61732,4288,4314
66562,4592,4619
70623,4863,4892
73417,5052,5083
76786,5286,5320
80440,5541,5577
90441,6256,6292
94947,6577,6614
101309,7018,7056
107824,7453,7493
111465,7716,7758
115332,8004,8048
119230,8293,8339
125659,8757,8804
129855,9061,9110
133715,9341,9392
137451,9599,9652
143733,10051,10105
147195,10284,10340
151698,10586,10644
155267,10826,10886
159108,11083,11145
165534,11533,11596
168947,11768,11833
172527,12018,12085
177585,12358,12427
187586,13031,13100
192238,13354,13424
197366,13703,13775
198396,13781,13856
199236,13837,13915
202048,14027,14107
207243,14379,14461
214213,14870,14953
219776,15257,15341
224961,15614,15700
234956,16332,16418
235859,16395,16483
242286,16849,16939
247471,17217,17308
249834,17390,17484
253558,17642,17738
255594,17785,17883
264025,18387,18486
266799,18575,18676
271522,18902,19005
278354,19401,19505
285258,19897,20002
289533,20199,20305
296041,20645,20753
302900,21105,21214
304873,21237,21348
305234,21267,21381
310996,21684,21800
314894,21957,22075
319322,22271,22390
322750,22510,22631
329411,22970,23093
333297,23241,23366
338631,23619,23745
346812,24179,24306
350454,24430,24559
357240,24892,25022
364225,25371,25502
365718,25471,25604
368340,25647,25783
375312,26120,26257
385304,26809,26946
389161,27067,27206
393145,27340,27480
399705,27785,27927
403542,28047,28191
410351,28526,28671
417330,29026,29172
425839,29616,29762
429170,29851,29999
433733,30178,30328
438785,30538,30690
447257,31135,31287
450641,31374,31528
451790,31455,31612
458263,31896,32054
460033,32026,32187
466662,32510,32672
471033,32832,32996
474756,33087,33253
477292,33256,33424
479123,33378,33549
484880,33777,33949
492769,34313,34486
499764,34800,34974
506717,35284,35459
513515,35737,35913
520351,36190,36367
523954,36441,36620
528342,36748,36928
532847,37075,37257
535537,37251,37436
537374,37375,37562
542983,37758,37947
549739,38241,38431
550886,38328,38520
554377,38587,38782
563595,39293,39488
569256,39726,39922
575112,40165,40363
581454,40591,40790
584208,40783,40984
589573,41161,41364
594250,41475,41679
597409,41693,41900
601830,41994,42202
604154,42161,42372
608667,42471,42684
612655,42751,42966
616629,43025,43242
619663,43232,43451
624083,43535,43756
627881,43798,44021
629250,43894,44119
635353,44330,44557
639482,44652,44880
648923,45373,45602
655713,45883,46113
662624,46357,46588
670352,46908,47139
673356,47123,47357
679861,47567,47802
685171,47935,48171
689952,48260,48498
692284,48429,48669
699858,48949,49190
705062,49322,49565
710595,49711,49955
714451,49980,50226
720829,50403,50650
