sum_response_time,number_of_received_responses,number_of_sent_requests
667,42,46
6076,405,410
11601,771,778
18440,1222,1230
21773,1454,1464
26558,1784,1795
32787,2227,2240
39639,2708,2722
42899,2941,2957
44155,3030,3049
48855,3369,3389
54699,3759,3781
58234,4013,4037
65164,4499,4524
75171,5165,5190
77224,5303,5330
85747,5890,5918
89613,6158,6188
92648,6370,6402
98287,6769,6802
101211,6976,7011
110844,7631,7667
117687,8094,8131
124512,8575,8612
134440,9296,9334
138308,9590,9630
141199,9798,9840
143516,9961,10005
145878,10131,10178
152650,10617,10665
156474,10887,10937
163259,11353,11404
165458,11515,11568
167783,11666,11722
170405,11846,11904
173696,12075,12135
176461,12267,12329
180152,12528,12592
182735,12710,12777
189679,13182,13250
192239,13356,13426
196814,13666,13738
198337,13777,13852
199651,13867,13945
206075,14289,14368
213024,14762,14842
220493,15290,15371
224178,15545,15628
227833,15795,15880
237833,16505,16590
244720,16994,17080
248352,17248,17336
254736,17693,17782
262064,18220,18310
269025,18676,18766
278947,19355,19446
284328,19738,19830
292731,20305,20398
297264,20612,20706
303477,21073,21169
307912,21393,21490
309423,21502,21602
315099,21895,21996
318553,22126,22229
323582,22462,22567
323943,22492,22600
326738,22704,22814
333584,23184,23296
335679,23334,23448
341061,23699,23815
351054,24379,24495
355028,24651,24768
361251,25094,25213
364092,25294,25415
366305,25447,25570
368701,25613,25739
373423,25938,26066
377425,26227,26356
381925,26538,26669
384646,26842,26976
393269,27693,27827
398267,28039,28175
402285,28418,28556
407401,28865,29004
411552,29151,29292
416514,29484,29627
423479,29965,30109
427258,30231,30377
431640,30543,30690
436715,30902,31051
441735,31253,31404
451739,31960,32111
455643,32248,32401
459179,32501,32656
462983,32752,32909
469761,33222,33380
473596,33482,33642
477501,33756,33918
484315,34223,34386
490410,34632,34796
496620,35048,35213
501668,35391,35558
505855,35679,35848
514103,36249,36418
519692,36640,36811
523412,36882,37055
532370,37485,37658
537144,37818,37993
540787,38067,38244
542467,38186,38365
548368,38579,38760
552667,38873,39055
560291,39380,39563
565761,39765,39950
569727,40036,40223
579727,40633,40820
584384,40999,41187
593495,41697,41886
600443,42234,42424
602963,42395,42587
609603,42860,43053
614951,43221,43416
618506,43460,43657
621837,43685,43884
625349,43933,44134
632774,44453,44655
637127,44752,44956
643813,45221,45426
650795,45692,45898
656619,46102,46309
656789,46112,46322
662276,46498,46710
665287,46701,46915
669751,47017,47233
679740,47789,48005
684850,48175,48392
690330,48593,48811
693178,48793,49014
697440,49098,49321
699315,49223,49448
705089,49619,49846
709162,49898,50127
719160,50575,50804
723721,50903,51133
729515,51301,51533
736344,51793,52026
740316,52071,52306
746025,52467,52703
752431,52896,53133
754388,53035,53275
757552,53258,53500
763567,53684,53927
769146,54078,54323
772952,54355,54602
782466,55046,55293
789704,55539,55787
790830,55619,55870
794527,55871,56124
799679,56226,56480
804947,56585,56841
811695,57048,57305
815259,57291,57550
820913,57676,57936
825871,58012,58274
829501,58268,58532
835912,58703,58968
839709,58965,59232
844764,59320,59588
854186,60007,60276
861137,60502,60772
868100,60989,61260
872107,61259,61531
881851,61905,62178
885987,62197,62471
892722,62670,62945
899073,63116,63393
902869,63378,63657
909743,63839,64119
914678,64177,64458
919248,64489,64772
924271,64847,65132
933335,65505,65790
934418,65581,65869
940512,65995,66284
947912,66493,66783
949239,66586,66879
954481,66948,67242
959692,67310,67606
963414,67569,67867
968930,67938,68237
972552,68190,68491
978031,68572,68875
980007,68712,69017
985733,69105,69412
992681,69570,69878
1002559,70249,70557
1006558,70520,70830
1012504,70949,71260
1017100,71277,71590
1027096,72001,72314
1030739,72247,72562
1037249,72713,73029
1041468,72997,73315
1046221,73334,73653
1051182,73649,73970
1054913,73905,74228
1058586,74161,74486
1063594,74497,74824
1073586,75183,75510
1080506,75663,75991
1084236,75929,76259
1086563,76084,76416
1091857,76446,76780
1094944,76662,76998
1101758,77125,77462
1109109,77629,77967
1115719,78072,78411
1116632,78131,78472
1118415,78257,78601
1120076,78373,78720
1122115,78501,78851
1128989,78988,79339
1132760,79250,79603
1136642,79527,79882
1143043,79985,80341
1144413,80076,80435
1150910,80517,80877
1155089,80806,81168
1161990,81287,81650
1168811,81755,82119
1175561,82226,82591
1178594,82446,82813
1182968,82743,83112
1185326,82906,83277
1188171,83105,83478
1191052,83307,83683
1195664,83622,83999
1197824,83774,84154
1202534,84095,84477
1206275,84357,84741
1212486,84789,85174
1219994,85311,85697
1222216,85455,85843
1225007,85651,86041
1228548,85901,86294
1232712,86197,86591
1239221,86669,87065
1243000,86949,87347
1243907,87014,87415
1247802,87277,87680
1251713,87532,87937
1257087,87905,88311
1265539,88486,88893
1270887,88851,89259
1276001,89196,89606
1281395,89550,89961
1283339,89672,90086
1290331,90151,90566
1294111,90405,90822
1296280,90550,90969
1301843,90930,91351
1311854,91610,92031
1321847,92291,92712
1327405,92659,93081
1329867,92824,93248
1333401,93054,93481
1343400,93737,94164
1353228,94408,94835
1360145,94889,95317
1367080,95358,95787
1373875,95813,96243
1380610,96266,96697
1390620,96946,97377
1397428,97409,97841
1401655,97695,98128
1406446,98018,98453
1411666,98374,98811
1418615,98835,99273
1428595,99496,99934
1435359,99959,100398
1445182,100628,101067
1449204,100898,101339
1456159,101362,101804
1462001,101760,102203
1469515,102268,102712
1473538,102540,102986
1477477,102809,103257
1484406,103285,103734
1491182,103744,104194
1498133,104209,104660
1504269,104616,105068
1508697,104907,105361
1514571,105304,105759
1522401,105836,106292
1530814,106415,106871
1538540,106926,107383
1546166,107450,107908
1556168,108136,108594
1562652,108578,109037
1566907,108868,109329
1576895,109558,110019
1583687,110017,110479
1585995,110176,110640
1593018,110640,111105
1598242,110987,111454
1605222,111461,111929
1615183,112129,112597
1622220,112609,113078
1632223,113283,113752
1639088,113757,114227
1646722,114268,114738
1652793,114662,115134
1659728,115127,115600
1664261,115432,115906
1667382,115639,116116
1671127,115896,116375
1677249,116309,116789
1684693,116816,117297
1691698,117293,117775
1697983,117721,118204
1702056,118006,118491
1705838,118259,118746
1711727,118657,119145
1716316,118978,119468
1726322,119667,120157
1736323,120327,120817
1743198,120790,121281
1746836,121033,121526
1753681,121501,121995
1763670,122159,122653
1770442,122621,123116
1775210,122944,123440
1784167,123534,124031
1791173,124020,124518
1801176,124694,125192
1804935,124946,125446
1808756,125212,125714
1816361,125721,126223
1819369,125930,126435
1827180,126465,126970
1830157,126666,127174
1840162,127352,127860
1846991,127821,128330
1852582,128191,128701
1854401,128320,128833
1861282,128790,129304
1866902,129169,129684
1872053,129525,130042
1882051,130214,130731
1886264,130510,131028
1890781,130817,131337
1899290,131389,131910
1906089,131841,132363
1909876,132103,132627
1914486,132419,132944
1920509,132831,133358
1927253,133295,133823
1934129,133758,134287
1940111,134162,134692
1947977,134699,135230
1956488,135263,135794
1958994,135425,135958
1963460,135722,136257
1972145,136296,136832
1977654,136677,137214
1982656,137016,137555
1989552,137473,138013
1993507,137747,138289
1997011,137986,138530
2003766,138453,138998
2007493,138703,139250
2014331,139181,139729
2021244,139655,140204
2028099,140128,140678
2031903,140392,140944
2035439,140637,141191
2042288,141088,141643
2047252,141427,141983
2052904,141801,142359
2060913,142348,142906
2068006,142828,143387
2070287,142976,143538
2075511,143335,143898
2080978,143691,144255
2088540,144219,144784
2094434,144610,145177
2101197,145072,145640
2108841,145583,146151
2113951,145936,146506
2122044,146474,147045
2129316,146981,147552
2131660,147139,147713
2139542,147668,148243
2147532,148215,148790
2153377,148616,149193
2163368,149291,149868
2168705,149669,150247
2177183,150247,150826
2179657,150420,151001
2186760,150897,151479
2187222,150931,151516
2191814,151243,151830
2195440,151486,152075
2203473,152013,152602
2209226,152410,153001
2213668,152706,153298
2219707,153126,153720
2227741,153662,154256
2236655,154264,154859
2240609,154538,155135
2247563,155005,155603
2252232,155330,155929
2258657,155781,156381
2268162,156442,157043
2271923,156693,157296
2281926,157372,157975
2288914,157828,158432
2292648,158081,158687
2299560,158551,159158
2306209,158996,159604
2313259,159487,160096
2323252,160152,160761
2330536,160641,161250
2337156,161086,161697
2344124,161557,162169
2350732,162002,162615
2357878,162495,163109
2367883,163178,163792
2371731,163425,164041
2375466,163672,164290
2382229,164129,164748
2389028,164603,165223
2394548,164983,165604
2402828,165543,166165
2409537,165982,166605
2412597,166192,166817
2417060,166492,167119
2424013,166966,167594
2429078,167316,167945
2431300,167470,168102
2433758,167633,168267
2438083,167917,168553
2439735,168028,168666
2441684,168160,168801
2445979,168452,169095
2453940,168997,169641
2458105,169278,169923
2464205,169677,170324
2468110,169942,170591
2471952,170205,170856
2477259,170566,171218
2482362,170909,171563
2486411,171180,171835
2493284,171635,172292
2497746,171934,172592
2503584,172313,172973
2510696,172794,173455
2515142,173104,173766
2518368,173318,173983
2522310,173585,174252
2526306,173862,174530
2529392,174067,174738
2536358,174548,175220
2546350,175217,175889
2553266,175685,176358
2563264,176353,177026
2573247,177020,177693
2577043,177273,177948
2587027,177960,178635
2590750,178219,178896
2597548,178670,179348
2602394,178999,179678
2610903,179578,180258
2613489,179754,180436
2620630,180236,180919
2625962,180583,181267
2630683,180890,181576
2633269,181062,181751
2636127,181259,181950
2640897,181589,182282
2650452,182239,182932
2654680,182525,183220
2658648,182794,183491
2668644,183471,184168
2678649,184142,184839
2685915,184642,185339
2688377,184809,185509
2690298,184937,185639
2696920,185379,186083
2702567,185767,186472
2704575,185900,186608
2708921,186206,186915
2712219,186433,187145
2719199,186904,187617
2723318,187187,187901
2729691,187617,188333
2736512,188077,188794
2740321,188338,189057
2747081,188798,189518
2753911,189277,189998
2763269,189908,190629
2767679,190206,190929
2774441,190666,191390
2781368,191131,191856
2788345,191598,192324
2798339,192281,193007
2805286,192738,193465
2812223,193217,193945
2818976,193686,194415
2825789,194139,194869
2832619,194605,195336
2839610,195084,195816
2846611,195569,196302
2853408,196032,196766
2861435,196569,197303
2870258,197166,197901
2877138,197623,198359
2887138,198302,199038
2893914,198752,199489
2903518,199405,200142
2907875,199698,200437
2917867,200380,201119
2921573,200641,201381
2927853,201061,201803
2932275,201357,202101
2937021,201673,202418
2946026,202303,203049
2949946,202577,203325
2956717,203027,203776
2963652,203492,204242
2971203,204003,204753
2977312,204421,205173
2981149,204681,205435
2988133,205164,205919
2997177,205777,206532
3002006,206109,206866
3012011,206783,207540
3016948,207105,207863
3022844,207509,208269
3026866,207780,208541
3036595,208431,209193
3041972,208803,209566
3044030,208945,209711
3048632,209275,210042
3053550,209615,210384
3061321,210161,210931
3066492,210514,211285
3074004,211017,211789
3078816,211337,212111
3085796,211805,212580
3092541,212259,213035
3102541,212923,213699
3106297,213163,213940
3112489,213576,214355
3120146,214085,214865
3126955,214545,215326
3135068,215101,215882
3140545,215471,216254
3149527,216091,216874
3155973,216528,217312
3161487,216911,217697
3168466,217384,218171
3172398,217648,218437
3176829,217945,218735
3183158,218382,219174
3185846,218565,219359
3193944,219108,219903
3199938,219510,220306
3204710,219837,220635
3211581,220320,221119
3218511,220787,221587
3225395,221249,222050
3230782,221609,222411
3239256,222195,222998
3241598,222350,223155
3246596,222679,223486
3250735,222959,223767
3254150,223184,223995
3257989,223448,224261
3261896,223701,224516
3265714,223963,224780
3272550,224427,225245
3282558,225111,225929
3289280,225563,226382
3296201,226038,226858
3306210,226718,227538
3313033,227174,227995
3318630,227541,228363
3321642,227736,228560
3325772,228008,228834
3331390,228396,229224
3341392,229084,229912
3350922,229745,230573
3354771,230012,230842
3362048,230506,231337
3368834,230971,231803
3375778,231444,232277
3379515,231702,232537
3386451,232163,232999
3390407,232419,233256
3393979,232661,233501
3398655,232980,233821
3402590,233250,234093
3408555,233658,234503
3416343,234173,235018
3419360,234374,235221
3429125,235029,235877
3439116,235712,236560
3446094,236186,237035
3453002,236649,237499
3456010,236857,237709
3462802,237310,238163
3466918,237586,238441
3469009,237729,238586
3474434,238095,238954
3478124,238346,239207
3486563,238927,239788
3491549,239257,240120
3494820,239480,240345
3502418,240005,240871
3506401,240271,241139
3515623,240905,241773
3523343,241423,242292
3527231,241676,242547
3537227,242354,243225
3541124,242616,243489
3547807,243072,243946
3554845,243536,244411
3561633,243979,244855
3565424,244228,245106
3569185,244478,245358
3576102,244950,245831
3582858,245417,246299
3589742,245882,246765
3596663,246343,247227
3603491,246804,247689
3613480,247497,248382
3619942,247931,248817
3627154,248407,249294
3634080,248877,249765
3637805,249126,250016
3642739,249465,250356
3648400,249853,250746
3655352,250325,251219
3665368,251001,251895
3675372,251677,252571
3682142,252139,253034
3691106,252751,253646
3693446,252907,253804
3699464,253320,254219
3706372,253801,254701
3716374,254477,255377
3720495,254759,255660
3727033,255197,256100
3735860,255777,256680
3739521,256022,256927
3744802,256363,257269
3753721,256964,257871
3758019,257251,258160
3768026,257906,258815
3774888,258362,259272
3778713,258621,259533
3782588,258883,259797
3789372,259333,260248
3796190,259804,260720
3799907,260058,260976
3800307,260083,261004
3805410,260427,261349
3811331,260832,261756
3818303,261302,262227
3825281,261764,262690
3832137,262232,263159
3842139,262899,263826
3848895,263354,264282
3852602,263603,264533
3856187,263857,264789
3862981,264312,265245
3866636,264559,265494
3873502,265029,265965
3880341,265500,266437
3890335,266178,267115
3897284,266662,267600
3904177,267138,268077
3906947,267326,268267
3911674,267649,268592
3915342,267897,268842
3922331,268359,269305
3932323,269038,269984
3937004,269361,270308
3939749,269546,270496
3947892,270095,271045
3953605,270464,271416
3960565,270932,271885
3967722,271418,272371
3974125,271846,272801
3981138,272322,273277
3991061,272986,273942
3992498,273082,274040
4001441,273681,274640
4005405,273957,274918
4015381,274630,275591
4025389,275301,276262
4029682,275593,276555
4035913,276022,276986
4045933,276692,277656
4052683,277155,278120
4062696,277842,278807
4069555,278310,279276
4075780,278742,279709
4080196,279039,280008
4087128,279500,280470
4097141,280160,281130
4102232,280503,281474
4110888,281081,282053
4115500,281387,282360
4124707,282010,282984
4129815,282359,283334
4132244,282524,283502
4138293,282934,283913
4146032,283454,284434
4149208,283667,284649
4153711,283975,284959
4161419,284513,285497
4167457,284906,285892
4171257,285160,286148
4174816,285397,286387
4178645,285651,286643
4187994,286297,287289
4189717,286416,287410
4199390,287067,288062
4203792,287374,288370
4206912,287580,288579
4210525,287828,288829
4220522,288501,289502
4224395,288766,289769
4232846,289336,290339
4236110,289565,290570
4245155,290154,291160
4249728,290457,291464
4252727,290660,291670
4259495,291113,292124
4265745,291530,292542
4270041,291815,292829
4280031,292489,293503
4290037,293167,294181
4300032,293846,294860
4306921,294304,295319
4313925,294791,295807
4317787,295057,296075
4324735,295537,296556
4330977,295961,296981
4338436,296450,297471
4345379,296936,297958
4352358,297384,298407
4359012,297839,298863
4363650,298154,299179
4366902,298374,299402
4371125,298655,299684
4377725,299100,300131
4381694,299368,300401
4391699,300046,301079
4397338,300434,301468
4402464,300770,301806
4406337,301033,302071
4411841,301410,302449
4420063,301968,303008
4427000,302436,303477
4436994,303098,304139
4445655,303678,304719
4450759,304025,305068
4457524,304490,305534
4462610,304841,305886
4468144,305210,306257
4474143,305616,306664
4478533,305900,306950
4481241,306077,307129
4487984,306529,307582
4492745,306871,307926
4498717,307273,308329
4503256,307572,308630
4510107,308035,309094
4516942,308497,309557
4523790,308961,310022
4532399,309545,310606
4540660,310096,311158
4547611,310564,311627
4551925,310854,311918
4558571,311286,312351
4568179,311915,312981
4574937,312362,313429
4581869,312828,313896
4584064,312977,314047
4589220,313324,314396
4594215,313657,314730
4602904,314228,315302
4612895,314921,315995
4616923,315203,316278
4626676,315878,316954
4630378,316137,317215
