sum_response_time,number_of_received_responses,number_of_sent_requests
6781,450,452
13767,921,924
20621,1358,1362
29022,1918,1922
36797,2462,2467
41581,2792,2798
47882,3243,3251
50837,3453,3463
52206,3548,3561
55512,3771,3786
57496,3913,3930
60181,4092,4112
63939,4364,4386
66022,4504,4528
71464,4849,4875
75134,5094,5122
84823,5758,5786
86100,5845,5875
92179,6273,6305
96136,6554,6587
103199,7059,7093
109783,7493,7529
114923,7830,7867
118569,8086,8125
124132,8491,8532
132497,9111,9152
137894,9503,9546
144789,10003,10047
149885,10372,10417
158642,11002,11048
161574,11217,11265
163745,11365,11415
165345,11484,11537
167465,11630,11685
171143,11885,11943
174079,12092,12152
178534,12400,12462
180116,12511,12575
183330,12735,12802
190158,13189,13257
193520,13419,13489
198887,13791,13862
201130,13953,14027
201774,13997,14074
205799,14266,14345
213035,14759,14839
216888,15024,15106
220638,15281,15365
224294,15548,15634
231214,16046,16133
237545,16501,16589
242155,16822,16911
248704,17285,17376
255572,17774,17866
257858,17922,18016
264620,18382,18477
269671,18742,18839
276520,19201,19299
278328,19325,19425
280006,19444,19547
282021,19593,19698
285359,19834,19941
288958,20090,20200
295776,20544,20655
299484,20814,20927
304017,21133,21247
307407,21365,21481
311200,21632,21751
316717,22002,22122
321329,22323,22445
322304,22388,22513
324085,22516,22643
328466,22825,22954
330377,22954,23086
331074,23001,23135
334659,23246,23383
338402,23497,23636
344405,23914,24054
346499,24060,24202
350885,24353,24497
354912,24625,24771
357448,24805,24954
363794,25239,25389
368105,25523,25675
371910,25648,25802
378007,26062,26217
383114,26408,26564
389318,26837,26995
393614,27145,27304
396887,27379,27541
403247,27836,27999
404828,27949,28114
412081,28476,28642
414490,28646,28815
420753,29068,29238
428269,29595,29766
431935,29857,30030
436190,30155,30329
445555,30795,30970
452518,31263,31439
459416,31732,31909
464838,32123,32301
469283,32415,32595
470881,32521,32704
480867,33207,33390
486801,33605,33789
490446,33854,34040
493952,34095,34283
499008,34448,34638
508995,35179,35369
515802,35630,35821
525092,36257,36448
528826,36518,36711
533187,36823,37018
535823,37016,37213
540865,37391,37590
545659,37764,37964
550033,38100,38302
553186,38336,38540
556083,38539,38746
558415,38698,38907
558723,38717,38929
564603,39104,39318
571599,39582,39797
577161,39964,40180
581080,40242,40460
588598,40771,40990
592610,41062,41283
593810,41139,41362
600294,41586,41811
609978,42250,42475
617054,42752,42978
618272,42838,43066
621385,43053,43284
628354,43590,43822
632238,43887,44121
635863,44161,44396
645406,44802,45038
647362,44946,45184
651040,45197,45437
656815,45587,45829
660834,45866,46110
667635,46335,46580
673613,46763,47009
677815,47057,47305
683901,47496,47745
687296,47729,47980
695370,48288,48540
702704,48779,49032
707111,49097,49351
713032,49520,49776
715049,49666,49924
720605,50054,50314
724802,50352,50613
731314,50817,51080
738590,51314,51577
746055,51846,52110
753765,52381,52646
758786,52725,52992
765723,53204,53472
774175,53785,54053
780894,54237,54506
786431,54613,54884
792999,55061,55333
797039,55343,55617
803936,55822,56097
810026,56249,56525
815601,56642,56919
822003,57104,57382
825172,57327,57608
833198,57886,58167
841932,58483,58765
847569,58855,59138
849797,59004,59289
853551,59275,59563
860970,59809,60097
867226,60230,60520
877226,60920,61210
882750,61300,61591
887770,61644,61937
894708,62134,62428
898499,62411,62707
905329,62902,63199
909136,63158,63457
914200,63500,63800
919744,63891,64193
924565,64094,64397
929196,64416,64721
