sum_response_time,number_of_received_responses,number_of_sent_requests
3765,251,254
12471,831,834
17486,1166,1171
21382,1424,1431
28614,1913,1920
33600,2253,2262
36007,2421,2432
45148,3070,3082
46385,3157,3172
49755,3382,3399
51095,3470,3490
57950,3926,3947
61930,4204,4226
69525,4741,4764
75513,5133,5158
79469,5397,5424
86442,5879,5907
90555,6162,6191
96089,6541,6572
97687,6657,6691
101667,6937,6973
105404,7193,7231
109196,7440,7479
116012,7927,7968
120553,8254,8296
128125,8806,8849
133517,9194,9239
137900,9506,9552
144147,9958,10006
149719,10356,10405
151689,10491,10543
155328,10747,10801
160750,11109,11164
164927,11389,11446
166771,11516,11576
173234,11965,12026
176672,12202,12265
180483,12470,12535
181204,12519,12587
188393,13012,13081
190946,13188,13259
197197,13613,13685
201480,13815,13889
204067,13989,14066
209421,14351,14429
217414,14887,14966
221178,15149,15230
227512,15586,15668
232107,15906,15990
235818,16169,16255
242722,16659,16746
248516,17067,17155
253224,17396,17486
257085,17670,17762
257652,17704,17798
264390,18158,18254
271315,18656,18752
275032,18913,19012
280086,19253,19353
283491,19497,19599
292222,20122,20225
299208,20623,20727
305577,21066,21171
310065,21373,21480
315270,21727,21835
318375,21943,22053
324657,22381,22493
328569,22652,22766
330909,22814,22930
332675,22936,23055
336463,23197,23318
337295,23254,23378
344288,23743,23868
347853,23991,24117
354679,24460,24588
361615,24935,25064
362302,24982,25113
368900,25437,25570
372957,25713,25847
377603,26027,26163
378706,26105,26244
384469,26505,26646
388573,26794,26936
395140,27234,27378
398983,27498,27644
402924,27769,27917
407847,28114,28263
411708,28383,28534
415098,28633,28786
424045,29274,29428
429785,29696,29851
433228,29942,30099
438508,30324,30483
444248,30726,30886
450090,31128,31289
452896,31316,31480
456640,31577,31743
461015,31886,32053
464253,32104,32274
468775,32413,32584
474357,32783,32956
478750,33095,33270
484931,33520,33696
489507,33835,34013
493345,34100,34280
500148,34540,34721
507037,35002,35184
513912,35477,35660
520801,35955,36139
527581,36442,36627
534417,36899,37085
542574,37461,37647
546656,37738,37926
552141,38135,38325
556372,38462,38653
559779,38838,39032
566550,39363,39558
571731,39753,39949
