sum_response_time,number_of_received_responses,number_of_sent_requests
3613,237,240
5841,383,388
9042,589,596
15119,992,1001
22066,1475,1485
27606,1857,1868
32999,2235,2248
39936,2727,2741
46256,3185,3200
47416,3266,3284
51226,3544,3564
58092,4016,4037
62264,4304,4326
65836,4552,4577
75836,5209,5234
79425,5450,5477
89427,6139,6166
92187,6327,6356
94391,6476,6507
101821,7007,7039
104752,7217,7251
111364,7681,7717
121332,8349,8385
125151,8617,8655
131798,9103,9142
138668,9609,9649
142703,9904,9946
146642,10184,10228
152941,10641,10686
156671,10909,10956
160929,11218,11267
166036,11574,11624
170094,11854,11906
175240,12194,12248
179747,12501,12556
184147,12814,12871
189709,13199,13258
192706,13415,13476
197696,13761,13823
203753,14161,14225
207032,14392,14458
211277,14683,14751
213105,14819,14889
215195,14962,15035
222926,15467,15541
229639,15930,16005
236890,16437,16513
242469,16827,16904
244474,16964,17044
251259,17450,17531
254542,17683,17766
259361,18022,18106
263632,18325,18411
269510,18748,18835
272975,18974,19064
278475,19344,19435
283596,19710,19802
284592,19773,19868
289474,20106,20203
294963,20511,20610
302564,21064,21163
307441,21419,21520
311925,21724,21827
317735,22115,22219
324585,22572,22677
327040,22751,22859
330850,23015,23125
337674,23506,23617
342735,23847,23959
344566,23977,24092
349125,24296,24413
349755,24339,24459
353843,24624,24746
361185,25120,25242
364616,25358,25482
368091,25594,25721
368775,25640,25769
375383,26086,26217
377288,26218,26351
381013,26483,26618
389568,27067,27203
396512,27535,27672
402720,27896,28034
406815,28162,28302
413556,28619,28760
419501,29031,29173
422442,29237,29381
428018,29626,29772
434830,30101,30248
441762,30590,30738
448720,31084,31233
455703,31581,31731
459403,31854,32006
465130,32259,32412
473156,32795,32949
479630,33243,33398
483871,33555,33712
490731,33971,34129
500726,34656,34814
506757,35067,35226
514616,35601,35761
523480,36228,36388
529933,36673,36834
535351,37045,37208
542841,37562,37725
548236,37925,38090
553116,38253,38420
560001,38724,38892
569946,39417,39585
573909,39710,39879
583713,40368,40538
587407,40613,40785
592479,40957,41130
593023,40996,41172
596037,41205,41383
599543,41447,41628
603390,41743,41926
608400,42122,42306
614064,42552,42738
616802,42733,42921
618403,42844,43034
625236,43305,43497
630183,43640,43833
633810,43889,44084
639791,44293,44490
642097,44450,44649
646795,44767,44968
647400,44809,45013
651652,45106,45312
654068,45273,45481
655790,45395,45606
660032,45696,45909
663803,45948,46163
664918,46027,46244
671573,46544,46763
678368,47064,47284
682057,47343,47564
692038,48023,48245
699945,48583,48805
705871,48997,49221
709201,49228,49454
713173,49507,49735
718443,49864,50093
723502,50236,50467
728400,50586,50818
733273,50936,51170
737844,51257,51493
747848,51945,52181
754842,52418,52655
761710,52910,53148
765641,53191,53431
772583,53691,53932
782601,54404,54645
789820,54920,55161
796497,55401,55644
803317,55882,56126
809038,56295,56540
812585,56545,56792
820866,57126,57374
824552,57372,57622
828253,57630,57882
835073,58096,58349
842040,58579,58833
844926,58785,59041
849493,59108,59366
853406,59366,59626
858652,59736,59997
860733,59874,60138
868150,60889,61154
877833,61632,61897
882958,61985,62251
885667,62168,62437
889551,62428,62699
893293,62692,62965
900262,63196,63470
910272,63908,64182
913830,64155,64431
917625,64411,64689
922556,64751,65030
925545,64956,65238
927924,65128,65412
929799,65265,65552
933533,65540,65829
940476,66040,66330
945162,66348,66639
952145,66837,67129
955972,67104,67398
961580,67489,67785
964240,67676,67974
968203,67939,68239
974818,68400,68701
977281,68568,68871
977599,68590,68897
984406,69051,69359
989621,69411,69720
992193,69587,69899
994803,69760,70074
998833,70051,70367
1003305,70365,70683
1007216,70652,70972
1014198,71125,71446
1016114,71259,71582
1021396,71625,71950
1028236,72105,72431
1031213,72303,72631
1034502,72522,72852
1038664,72811,73143
1042244,73055,73389
1050554,73626,73961
1057447,74110,74446
1064311,74590,74927
1068648,74894,75232
1074485,75289,75629
1076548,75432,75774
1082358,75820,76164
1086470,76099,76444
1089971,76343,76691
1092231,76509,76859
1095738,76750,77102
1096689,76818,77173
1101763,77157,77514
1102816,77231,77591
1111164,77814,78174
1118866,78358,78719
1123963,78720,79082
1126472,78888,79253
1130475,79164,79531
1131872,79262,79631
1134432,79443,79815
1135964,79545,79920
1139672,79812,80189
1146636,80313,80691
1152429,80714,81093
1158905,81164,81544
1161021,81311,81694
1162414,81409,81794
1165884,81650,82037
1168118,81804,82194
1169789,81915,82308
1175803,82342,82736
1179090,82573,82969
1184281,82928,83326
1191206,83385,83784
1198011,83861,84261
1204787,84339,84740
1208898,84634,85036
1215129,85089,85493
1220357,85469,85874
1226255,85894,86300
1229387,86106,86515
1232583,86321,86732
1236832,86617,87030
1246829,87295,87708
1252618,87682,88096
1256966,87982,88398
1259686,88165,88583
1266186,88609,89028
1271793,88982,89403
1278634,89437,89859
1282522,89695,90119
1286446,89968,90393
1293212,90427,90854
1297074,90690,91118
1305326,91261,91690
1309465,91548,91979
1312717,91767,92200
1314871,91905,92341
1324857,92589,93025
1331693,93064,93501
1335046,93285,93724
1342298,93765,94205
1349139,94231,94672
1354956,94626,95068
1358554,94863,95307
