sum_response_time,number_of_received_responses,number_of_sent_requests
6928,464,466
16930,1140,1142
26922,1800,1802
33881,2264,2267
37906,2535,2539
44514,2996,3002
51279,3479,3486
60487,4134,4141
64952,4447,4456
68941,4739,4749
72320,4978,4991
76436,5258,5273
81334,5600,5616
83927,5780,5799
91581,6288,6307
100157,6872,6892
107331,7367,7388
108468,7446,7469
114196,7839,7864
115822,7956,7983
120296,8278,8307
126452,8685,8716
131661,9029,9061
133983,9190,9225
140664,9450,9486
144766,9749,9787
149327,10072,10111
155395,10513,10554
158376,10731,10774
159962,10843,10889
163556,11101,11149
167467,11371,11421
171225,11640,11692
174989,11889,11943
176540,11992,12048
182427,12412,12470
192427,13098,13156
199149,13550,13609
203260,13830,13891
211446,14387,14448
217961,14828,14890
220813,15021,15086
223762,15228,15295
225109,15319,15389
231993,15778,15849
238427,16219,16291
242910,16538,16612
249350,16989,17064
253576,17285,17362
257880,17588,17666
263293,17978,18058
268080,18316,18398
271868,18582,18666
278863,19088,19173
283660,19410,19496
287706,19680,19768
293540,20098,20187
299906,20361,20452
303830,20619,20712
313837,21354,21447
320810,21854,21948
326898,22299,22394
334412,22816,22912
341196,23274,23371
344936,23549,23648
349336,23863,23963
352744,24095,24197
356415,24359,24464
361575,24735,24841
366991,25103,25211
373928,25579,25688
374871,25639,25750
384591,26324,26436
391342,26773,26886
391926,26813,26928
395971,27087,27204
402441,27528,27647
408496,27946,28066
411284,28140,28262
414594,28369,28493
415497,28434,28561
419217,28692,28821
424903,29071,29202
431679,29522,29654
438148,29913,30046
442641,30222,30356
446396,30487,30623
453784,30998,31135
457823,31276,31415
463721,31694,31835
467520,31957,32100
472030,32278,32422
478230,32730,32876
485046,33200,33347
492024,33666,33814
494751,33848,33998
502544,34410,34561
506878,34714,34866
510263,34943,35097
515998,35329,35485
519376,35563,35721
524570,35929,36089
530689,36340,36501
531986,36433,36597
535836,36690,36856
545833,37353,37519
552730,37813,37980
559562,38303,38471
565342,38713,38882
571441,39168,39338
575927,39455,39627
577629,39573,39748
585927,40139,40314
588301,40312,40490
592170,40578,40758
599026,41082,41263
605881,41612,41794
612698,42135,42318
619486,42652,42836
621723,42797,42983
626607,43129,43317
630832,43418,43608
635505,43743,43934
638647,43962,44156
641196,44146,44342
641501,44168,44367
644686,44387,44588
650334,44790,44993
654081,45044,45249
657878,45296,45503
664787,45764,45972
670761,46173,46382
675404,46487,46698
682344,46984,47196
684462,47147,47361
689807,47557,47773
693496,47836,48053
696806,48058,48278
701216,48375,48597
704992,48636,48860
708966,48913,49139
712924,49184,49412
718238,49542,49771
723591,49927,50158
727320,50190,50423
737070,50888,51121
740896,51157,51392
746370,51533,51769
748699,51685,51924
753138,52005,52245
759301,52444,52686
766587,52955,53197
772925,53396,53640
777011,53694,53939
783738,54175,54422
787949,54474,54722
794465,54938,55188
800315,55335,55586
802014,55450,55704
805718,55706,55962
809599,55974,56232
811608,56099,56359
816105,56413,56675
820868,56747,57011
827677,57216,57481
831250,57460,57727
836648,57831,58099
841727,58191,58461
846091,58499,58771
850149,58788,59061
859893,59474,59748
869892,60050,60324
876179,60471,60746
880456,60776,61053
887446,61281,61559
894056,61760,62039
894976,61823,62105
901940,62305,62588
906616,62622,62906
911196,62946,63232
913225,63095,63384
918997,63517,63807
926890,64094,64385
933979,64586,64877
941489,65089,65381
944076,65270,65565
947597,65523,65820
957590,66217,66514
960245,66404,66703
966946,66865,67165
972253,67226,67528
976603,67531,67834
979987,67766,68072
986939,68263,68569
993662,68717,69025
997602,68978,69288
1004562,69465,69776
1010594,69887,70199
1015077,70212,70526
1017008,70355,70671
1019574,70530,70849
1024699,70875,71195
1028223,71118,71440
1034343,71539,71862
1042868,72104,72428
1044905,72237,72563
1050291,72617,72945
1054939,72928,73258
1057304,73089,73421
1060747,73334,73668
1066086,73701,74037
1070679,74017,74354
1073554,74217,74557
1077334,74471,74813
1081381,74753,75096
1087860,75203,75548
1094603,75662,76008
1098949,75976,76323
1102312,76208,76558
1109192,76689,77040
1109683,76720,77074
1110173,76755,77112
1114663,77064,77422
1120753,77495,77855
1124649,77773,78135
1127651,77980,78344
1132580,78321,78687
1135883,78543,78911
1136585,78593,78964
1138738,78750,79123
1142057,78984,79359
1144533,79164,79542
1148352,79432,79812
1149982,79539,79922
1155617,79919,80303
1157415,80045,80432
1160824,80288,80677
1162326,80389,80780
1165253,80587,80981
1169232,80865,81261
1175095,81277,81674
1178827,81537,81936
1183457,81841,82242
1187493,82122,82524
1190575,82339,82744
1192107,82446,82853
1198745,82930,83339
1202484,83201,83612
1212486,83922,84333
1222366,84601,85012
1226259,84867,85280
1233064,85321,85735
1238362,85680,86095
1243473,86020,86437
1247454,86288,86707
1251174,86540,86961
1257975,86993,87415
1264913,87461,87884
1266218,87543,87968
1272530,87983,88410
1273159,88027,88456
1277669,88342,88773
1280795,88554,88987
1290475,89207,89641
1296318,89601,90036
1297897,89709,90147
1304718,90170,90609
1308678,90443,90884
1315421,90914,91356
1321807,91334,91777
1324068,91479,91924
1329491,91848,92295
1338349,92456,92903
1343329,92793,93242
1347005,93046,93497
1353831,93507,93959
1358793,93853,94306
1365433,94297,94751
1371122,94670,95126
1377878,95140,95597
1384752,95599,96057
1391566,96063,96522
1399793,96606,97065
1405332,96983,97444
1412200,97446,97908
1419801,97959,98421
1423884,98244,98708
1432941,98866,99331
1442925,99542,100007
1445596,99720,100187
1447189,99828,100298
1454075,100295,100766
1460948,100758,101230
1464906,101021,101494
1471564,101483,101958
1474927,101709,102186
1481329,102142,102620
1484834,102384,102864
1489077,102669,103151
1496541,103171,103654
1503733,103677,104160
1510231,104113,104598
1514067,104378,104865
1524061,105063,105550
1534063,105731,106218
1540870,106199,106687
1548156,106686,107174
1557788,107335,107824
1564537,107780,108270
1571379,108242,108733
1581383,108906,109397
1590348,109497,109988
1592157,109621,110114
1598660,110075,110570
1601344,110257,110754
1607619,110672,111170
1616114,111250,111749
1622875,111701,112201
1626850,111977,112479
1631440,112285,112788
1637356,112697,113202
1644108,113157,113663
1649435,113504,114011
1654998,113889,114398
1661942,114374,114884
1668690,114829,115340
1678671,115497,116008
1685522,115962,116474
1694321,116557,117069
1699287,116880,117394
1705199,117281,117796
1709880,117607,118124
1716868,118068,118586
1726873,118743,119261
1733652,119208,119727
1740141,119641,120161
1744176,119910,120432
1750679,120340,120863
1757739,120831,121355
1764681,121309,121834
1771455,121774,122300
1776700,122134,122661
1782245,122517,123046
1789135,122975,123505
1795367,123397,123928
1800215,123727,124259
1806689,124171,124705
1813498,124623,125158
1820385,125103,125639
1827265,125579,126116
1831260,125860,126398
1840188,126450,126989
1844970,126775,127316
1849595,127087,127629
1853468,127351,127895
1859456,127750,128296
1866411,128228,128775
1876399,128896,129443
1883192,129353,129901
1888146,129683,130232
1893702,130047,130598
1903713,130726,131277
1907485,130979,131532
1912732,131326,131880
1919654,131810,132365
1924945,132181,132738
1934939,132844,133401
1936679,132962,133521
1942368,133353,133914
1952372,134036,134597
1960929,134627,135188
1969285,135210,135772
1979286,135889,136451
1984327,136232,136795
1989840,136603,137168
1997961,137157,137722
2003497,137522,138089
2009506,137935,138503
2012537,138139,138709
2021023,138722,139293
2031018,139399,139970
2037847,139859,140431
2044662,140325,140898
2051580,140784,141358
2061581,141473,142047
2071584,142145,142719
2079365,142665,143239
2086091,143105,143680
2091875,143501,144078
2096537,143814,144392
2101484,144138,144718
2105388,144421,145003
2112839,144914,145497
2117394,145213,145798
2125399,145744,146329
2131240,146130,146717
2138162,146618,147206
2147165,147226,147814
2150547,147450,148040
2158585,148003,148594
2168586,148681,149272
2170966,148844,149437
2176210,149181,149776
2180837,149475,150071
2186927,149881,150479
2194853,150422,151020
2200661,150808,151408
2208885,151354,151954
2215420,151797,152398
2224086,152379,152981
2228258,152660,153263
2234871,153117,153722
2238659,153382,153989
2245610,153862,154470
2252018,154299,154908
2259543,154806,155416
2266426,155257,155868
2272346,155650,156262
2276980,155968,156582
2286986,156643,157257
2293905,157114,157729
2298417,157417,158033
2304775,157850,158468
2310122,158215,158834
2315367,158573,159194
2322168,159044,159666
2325878,159297,159921
2329633,159560,160186
2336573,160026,160653
2340679,160300,160928
2344413,160549,161180
2354408,161239,161870
2358185,161494,162126
2366064,162033,162666
2371886,162417,163052
2378877,162903,163539
2385662,163365,164002
2392480,163822,164460
2397542,164171,164810
2403063,164554,165195
2409926,165010,165652
2416792,165456,166099
2426808,166133,166776
2430732,166395,167040
2434581,166662,167309
2441349,167121,167769
2442108,167174,167825
2452106,167857,168508
2462110,168531,169182
2466085,168804,169457
2473025,169261,169915
2479774,169705,170360
2486551,170165,170821
2490202,170410,171068
2496992,170863,171522
2506991,171521,172180
2513925,172001,172661
2523921,172697,173357
2527649,172942,173604
2531741,173216,173879
2535510,173471,174136
2539750,173756,174423
2542506,173938,174608
2546361,174197,174868
2553108,174664,175337
2557626,174966,175640
