sum_response_time,number_of_received_responses,number_of_sent_requests
9989,654,655
11237,736,739
15323,1003,1008
18684,1226,1233
21996,1450,1460
28870,1930,1941
35699,2420,2432
41770,2857,2870
46379,3189,3204
49607,3434,3451
50857,3523,3543
57771,3998,4019
62245,4318,4340
68257,4738,4762
72181,4999,5025
81685,5637,5663
88678,6122,6149
92602,6393,6422
99396,6872,6902
108473,7524,7554
114003,7918,7949
123140,8536,8568
131430,9083,9115
137018,9474,9508
144602,9995,10029
150702,10445,10481
154652,10724,10761
158105,10973,11013
161275,11206,11248
162832,11314,11359
169813,11802,11848
176557,12272,12319
179061,12445,12494
180886,12568,12620
184715,12833,12887
194702,13528,13582
198495,13785,13841
201464,13994,14052
202931,14089,14150
212934,14771,14832
216226,15003,15066
218036,15129,15194
221093,15343,15411
227930,15627,15696
237933,16302,16371
244367,16745,16815
248610,17044,17116
254146,17425,17498
259330,17788,17863
263092,18053,18130
270039,18544,18622
275200,18903,18982
278551,19136,19217
284429,19558,19640
287102,19740,19825
292170,20088,20174
298687,20551,20639
305546,21021,21110
307626,21164,21255
313056,21563,21656
316815,21832,21927
323784,22332,22428
328069,22633,22730
334444,23064,23163
341302,23544,23644
345723,23857,23958
349100,24091,24194
353953,24434,24539
354869,24498,24606
359770,24852,24962
361056,24944,25057
367748,25417,25531
371573,25689,25805
374427,25889,26007
382634,26457,26576
386324,26703,26824
390245,26980,27102
395962,27374,27498
400612,27688,27814
408502,28222,28348
411291,28411,28540
418204,28884,29014
424412,29303,29434
428683,29583,29716
432519,29841,29976
439272,30308,30444
443099,30574,30712
446749,30825,30965
453713,31325,31465
460664,31810,31952
466677,32234,32377
469132,32409,32554
471769,32601,32749
478664,33084,33233
485489,33540,33690
488149,33714,33866
490030,33852,34007
500024,34566,34721
510018,35247,35402
512543,35416,35573
515135,35592,35751
521427,36037,36198
528305,36495,36657
533453,36839,37002
535919,37000,37166
542893,37460,37627
549789,37913,38081
556769,38393,38562
566771,39092,39261
572203,39482,39652
578971,39933,40104
586549,40448,40620
589325,40639,40813
589667,40663,40840
595695,41106,41285
602607,41547,41727
609522,42078,42259
619522,42837,43018
625033,43266,43448
627239,43422,43607
637234,44089,44274
638990,44199,44386
644816,44596,44785
647863,44807,44998
651361,45060,45253
653317,45189,45384
659023,45588,45785
660428,45683,45883
664327,45928,46130
670563,46351,46554
674696,46639,46844
677643,46852,47059
679402,46975,47185
686271,47461,47672
693209,47992,48204
700145,48524,48737
703740,48796,49010
705924,48951,49168
711085,49316,49535
713953,49516,49737
715456,49614,49838
722197,50080,50305
726343,50357,50583
733663,50878,51105
737231,51127,51356
740310,51349,51581
744043,51606,51840
750925,52085,52320
755870,52419,52655
759004,52642,52880
764408,53025,53265
769280,53378,53620
773092,53648,53892
783092,54366,54610
789854,54850,55095
796805,55334,55580
802508,55743,55990
810504,56289,56537
815390,56625,56874
820147,56945,57196
825093,57288,57541
828814,57532,57787
831185,57695,57952
831932,57745,58005
838599,58203,58464
839982,58292,58556
843470,58528,58794
845708,58680,58948
855145,59367,59636
862112,59860,60130
864568,60034,60306
872788,60585,60858
876560,60850,61125
880534,61124,61401
887536,61624,61902
897529,62335,62613
907527,63011,63289
909270,63128,63408
913907,63443,63725
918774,63779,64063
922699,64060,64346
926699,64357,64644
929633,64571,64861
937014,65079,65370
943096,65491,65783
950773,66027,66320
957583,66511,66805
964427,66985,67280
965723,67079,67376
969683,67346,67645
976853,67856,68156
980037,68081,68383
984636,68419,68723
987853,68640,68946
994032,69055,69363
998001,69316,69626
1001766,69577,69889
1008667,70059,70372
1014882,70501,70815
1019431,70829,71145
1029438,71500,71816
1036184,71959,72276
1037957,72082,72401
1041286,72312,72633
1044482,72530,72853
1046462,72676,73002
1050055,72917,73245
1051812,73037,73368
1056164,73336,73669
1061060,73678,74012
1066793,74074,74410
1068135,74170,74508
1074462,74614,74954
1077510,74830,75172
1078957,74927,75271
1085463,75379,75725
1089184,75629,75977
1092021,75830,76180
1096672,76172,76524
1100574,76446,76800
1104085,76680,77036
1111307,77189,77546
1115201,77464,77822
1119751,77782,78142
1125090,78163,78525
1128267,78384,78748
1132734,78696,79062
