sum_response_time,number_of_received_responses,number_of_sent_requests
6945,450,452
13904,913,916
18494,1208,1212
24534,1611,1617
28284,1861,1868
35045,2330,2339
41857,2818,2828
48479,3288,3299
52385,3573,3586
59256,4074,4088
65732,4540,4555
69945,4814,4831
71884,4952,4971
74681,5151,5172
81426,5589,5612
86639,5940,5964
89660,6144,6170
95001,6509,6537
99653,6834,6864
105656,7261,7292
107296,7381,7415
115906,7970,8004
121206,8330,8366
128056,8815,8852
134018,9247,9285
140512,9717,9756
145426,10074,10115
155419,10794,10835
161261,11216,11258
165675,11530,11574
169828,11828,11874
173074,12047,12095
176214,12256,12306
181241,12588,12640
186776,12966,13019
191693,13312,13367
194631,13516,13573
199229,13828,13887
205413,14253,14313
206947,14355,14418
210688,14621,14686
212443,14743,14810
215223,14944,15014
217135,15073,15145
223095,15464,15538
229563,15902,15977
230755,15989,16067
236478,16412,16491
238801,16575,16656
244462,16986,17069
248932,17306,17391
251625,17495,17582
256347,17834,17923
261399,18203,18293
267117,18574,18666
273918,19031,19124
274589,19081,19176
278247,19331,19429
282036,19592,19692
288584,20074,20175
296026,20610,20712
303327,21142,21244
312663,21789,21892
319638,22265,22369
324871,22621,22726
331042,23063,23169
334194,23281,23390
339233,23630,23740
345000,24033,24145
351792,24504,24617
358661,24968,25082
360747,25118,25234
365947,25486,25604
370038,25767,25887
377083,26258,26378
380714,26506,26629
384631,26777,26901
386564,26911,27038
389913,27148,27277
393634,27413,27544
399008,27784,27917
406426,28297,28430
412685,28605,28740
416441,28851,28988
419842,29081,29220
426185,29525,29665
428717,29697,29839
434714,30118,30262
439724,30463,30608
442256,30647,30795
452259,31368,31516
459445,31876,32024
462829,32124,32275
469727,32604,32756
476680,33072,33225
480552,33334,33489
487498,33830,33986
494221,34305,34462
495419,34384,34543
499685,34679,34840
505535,35071,35234
511215,35477,35641
519312,36026,36191
524526,36391,36557
526951,36556,36725
530580,36798,36969
537528,37261,37433
544002,37720,37893
545033,37794,37970
552049,38312,38488
558691,38753,38931
566175,39255,39433
570694,39555,39735
575840,39920,40102
577003,40009,40193
577447,40042,40230
584410,40580,40769
591331,41119,41309
596065,41488,41679
600156,41764,41957
605694,42133,42328
610641,42465,42661
614522,42733,42931
622015,43243,43442
625532,43487,43688
630437,43831,44034
637105,44380,44584
639300,44531,44737
645520,44956,45164
652373,45415,45624
662369,46096,46305
666153,46348,46559
669982,46615,46828
673517,46869,47084
680288,47396,47612
685441,47790,48007
687920,47978,48197
693885,48386,48607
697245,48623,48846
700510,48847,49072
706387,49254,49481
716273,49943,50170
722302,50353,50581
726010,50616,50846
733758,51154,51385
742592,51789,52020
745664,51993,52226
749412,52262,52497
757695,52812,53048
761524,53088,53326
768365,53579,53817
773352,53933,54173
773588,53947,54190
779533,54381,54626
783558,54668,54914
786200,54856,55105
790845,55187,55438
795289,55494,55746
801537,55921,56175
804328,56113,56369
809142,56443,56701
811320,56587,56847
813603,56749,57012
817364,57008,57273
824212,57478,57744
830683,57924,58191
833279,58104,58373
837651,58411,58682
842471,58761,59034
846808,59066,59340
852945,59492,59768
859901,59961,60238
866924,60436,60713
867338,60465,60746
873885,60938,61220
877858,61217,61501
881759,61489,61775
883205,61588,61876
889269,62005,62295
891752,62177,62469
893582,62303,62598
903578,63030,63325
907407,63314,63611
911480,63585,63883
917342,63983,64283
918138,64038,64341
919432,64134,64440
920371,64200,64508
923874,64444,64755
930781,64906,65218
936161,65286,65599
939447,65513,65828
946664,66048,66364
955461,66660,66977
962341,67122,67440
966223,67375,67694
971735,67776,68097
978996,68294,68616
986594,68832,69155
996019,69520,69843
1000242,69811,70136
1004195,70075,70401
1007938,70327,70656
1015808,70875,71204
1020431,71173,71504
1022638,71327,71660
1025002,71493,71829
1028910,71760,72098
1033247,72056,72396
1040198,72543,72884
1042119,72686,73029
1043160,72753,73099
1047590,73049,73397
1051877,73344,73694
1055625,73595,73947
1059417,73859,74212
1063171,74118,74474
1066814,74380,74738
1073753,74876,75235
1078905,75230,75590
1081004,75372,75735
1084582,75620,75985
1085941,75716,76083
1092591,76190,76559
1098928,76629,76999
1103259,76928,77300
1106752,77158,77532
1112874,77579,77954
1113925,77651,78029
1115219,77739,78120
1118812,77997,78380
1124875,78427,78811
1126419,78534,78921
1133238,78997,79385
1137105,79269,79659
1140934,79531,79923
1142475,79632,80026
1145679,79866,80262
1150299,80172,80570
1155351,80531,80931
1158929,80778,81180
1165398,81228,81631
1170736,81597,82001
1180069,82255,82660
1186847,82733,83139
1190610,83005,83413
1194307,83277,83687
1198935,83615,84026
1208095,84267,84679
1215002,84735,85148
1221779,85186,85600
1228539,85653,86068
1234830,86089,86505
1238112,86307,86725
1246096,86850,87269
1249916,87104,87525
1256688,87557,87979
1260566,87818,88242
1267545,88295,88720
1271452,88551,88978
1278421,89023,89451
1281866,89258,89688
1288945,89745,90176
1294164,90091,90523
1298907,90410,90844
1306548,90914,91349
1315755,91537,91972
1323426,92064,92500
1330439,92550,92986
1339868,93186,93623
1342519,93365,93804
1347746,93714,94155
1354731,94198,94640
1361634,94665,95108
1366953,95022,95466
1372058,95361,95807
1380874,95959,96405
1385937,96299,96747
1389745,96547,96997
1392444,96723,97175
1396944,97032,97486
1400599,97288,97744
1404685,97562,98019
1408098,97792,98252
1411821,98044,98506
1418675,98507,98970
1425441,98974,99438
