sum_response_time,number_of_received_responses,number_of_sent_requests
6948,454,456
8463,556,560
14221,933,939
21536,1426,1432
27997,1863,1871
32326,2162,2171
35415,2388,2400
39128,2643,2657
42896,2918,2934
48965,3380,3397
49964,3450,3470
52199,3592,3614
57700,3988,4012
66069,4584,4608
71467,4934,4960
77615,5356,5383
84482,5829,5857
88924,6147,6177
94723,6567,6598
99451,6911,6944
106440,7407,7441
112866,7839,7874
120209,8340,8376
127088,8832,8869
133915,9335,9373
137779,9628,9668
140889,9857,9899
142232,9948,9993
146176,10234,10281
149939,10491,10540
156906,10990,11040
163904,11476,11527
170771,11952,12004
174660,12212,12266
179302,12536,12591
184689,12914,12971
185283,12954,13014
188500,13177,13239
193036,13483,13547
203036,14158,14222
212186,14792,14856
216750,15102,15168
220088,15341,15409
224075,15433,15503
230808,15886,15957
237486,16337,16409
244336,16820,16893
248348,17109,17184
255580,17625,17701
261882,18067,18144
266342,18389,18468
272209,18802,18882
274585,18966,19048
283691,19622,19705
287335,19869,19954
294320,20353,20439
294946,20400,20488
301893,20866,20956
304852,21076,21168
309486,21416,21510
313913,21736,21831
316887,21952,22050
323724,22432,22531
330677,22902,23002
338985,23453,23553
340445,23557,23660
345357,23896,24000
350172,24225,24331
356597,24664,24771
358545,24804,24914
360152,24915,25028
367094,25406,25520
370340,25630,25746
371916,25740,25858
375569,25993,26114
379457,26250,26373
386432,26727,26851
391278,27059,27184
394061,27247,27374
397003,27452,27582
401381,27750,27882
405019,27993,28127
411862,28453,28588
415742,28709,28846
421388,29101,29239
426252,29427,29567
433028,29916,30057
434877,30047,30190
440447,30440,30585
446931,30903,31049
451183,31210,31358
454943,31473,31623
460266,31860,32011
468477,32442,32594
473991,32824,32977
475980,32967,33123
482331,33425,33582
484203,33556,33715
487447,33779,33941
491340,34044,34208
499936,34628,34792
507020,35123,35288
512018,35456,35623
515960,35721,35890
517872,35852,36023
520558,36037,36211
527508,36498,36673
531678,36786,36962
535260,37027,37205
541783,37508,37687
548331,37953,38134
552563,38241,38423
558683,38668,38852
560549,38805,38991
560798,38825,39014
564247,39080,39272
568075,39374,39568
575022,39913,40108
581850,40431,40627
583768,40552,40750
587896,40840,41040
593268,41207,41409
597951,41529,41732
600153,41679,41885
602260,41825,42033
604255,41967,42178
605370,42038,42252
606979,42140,42357
612373,42491,42709
616068,42733,42953
618091,42875,43098
620000,42997,43222
625835,43397,43624
632785,43898,44126
639723,44429,44658
649733,45197,45426
653587,45495,45725
656351,45692,45925
657859,45799,46035
665732,46337,46573
668187,46504,46743
675181,46991,47231
681943,47446,47687
688754,47940,48182
695718,48429,48672
699319,48690,48935
704315,49036,49282
706997,49219,49468
710819,49484,49735
717537,49971,50223
721378,50246,50500
726472,50605,50860
729020,50783,51041
734888,51208,51467
739695,51547,51808
745720,51978,52240
750402,52307,52571
754746,52608,52873
761850,53094,53360
764556,53279,53548
771545,53756,54026
772763,53837,54109
778885,54264,54538
781653,54464,54740
786395,54797,55075
795741,55444,55722
798587,55645,55925
801601,55854,56136
807801,56115,56399
814557,56596,56881
819540,56940,57226
825374,57343,57631
831126,57724,58013
835393,58024,58315
836619,58111,58405
840393,58376,58672
844201,58638,58936
851115,59117,59416
853952,59309,59610
856492,59490,59793
861194,59820,60125
863143,59958,60266
866948,60229,60539
875551,60829,61139
882278,61283,61594
885785,61529,61842
889746,61672,61987
895153,62051,62368
897585,62219,62538
902676,62572,62893
905046,62731,63054
910682,63132,63456
917085,63593,63919
927091,64286,64612
930837,64536,64864
934641,64782,65112
936883,64937,65269
942003,65293,65627
945554,65544,65880
950153,65940,66278
955183,66269,66608
957556,66431,66773
959345,66556,66900
962833,66798,67144
967684,67108,67456
972399,67432,67782
979215,67908,68259
985932,68376,68728
990149,68664,69018
997081,69150,69505
1002020,69489,69845
1004519,69662,70021
1011286,70108,70468
1018133,70576,70937
1018835,70625,70988
1022911,70902,71267
1026302,71131,71499
1029821,71389,71759
1033019,71611,71983
1040702,72136,72509
1045597,72460,72834
1048390,72657,73034
1052300,72925,73303
1055906,73180,73560
1058823,73391,73774
1062527,73648,74033
1063859,73738,74126
1067273,73983,74373
1070745,74214,74606
1075103,74510,74904
1080568,74898,75293
1082561,75039,75436
1085793,75260,75660
1088600,75455,75857
1090920,75620,76025
1096002,75989,76395
1101714,76389,76797
1103033,76488,76898
1106271,76710,77123
1113212,77189,77602
