sum_response_time,number_of_received_responses,number_of_sent_requests
6547,433,435
8314,551,555
13740,907,913
19212,1272,1279
23792,1582,1591
26505,1778,1789
30491,2053,2066
34719,2357,2372
37837,2573,2590
39578,2690,2710
40289,2739,2762
44278,2998,3023
51019,3476,3502
57987,3970,3997
64331,4379,4407
67956,4622,4652
72429,4927,4959
78136,5326,5359
83809,5729,5763
93187,6397,6432
100161,6899,6935
107091,7359,7396
113910,7810,7847
122667,8434,8472
127587,8789,8829
128573,8859,8902
132981,9175,9219
139133,9609,9655
149134,10335,10381
156061,10826,10873
162414,11281,11329
166662,11565,11615
172257,11954,12005
175132,12149,12202
177010,12281,12337
184848,12821,12878
191795,13299,13357
195360,13552,13612
202355,14039,14100
206074,14295,14358
212168,14714,14778
213498,14807,14874
215177,14925,14994
218064,15121,15193
225000,15588,15661
231385,16019,16093
232748,16114,16191
236521,16372,16451
243341,16857,16937
244034,16906,16989
250963,17397,17481
256815,17807,17892
259851,18021,18108
265513,18428,18516
274043,18988,19077
282199,19542,19632
285907,19805,19897
289668,20060,20154
293307,20299,20395
297951,20644,20741
304150,21086,21185
308429,21387,21487
311747,21619,21722
318559,22087,22191
323754,22437,22542
329834,22874,22980
332977,23093,23201
339801,23575,23685
345131,23956,24067
349397,24249,24362
354303,24589,24704
359295,24961,25077
361934,25150,25269
366117,25423,25543
369408,25651,25773
373089,25894,26019
376806,26148,26275
382170,26514,26642
388672,26968,27097
395511,27437,27567
400908,27817,27949
407678,28127,28260
414571,28613,28747
421522,29076,29211
424908,29304,29441
429061,29592,29731
434150,29947,30087
436657,30122,30265
438497,30247,30392
443754,30619,30766
446694,30834,30983
452535,31245,31395
458719,31697,31849
465487,32182,32335
470537,32524,32678
474064,32777,32933
479718,33182,33340
483457,33445,33605
490267,33916,34077
497540,34420,34581
504034,34852,35015
509307,35217,35381
513822,35514,35680
521444,36028,36195
526360,36373,36541
531351,36704,36874
534631,36928,37100
536774,37084,37259
546789,37788,37963
553563,38289,38465
559160,38667,38844
563229,38939,39118
567656,39248,39429
574518,39736,39918
575676,39822,40006
578043,39994,40181
583077,40383,40572
589955,40899,41089
593961,41203,41394
597041,41409,41603
603500,41854,42049
609186,42240,42436
612433,42458,42656
616072,42709,42910
621790,43097,43299
626139,43396,43600
629672,43637,43843
637440,44194,44401
642806,44548,44756
648074,44909,45119
658067,45595,45805
664994,46074,46285
668758,46332,46545
673061,46634,46848
676547,46909,47125
680416,47204,47423
687248,47726,47946
694158,48194,48415
700610,48643,48865
704214,48893,49117
705591,48987,49214
712518,49484,49712
719894,49981,50209
726350,50430,50660
730059,50694,50926
732649,50882,51116
735089,51054,51290
740674,51444,51682
745032,51728,51968
751599,52197,52438
755648,52486,52729
757324,52606,52851
763502,53040,53287
770293,53525,53773
773846,53780,54030
777461,54037,54289
781382,54316,54570
785548,54601,54857
792445,55063,55320
796135,55316,55575
801847,55705,55965
806853,56048,56310
810857,56317,56580
814367,56563,56829
821158,57032,57299
824902,57289,57558
827080,57444,57715
827265,57456,57730
830151,57671,57948
832299,57822,58101
837532,58194,58475
844407,58660,58942
854389,59337,59619
858041,59593,59877
868021,60306,60590
875031,60804,61089
879572,61117,61403
885626,61527,61815
892598,62009,62298
899584,62486,62776
903461,62763,63055
910349,63262,63555
914121,63545,63839
917749,63799,64096
924260,64232,64530
928560,64534,64834
935399,65010,65311
937882,65178,65481
942862,65519,65824
947263,65814,66120
953487,66239,66547
957590,66528,66837
957920,66551,66864
964729,67023,67337
971497,67476,67791
981497,68169,68484
983895,68329,68646
991374,68859,69177
996249,69201,69521
1002639,69664,69985
1006826,69953,70276
1011912,70293,70617
1014197,70455,70782
1022067,71001,71328
1027068,71330,71659
1030414,71555,71886
1035035,71872,72205
1037343,72036,72371
1045642,72604,72940
1055652,73295,73631
1059351,73562,73900
1066951,74096,74434
1072598,74469,74809
1074758,74618,74960
1080587,75004,75348
1084636,75281,75627
1088381,75534,75882
1093509,75910,76259
1100202,76387,76737
1106023,76793,77145
1109539,77031,77385
1110833,77125,77481
1114397,77380,77739
1117418,77592,77953
1118077,77635,77999
1124844,78101,78466
1126072,78187,78555
1127242,78270,78640
1133298,78677,79049
1134286,78746,79121
1141289,79251,79627
1145064,79516,79894
1147704,79709,80089
1151079,79941,80323
1154528,80174,80558
1154681,80186,80573
1160494,80602,80991
1163963,80857,81248
1165262,80952,81346
1165949,81002,81398
1171166,81367,81765
1176257,81719,82119
1179615,81943,82345
1181168,82048,82452
1187765,82505,82911
1194639,82986,83393
1198709,83277,83685
1199229,83316,83727
1203083,83590,84004
1209894,84048,84463
1214808,84378,84794
1223799,84990,85407
1227630,85256,85675
1234569,85720,86140
1241535,86196,86617
1248468,86654,87076
1249976,86754,87178
1255557,87144,87570
1259214,87385,87813
1263007,87641,88071
1273009,88312,88742
1274556,88422,88854
1280838,88840,89273
1289259,89397,89831
1297423,89945,90380
1304336,90401,90837
1311166,90855,91292
1314897,91114,91553
1321875,91596,92035
1325394,91835,92277
1333855,92394,92836
1338990,92748,93192
1343905,93080,93525
1352731,93676,94122
1359620,94145,94592
1366442,94610,95058
1373213,95066,95515
1377143,95332,95783
1382615,95690,96142
1387683,96044,96497
1391362,96294,96750
1395179,96559,97017
1403792,97134,97592
1412014,97691,98150
1418881,98155,98615
1428879,98827,99287
1435832,99296,99757
1442469,99757,100219
1449496,100236,100699
1459491,100906,101369
1466451,101386,101850
1467158,101434,101900
1473972,101890,102358
1483973,102568,103036
1492336,103145,103613
1496811,103437,103907
1501379,103752,104224
1508234,104218,104691
1515068,104680,105154
1519638,104992,105467
1522895,105223,105700
1523670,105273,105753
1528626,105609,106091
1534155,105982,106465
1540938,106447,106932
1547724,106893,107379
1554581,107339,107826
1558586,107606,108095
1565342,108055,108545
1571691,108473,108964
1573825,108624,109117
1583012,109245,109739
1589850,109703,110198
1597630,110244,110739
1606603,110846,111342
1611505,111181,111678
1620259,111767,112265
1623814,112007,112507
1624930,112083,112585
1631359,112524,113028
1638309,113000,113505
1648317,113684,114189
1652054,113940,114447
1655061,114141,114650
1659705,114464,114975
1666450,114915,115427
1670041,115150,115664
1677178,115632,116147
1681515,115926,116442
1690072,116489,117006
1694524,116796,117315
1700326,117192,117712
1705363,117516,118037
1709541,117799,118322
1712356,117994,118520
1718957,118438,118965
1726025,118922,119450
1728289,119077,119607
1733635,119440,119972
1739481,119843,120376
1742619,120068,120603
1748160,120443,120980
1751822,120700,121239
1760391,121270,121809
1768571,121823,122363
1772193,122068,122610
1776071,122335,122879
1783041,122811,123356
1789857,123288,123834
1795178,123654,124201
1797563,123815,124365
1800674,124033,124585
1805313,124349,124903
1809124,124612,125168
1819122,125289,125845
1826808,125812,126368
1832695,126220,126778
1836586,126479,127038
1846520,127156,127716
1856513,127837,128397
1863504,128312,128872
1867641,128579,129141
1877118,129223,129786
1885366,129788,130351
1886392,129858,130424
1894102,130384,130951
1900924,130839,131407
1903470,131007,131577
1912544,131622,132193
1921163,132210,132781
1925230,132484,133057
1930009,132820,133395
1936755,133289,133865
1941808,133630,134207
1949517,134162,134740
1953771,134447,135027
1958167,134747,135329
1967204,135368,135950
1975146,135911,136494
1983122,136454,137037
1985788,136637,137223
1990928,136983,137570
1993247,137140,137730
2003233,137800,138390
2013247,138487,139077
2020054,138948,139539
2030051,139613,140204
2040052,140280,140871
2044407,140570,141162
2052590,141125,141718
2057332,141447,142042
2061451,141744,142341
2069697,142291,142888
2075099,142650,143249
2076860,142772,143373
2082644,143175,143778
2092655,143866,144469
2098414,144263,144867
2100339,144387,144994
2106228,144781,145389
2107653,144885,145496
2115794,145434,146045
2119612,145680,146293
2125242,146046,146661
2132167,146527,147143
2138119,146922,147539
2144492,147354,147972
2150259,147747,148366
2154288,148025,148646
2160047,148411,149034
2166976,148868,149492
2173845,149338,149963
2180759,149817,150443
2186955,150246,150873
2188161,150326,150956
2198156,151011,151641
2208167,151668,152298
2218164,152345,152975
2228161,153023,153653
2235090,153484,154115
2242023,153965,154597
2248784,154423,155056
2254263,154791,155425
2259239,155129,155765
2269002,155793,156429
2276157,156283,156920
2279960,156546,157185
2286737,157013,157653
2290549,157258,157900
2293632,157465,158109
2297949,157760,158406
2299884,157894,158542
2304172,158189,158839
2310658,158634,159285
2316119,158989,159642
2320735,159301,159955
2329869,159905,160560
2336823,160377,161033
2343384,160833,161490
2344094,160882,161542
2349576,161245,161906
2354701,161589,162252
2361681,162073,162737
2363931,162217,162883
2372424,162795,163462
2376166,163054,163723
2379942,163302,163973
2386716,163761,164433
2390448,164012,164686
2397411,164485,165160
2403631,164893,165569
2407469,165141,165819
2412020,165452,166132
2415816,165690,166372
2425835,166351,167033
2432073,166758,167441
2438930,167222,167906
2446599,167750,168435
2450155,167981,168668
2456369,168404,169092
2460845,168704,169394
2467406,169150,169841
2471352,169416,170109
2481360,170090,170783
2485530,170379,171073
2491977,170808,171504
2495345,171031,171729
2502404,171528,172227
2508392,171941,172641
2516007,172460,173161
2526010,173146,173847
2533744,173668,174369
2537308,173917,174620
2540358,174133,174839
2544205,174392,175099
2550859,174840,175549
2554496,175089,175800
2564504,175766,176477
2571468,176233,176945
2578417,176708,177421
2582177,176963,177678
2592182,177630,178345
2595966,177888,178605
2599598,178134,178853
2606467,178608,179328
2612749,179031,179752
2617068,179329,180052
2623828,179769,180493
2625553,179885,180611
2631261,180273,181001
2639007,180781,181509
2642505,181019,181749
2652028,181672,182403
2657905,182066,182798
2665655,182601,183334
2675670,183269,184002
2682579,183737,184471
2688525,184146,184881
2696355,184691,185427
2703082,185151,185888
2710012,185618,186356
2716908,186095,186834
2723667,186564,187304
2727706,186837,187578
2733736,187228,187971
2737929,187509,188254
2741645,187755,188502
2751658,188442,189189
2755303,188687,189436
2759129,188947,189698
2766092,189426,190178
2771309,189784,190537
2776852,190153,190908
2786850,190835,191590
2793647,191276,192032
2797065,191505,192263
2803081,191905,192664
2807877,192232,192993
2813895,192645,193407
2818520,192963,193727
2825446,193427,194192
2829228,193687,194453
2833277,193966,194734
2842479,194590,195359
2846467,194856,195627
2853373,195321,196093
2860192,195779,196552
2865297,196135,196909
2870685,196491,197267
2877590,196957,197734
2884361,197425,198203
2890187,197816,198595
2895751,198183,198963
2904899,198814,199595
2911905,199295,200077
2920065,199848,200630
2922383,200010,200795
2924196,200131,200918
2929928,200512,201301
2939928,201195,201984
2949932,201864,202653
2959940,202555,203344
2966714,203021,203811
2974230,203543,204333
2980324,203956,204748
2987184,204419,205212
2997182,205098,205891
3003057,205495,206289
3007372,205790,206586
3011715,206090,206888
3021719,206769,207567
3026963,207114,207913
3029032,207249,208050
3035910,207707,208510
3042891,208170,208974
3049895,208646,209451
3056841,209121,209927
3066824,209796,210602
3073718,210263,211070
3080613,210734,211542
3087594,211208,212017
3096488,211813,212622
3104565,212352,213162
3108425,212618,213430
3112207,212876,213690
3119183,213337,214152
3123520,213623,214439
3129878,214053,214871
3133667,214304,215124
3143677,214994,215814
3147584,215260,216082
3151513,215527,216351
3157637,215941,216766
3165377,216470,217296
3175320,217139,217965
3182307,217611,218438
3184879,217786,218615
3192680,218308,219138
3196410,218562,219394
3203218,219010,219843
3210016,219477,220311
3216700,219936,220771
3223818,220423,221259
3233824,221089,221925
3240640,221554,222391
3247561,222021,222859
3256088,222586,223424
3261298,222937,223777
3264965,223180,224022
3269082,223455,224298
3275877,223910,224755
3279642,224180,225027
3283584,224448,225297
3290529,224921,225771
3299853,225548,226398
3307427,226066,226917
3317434,226751,227602
3322227,227079,227931
3327918,227472,228326
3331726,227721,228576
3334781,227939,228797
3339138,228235,229095
3343676,228547,229408
3349681,228959,229822
3353419,229210,230075
3362223,229799,230664
3363633,229893,230761
3369523,230289,231158
3377831,230849,231719
3384746,231324,232195
3390126,231696,232568
3394835,232005,232879
3395757,232063,232940
3399853,232340,233218
3406263,232769,233649
3413132,233244,234125
3421293,233804,234685
3426492,234149,235032
3430925,234440,235325
3436792,234838,235724
3441440,235151,236039
3448200,235615,236504
3455196,236098,236988
3461985,236547,237438
3471967,237226,238117
3478901,237694,238586
3485648,238148,239041
3491374,238535,239429
3496350,238853,239749
3500218,239105,240003
3506167,239508,240407
3510890,239838,240739
3514776,240102,241004
3524233,240737,241640
3528234,241006,241911
3535166,241468,242374
3542132,241946,242853
3551727,242589,243496
3558980,243068,243976
3562542,243302,244212
3566344,243561,244473
3573382,244047,244960
3578536,244396,245310
3587136,244973,245888
3589633,245141,246058
3596766,245624,246542
3604647,246158,247077
3611601,246630,247550
3621595,247316,248236
3625409,247578,248500
3629311,247853,248777
3636140,248326,249251
3644817,248924,249849
3653069,249483,250409
3661833,250058,250984
3666799,250399,251327
3670781,250657,251586
3673506,250847,251779
3673699,250859,251794
3677611,251122,252059
3681241,251360,252299
3686415,251712,252653
3692426,252115,253057
3697122,252432,253376
3700860,252695,253641
3709451,253268,254214
3714274,253596,254544
3718418,253875,254825
3724862,254311,255262
3729778,254646,255598
3735188,255001,255955
3743215,255539,256494
3747139,255804,256760
3750792,256057,257016
3760802,256726,257685
3766399,257111,258071
3771599,257454,258416
3778702,257935,258898
3787179,258513,259476
3792449,258877,259842
3796116,259128,260095
3802289,259543,260511
3806771,259843,260813
3816762,260512,261482
3823748,260982,261953
3829125,261336,262308
3837398,261900,262873
3844261,262364,263338
3851191,262841,263816
3857846,263293,264269
3864906,263760,264737
3871125,264173,265151
3875522,264463,265443
3882331,264928,265909
3889089,265381,266363
3897887,265979,266961
3906067,266530,267513
3913974,267056,268039
3922945,267650,268634
3929854,268116,269101
3936630,268569,269555
3943868,269064,270050
3951119,269559,270546
3959286,270116,271104
3963953,270429,271419
3970825,270896,271887
3977747,271368,272360
3981526,271624,272618
3988330,272083,273078
3992347,272369,273365
3998973,272808,273806
4004923,273203,274202
4012763,273725,274725
4019621,274181,275182
4023352,274440,275443
4030172,274894,275898
4037114,275364,276369
4041278,275649,276655
4049976,276232,277239
4054719,276547,277556
4059855,276893,277903
4064939,277234,278246
4068997,277514,278528
4075821,277951,278966
4080062,278236,279252
4086547,278674,279692
4093489,279130,280149
4103390,279815,280834
4105007,279921,280942
4108228,280137,281160
4114722,280571,281596
4121117,280997,282023
4128584,281499,282526
4135403,281964,282992
4139252,282230,283259
4145894,282683,283714
4149480,282931,283964
4153302,283181,284216
4160075,283634,284670
4167059,284111,285148
4169343,284263,285302
4174469,284612,285653
4181439,285076,286118
4185176,285326,286370
4195193,286002,287046
4202165,286473,287518
4211217,287077,288122
4215875,287399,288446
4217044,287479,288528
4224231,287960,289010
4231061,288416,289467
4236447,288777,289830
4240142,289030,290085
4244650,289335,290392
4246585,289472,290531
4252474,289874,290935
4259248,290328,291390
4266527,290805,291867
4273248,291252,292315
4278440,291601,292666
4286864,292171,293237
4295784,292762,293828
4300622,293089,294157
4307203,293532,294601
4313580,293964,295034
4318074,294273,295345
4324929,294728,295801
4331859,295181,296255
4338753,295651,296726
4348765,296319,297394
4355594,296790,297866
4360850,297149,298226
4363819,297347,298426
4369823,297751,298832
4373680,298002,299085
4383673,298684,299767
4387288,298925,300010
4397184,299611,300696
4404102,300078,301164
4409221,300424,301511
4414783,300804,301893
4419307,301111,302201
4423509,301396,302488
4427645,301670,302764
4432762,302008,303104
4442751,302685,303781
4446421,302929,304027
4456417,303597,304695
4460082,303832,304931
4466990,304301,305402
4473830,304772,305874
4480688,305223,306326
4487630,305681,306785
4494607,306134,307239
4501366,306584,307690
4508155,307052,308159
4515153,307520,308628
4525147,308204,309312
4531977,308671,309780
4541974,309356,310465
4550226,309920,311029
4558797,310505,311615
4562646,310774,311885
4570234,311291,312403
4572060,311409,312524
4579934,311953,313069
4586680,312406,313523
4591073,312701,313819
4600532,313342,314461
4603033,313515,314636
4608208,313865,314988
4614528,314290,315414
4621738,314765,315890
4628568,315215,316341
4638588,315892,317018
4643874,316245,317372
4649688,316646,317774
4654731,316987,318117
4661256,317430,318561
4664560,317651,318784
4669575,317983,319118
4673641,318267,319404
4681266,318783,319921
4688140,319243,320382
4698138,319929,321068
4703921,320324,321464
4708146,320617,321759
4712501,320911,322055
4716886,321205,322350
4719964,321405,322553
4723658,321651,322801
4728065,321941,323092
4734509,322377,323530
4741443,322832,323986
4745198,323084,324240
4752057,323542,324699
4762056,324205,325362
4768801,324671,325829
4775549,325132,326291
4785556,325789,326948
4792301,326245,327405
4794673,326404,327566
4801221,326850,328013
4805045,327106,328271
4807283,327257,328425
4814254,327747,328916
4821013,328204,329374
4827783,328677,329848
4831761,328944,330116
4835343,329192,330367
4839852,329494,330670
4847381,329994,331171
4853438,330394,331572
4860958,330908,332087
4869619,331462,332642
4876544,331931,333112
4880218,332175,333358
4883132,332366,333551
4887679,332672,333859
4893014,333033,334221
4898176,333382,334572
4905108,333858,335049
4911517,334305,335497
4914805,334531,335725
4922597,335048,336243
4926867,335332,336528
4936136,335971,337168
4940203,336247,337446
4950197,336935,338134
4957175,337410,338610
4964015,337874,339075
4968688,338188,339390
4973383,338510,339714
4978516,338863,340069
4982154,339105,340313
4988983,339575,340784
4996947,340116,341325
5002943,340521,341732
5009813,340971,342183
5010878,341040,342254
5015191,341324,342540
5020940,341715,342933
5029944,342329,343547
5034318,342623,343843
5038398,342901,344123
5042060,343154,344378
5047986,343566,344791
5052520,343876,345103
5057756,344218,345446
5060154,344385,345616
5064028,344643,345876
5064864,344702,345937
5070853,345108,346345
5078337,345623,346861
5085323,346107,347346
5092074,346568,347808
