sum_response_time,number_of_received_responses,number_of_sent_requests
3862,252,255
10662,708,712
15933,1050,1055
21821,1447,1453
27870,1866,1874
31991,2151,2161
35558,2411,2423
43189,2955,2967
46241,3161,3176
47334,3238,3255
54017,3714,3733
57913,3975,3996
59851,4115,4138
64712,4456,4481
69355,4759,4786
76190,5216,5244
83161,5700,5729
90106,6174,6204
95890,6571,6602
100701,6916,6949
104753,7210,7244
108282,7446,7483
115184,7912,7950
121967,8398,8437
127964,8838,8878
131296,9083,9125
136120,9431,9475
139919,9701,9747
146689,10193,10240
153454,10678,10726
160397,11161,11210
163662,11386,11437
168186,11691,11744
171998,11954,12008
175745,12198,12255
178866,12414,12473
185519,12867,12927
186828,12962,13025
195668,13578,13641
202869,14060,14124
205600,14246,14312
210645,14587,14655
214652,14879,14949
216451,15008,15080
219675,15224,15299
226289,15670,15746
230521,15968,16046
236120,16356,16435
238161,16495,16577
245108,16994,17077
251900,17480,17564
260238,18064,18148
263252,18281,18367
270717,18822,18909
273914,19038,19127
283358,19563,19653
290246,20056,20147
297129,20524,20616
300766,20776,20870
304966,21082,21178
308971,21373,21470
314390,21758,21857
322660,22323,22423
329509,22782,22883
334706,23135,23237
337811,23352,23456
341188,23588,23694
345990,23924,24032
348115,24069,24180
351952,24338,24451
353248,24430,24546
356990,24700,24818
359577,24884,25004
364705,25234,25356
371570,25707,25830
374767,25924,26049
379189,26222,26349
386070,26698,26826
389807,26964,27094
396618,27423,27554
401631,27773,27905
404199,27945,28080
409410,28302,28438
411813,28458,28597
418307,28796,28936
425663,29300,29441
429640,29586,29729
431277,29704,29849
434312,29921,30068
437847,30172,30322
447749,30880,31030
454687,31370,31521
460135,31768,31920
465285,32122,32276
472104,32579,32734
482113,33258,33413
488994,33747,33903
490334,33843,34001
498803,34421,34580
503779,34763,34924
508582,35091,35253
512210,35352,35516
517330,35692,35858
518675,35786,35955
522369,36043,36214
529278,36514,36686
536113,36965,37138
540017,37239,37414
543871,37515,37692
547428,37772,37951
552081,38087,38267
558016,38488,38670
561629,38734,38918
565535,39021,39207
567631,39171,39359
573598,39615,39804
576754,39857,40049
578514,39997,40191
581280,40210,40407
585059,40462,40661
588751,40719,40920
592483,40962,41165
595745,41179,41384
599854,41450,41657
606760,41930,42138
616206,42580,42788
623708,43093,43302
627519,43359,43570
634385,43810,44022
641145,44272,44485
647952,44739,44953
650679,44926,45142
655969,45280,45497
665377,45949,46167
670736,46364,46583
676679,46822,47042
682930,47291,47513
692488,47934,48156
699421,48425,48648
701912,48601,48826
707085,48953,49180
711531,49265,49494
718469,49738,49968
723133,50058,50289
723899,50114,50348
728496,50444,50680
733321,50786,51024
743327,51482,51720
747813,51790,52029
750806,52001,52243
754569,52268,52512
759650,52628,52873
765209,53013,53260
772188,53515,53763
782181,54231,54479
789132,54715,54964
799133,55429,55678
802653,55656,55907
809635,56132,56384
816509,56607,56860
823493,57091,57345
827046,57329,57585
831814,57651,57908
837829,58071,58330
844666,58547,58807
848385,58808,59070
857660,59447,59709
860077,59622,59886
865991,60047,60313
875990,60766,61032
882568,61222,61489
886699,61498,61767
890502,61760,62031
894366,62034,62307
901285,62529,62803
908081,63013,63288
911956,63272,63549
918923,63749,64027
924473,64126,64405
927512,64330,64611
930931,64585,64868
933765,64791,65077
940645,65293,65580
944578,65555,65843
953518,66151,66440
957362,66420,66711
958705,66517,66811
964367,66907,67202
967396,67115,67412
971391,67387,67686
974731,67613,67914
977779,67835,68138
978062,67855,68161
984848,68323,68631
991695,68783,69092
1001683,69473,69782
1004358,69660,69971
1008260,69936,70249
1012743,70255,70569
1017641,70614,70930
1019495,70743,71062
1024111,71076,71397
1027771,71337,71660
1034615,71805,72129
1037465,71997,72323
1040825,72222,72550
1042787,72360,72691
1049121,72797,73129
1052097,73002,73336
1057152,73353,73689
1060080,73554,73892
1063419,73783,74123
1067844,74079,74421
1072234,74371,74715
1077613,74742,75087
1082994,75105,75451
1089625,75550,75898
1093566,75823,76173
1095453,75957,76309
1101209,76353,76707
1107114,76756,77111
1111856,77086,77443
1118596,77564,77922
1119220,77606,77966
1126780,78148,78509
1131857,78495,78858
1132941,78566,78932
1136528,78821,79189
1137597,78888,79259
