sum_response_time,number_of_received_responses,number_of_sent_requests
7727,503,504
13604,897,900
19498,1275,1279
24618,1616,1621
28208,1874,1882
31950,2130,2140
36528,2457,2468
43140,2927,2939
46315,3142,3157
52717,3610,3626
53937,3699,3717
57411,3924,3945
61386,4204,4226
64994,4452,4476
68646,4692,4719
75495,5158,5186
83781,5719,5747
89227,6094,6124
95164,6495,6526
98829,6758,6791
103503,7088,7123
110446,7554,7590
120448,8216,8252
129971,8895,8931
133995,9194,9232
139514,9595,9634
144967,9989,10030
148796,10271,10314
155581,10763,10807
162413,11242,11287
169403,11718,11764
173204,11977,12025
178447,12332,12381
180285,12448,12500
182896,12626,12680
184075,12707,12764
187915,12974,13033
191979,13238,13299
201637,13903,13964
208771,14386,14448
214831,14794,14857
217232,14957,15022
219921,15148,15216
221147,15227,15297
224103,15425,15498
228072,15691,15766
232055,15975,16052
235867,16233,16312
242755,16721,16801
249556,17211,17292
256448,17704,17786
260059,17961,18045
267930,18516,18600
276826,19157,19242
280405,19399,19486
287358,19860,19948
287874,19898,19988
291592,20153,20246
292205,20193,20289
296835,20535,20632
299486,20722,20822
306971,21266,21367
313835,21743,21845
323837,22417,22519
329032,22767,22870
331503,22950,23056
335319,23220,23328
340266,23571,23680
346068,23977,24088
352910,24466,24578
360084,24965,25077
363419,25193,25308
367216,25458,25575
368226,25528,25648
375045,25989,26110
382036,26464,26586
385855,26727,26851
392670,27186,27311
396665,27474,27600
406477,28138,28265
408772,28296,28425
413963,28661,28792
418261,28957,29089
420935,29138,29273
422413,29240,29378
429545,29729,29867
432770,29955,30096
435274,30132,30275
440387,30486,30631
443843,30727,30874
445089,30813,30963
450339,31188,31339
456402,31627,31779
464792,32217,32370
471203,32651,32805
473216,32793,32950
475890,32984,33143
480552,33317,33478
487357,33777,33939
495304,34324,34486
499438,34603,34767
501396,34739,34906
507979,35188,35356
512541,35495,35665
522542,36190,36360
529536,36649,36820
535475,37045,37217
543416,37586,37759
553385,38279,38452
557960,38615,38789
567253,39237,39412
574035,39698,39874
579280,40052,40229
582048,40251,40430
586325,40585,40766
588236,40732,40916
595821,41323,41508
602643,41849,42035
605113,42041,42229
611536,42480,42669
612550,42551,42743
615626,42771,42965
616545,42832,43029
623519,43305,43503
626396,43503,43704
632691,43942,44144
637053,44235,44439
640773,44488,44694
647746,44972,45179
656862,45592,45799
664676,46133,46341
668498,46392,46602
669707,46479,46691
675860,46913,47127
682746,47452,47666
688578,47899,48115
693379,48260,48478
697203,48524,48744
703666,48979,49200
705772,49115,49338
711031,49476,49701
716597,49870,50096
720616,50140,50368
725697,50511,50741
732005,50958,51189
739292,51480,51712
743196,51757,51991
750952,52288,52522
760081,52899,53134
763986,53182,53419
771498,53726,53963
775675,54026,54265
781804,54458,54699
791802,55179,55420
798240,55646,55888
800839,55828,56072
802837,55970,56217
807011,56260,56509
810915,56527,56778
814822,56795,57048
821771,57274,57528
825372,57520,57776
832193,57989,58246
837870,58377,58635
841931,58664,58924
846215,58951,59213
854519,59522,59784
857576,59729,59993
864001,60191,60457
870752,60670,60937
874747,60950,61218
876101,61042,61313
885344,61667,61939
889217,61937,62211
899226,62653,62927
905799,63126,63401
910022,63413,63690
914663,63728,64006
919470,64060,64340
920578,64135,64418
925010,64468,64753
928843,64740,65027
935601,65230,65518
942725,65708,65997
949139,66144,66434
950118,66209,66502
952171,66357,66652
957461,66719,67016
961328,66989,67288
968073,67440,67740
