sum_response_time,number_of_received_responses,number_of_sent_requests
9989,646,647
16983,1119,1121
20719,1377,1381
30602,2039,2043
31329,2087,2094
35070,2343,2352
38784,2614,2625
45588,3097,3109
52079,3559,3572
52726,3604,3620
60131,4143,4160
63938,4394,4413
64974,4467,4488
71382,4917,4940
78362,5370,5394
82107,5622,5648
92096,6301,6327
96180,6589,6616
99436,6815,6845
109445,7529,7559
113251,7802,7834
116734,8041,8075
118323,8147,8183
124756,8611,8649
131583,9109,9148
138563,9626,9666
145478,10123,10164
149637,10419,10461
159378,11125,11168
166249,11611,11655
169435,11839,11885
174944,12213,12260
177340,12374,12424
182157,12706,12757
184532,12865,12919
192076,13382,13437
198548,13825,13881
201868,14044,14102
205650,14308,14368
207367,14424,14487
214146,14887,14951
217925,15140,15206
221806,15417,15485
225590,15681,15751
229297,15921,15993
239290,16603,16675
249091,17291,17363
255597,17738,17811
259692,18035,18110
263916,18339,18415
267675,18609,18687
271549,18883,18963
273007,18986,19069
278673,19391,19475
285444,19833,19918
290597,20177,20264
298991,20782,20870
303162,20973,21062
311168,21518,21608
319870,22153,22244
329874,22878,22969
336296,23353,23445
340366,23633,23727
345546,23978,24073
349094,24208,24305
352451,24441,24540
352756,24461,24563
356564,24723,24827
361961,25090,25196
366798,25436,25544
370652,25690,25800
374647,25964,26076
377771,26187,26301
382139,26497,26613
385793,26754,26872
386932,26829,26949
393369,27273,27395
400310,27763,27886
403960,28017,28142
407885,28281,28408
414646,28742,28870
415704,28817,28947
422122,29361,29493
426034,29804,29938
429310,30029,30165
432604,30256,30394
437266,30586,30726
442099,30927,31068
448068,31335,31478
451866,31607,31752
455697,31868,32015
465701,32581,32728
472686,33092,33240
479490,33563,33712
483420,33820,33971
490196,34277,34429
497044,34749,34902
503977,35243,35397
508133,35528,35683
515328,36016,36172
523023,36541,36698
527465,36845,37004
532184,37175,37336
539177,37660,37822
542886,37916,38080
544315,38010,38176
546001,38123,38292
550419,38429,38600
557864,38959,39131
561565,39222,39396
567613,39614,39789
572843,39962,40138
578943,40370,40548
582847,40656,40836
586710,40923,41105
593465,41425,41608
600315,41952,42136
610317,42714,42898
615864,43143,43328
