sum_response_time,number_of_received_responses,number_of_sent_requests
342,22,26
4397,295,301
9794,651,658
16542,1101,1109
21686,1458,1468
28465,1925,1936
34920,2387,2399
42272,2900,2913
50934,3520,3533
52649,3638,3654
56732,3921,3939
60425,4165,4185
63961,4416,4438
69139,4775,4798
74861,5145,5170
84862,5828,5853
91813,6302,6328
95609,6567,6595
102389,7028,7057
106205,7302,7333
110132,7582,7614
116548,8019,8053
121709,8359,8394
127286,8749,8786
134900,9236,9273
137677,9433,9473
141807,9732,9774
145634,10007,10051
152623,10513,10558
159464,10995,11041
162658,11228,11276
165257,11404,11454
166283,11477,11530
168211,11605,11661
171621,11837,11895
175429,12089,12149
178729,12319,12381
182942,12603,12667
184654,12728,12794
193594,13328,13395
197438,13587,13656
200048,13775,13846
204590,14106,14179
205941,14196,14272
214581,14776,14852
219624,15124,15202
226521,15594,15673
233486,16097,16177
238453,16456,16537
245900,16981,17063
251464,17384,17467
261064,18060,18144
262854,18185,18271
268710,18610,18698
272324,18834,18923
275946,19085,19177
281402,19475,19568
286676,19833,19928
293311,20289,20385
297476,20595,20693
304264,21083,21182
308089,21362,21463
317904,22048,22149
324872,22521,22623
333194,23075,23177
333564,23106,23211
339348,23518,23625
344215,23855,23963
348291,24128,24238
349526,24215,24328
352997,24447,24562
358272,24813,24930
363670,25199,25317
370138,25644,25763
378820,26246,26366
383197,26547,26668
386493,26777,26900
388391,26907,27033
394402,27438,27565
401331,27914,28042
405172,28179,28309
407870,28369,28502
411631,28626,28761
416652,28963,29099
422189,29347,29485
429333,29839,29977
435787,30298,30438
439792,30581,30723
443723,30857,31000
450507,31336,31481
460510,32052,32197
470514,32760,32905
474148,33028,33175
480969,33498,33646
489249,34063,34211
491510,34225,34376
498437,34729,34881
502815,35040,35193
508076,35394,35549
516145,35944,36100
521613,36311,36468
529960,36890,37048
539162,37512,37670
543729,37823,37983
547558,38087,38249
554445,38532,38695
564440,39208,39371
571284,39688,39852
578266,40180,40345
582137,40464,40631
592144,41134,41301
602144,41812,41979
610475,42371,42538
613843,42605,42774
616773,42834,43006
622939,43102,43275
623169,43121,43297
625086,43265,43444
626638,43384,43565
630728,43661,43844
632354,43767,43953
635173,43966,44154
642182,44440,44629
646283,44721,44912
648574,44884,45078
651808,45111,45307
657261,45486,45683
662864,45886,46085
664444,45987,46188
670452,46399,46602
680447,47085,47288
686439,47497,47701
694259,48017,48222
