sum_response_time,number_of_received_responses,number_of_sent_requests
3705,247,250
12383,832,835
17400,1163,1168
24067,1612,1618
28102,1908,1916
30261,2055,2065
35459,2416,2428
40267,2762,2775
42929,2939,2955
47491,3292,3309
47722,3308,3328
54269,3735,3757
61051,4224,4247
65973,4569,4593
68553,4741,4768
74776,5160,5188
76767,5299,5329
80156,5529,5561
86707,5977,6011
96703,6689,6723
102755,7121,7156
107337,7436,7472
114107,7894,7932
117894,8158,8198
125478,8710,8750
130864,9108,9150
132215,9208,9253
136068,9491,9538
143061,9997,10045
153074,10711,10759
160135,11209,11257
166092,11620,11670
169041,11810,11862
171352,11968,12022
177265,12369,12425
181934,12687,12745
185684,12944,13004
189310,13189,13251
193068,13438,13502
199855,13900,13965
208150,14468,14533
210472,14622,14690
214209,14892,14962
215435,14971,15043
223557,15518,15591
231816,16082,16156
238473,16539,16614
245007,16994,17070
249141,17288,17366
252883,17555,17635
256502,17812,17894
260070,18065,18149
266968,18556,18641
273370,19012,19098
277317,19259,19347
284446,19751,19840
289877,20135,20225
295265,20504,20596
298036,20700,20794
302736,21043,21139
309057,21499,21596
313521,21819,21918
317445,22097,22198
324261,22557,22659
329317,22893,22996
332583,23116,23221
339819,23639,23745
345804,24063,24171
351194,24453,24562
352677,24559,24671
354220,24665,24780
356296,24812,24929
364078,25362,25480
370470,25805,25924
375504,26153,26274
376295,26204,26328
386298,26890,27014
392430,27314,27439
394115,27430,27557
399038,27768,27897
403031,28047,28178
408117,28630,28763
411760,28882,29017
415533,29128,29265
419224,29385,29524
423331,29664,29804
427941,29989,30131
433783,30393,30537
438163,30695,30840
440777,30883,31031
445077,31196,31346
450313,31562,31713
458807,32174,32326
464672,32580,32733
470686,32990,33144
472837,33142,33299
476520,33397,33556
483366,33884,34044
487018,34131,34293
491661,34449,34612
494577,34640,34806
499873,35023,35190
502079,35177,35347
504099,35321,35493
512789,35918,36091
519586,36364,36538
526480,36829,37004
530172,37078,37255
536938,37549,37727
