sum_response_time,number_of_received_responses,number_of_sent_requests
6773,437,439
13676,905,908
22114,1451,1454
24251,1591,1597
25367,1667,1675
28792,1901,1911
29581,1958,1971
36028,2409,2424
39780,2681,2698
43601,2939,2958
47249,3207,3228
51515,3497,3519
56252,3834,3858
60718,4150,4176
65096,4442,4470
71669,4880,4909
79370,5410,5440
83157,5677,5709
89965,6160,6193
96893,6661,6695
101955,7025,7060
107273,7378,7415
112462,7716,7754
117485,8072,8112
124804,9081,9122
131554,9585,9627
136103,9906,9949
139080,10121,10166
142962,10400,10448
149809,10885,10934
156289,11341,11391
160418,11618,11670
162977,11803,11857
166091,12017,12073
168942,12219,12278
175453,12677,12737
179267,12937,12999
179539,12957,13022
183202,13206,13273
191017,13731,13799
197952,14211,14280
203781,14596,14666
205605,14726,14799
206844,14828,14903
213058,15244,15321
222609,15887,15964
227000,16198,16277
230837,16459,16540
234596,16723,16806
238494,16999,17084
242260,17268,17355
245797,17516,17605
249504,17778,17869
255071,18175,18267
260296,18514,18607
264050,18767,18863
267896,19034,19131
271537,19275,19375
278409,19747,19848
282220,20021,20124
288580,20481,20585
292382,20756,20862
296740,21055,21163
300375,21300,21410
305669,21652,21763
308025,21828,21942
309011,21901,22017
318806,22581,22698
321205,22751,22870
322847,22864,22986
329730,23330,23453
333586,23601,23726
339701,24024,24150
344141,24333,24460
350867,24791,24920
354631,25043,25174
358381,25300,25433
360774,25462,25597
362659,25594,25732
364955,25755,25895
371672,26214,26355
373922,26373,26517
378109,26661,26806
384398,27076,27223
387943,27315,27464
388974,27386,27538
393995,27737,27890
398058,28021,28176
400023,28164,28322
407101,28665,28824
414048,29175,29335
419524,29562,29723
420207,29609,29773
427202,30111,30276
432084,30439,30606
438889,30893,31061
445128,31329,31498
449405,31638,31809
456855,32145,32316
460280,32379,32553
467134,32839,33014
473926,33315,33491
477018,33530,33708
481522,33836,34016
491527,34519,34699
497496,34922,35103
499197,35039,35223
506139,35520,35705
513027,36009,36195
519814,36494,36681
529802,37165,37352
539812,37851,38038
548199,38424,38611
550611,38597,38786
554065,38837,39029
558045,39179,39373
568043,39950,40144
574979,40488,40683
578462,40756,40953
580689,40906,41105
586192,41285,41485
590903,41588,41790
597870,42063,42266
603957,42484,42689
607660,42744,42951
617648,43440,43647
624541,43925,44133
631493,44412,44621
633740,44565,44776
640891,45044,45256
648883,45598,45811
652797,45866,46080
656402,46111,46328
658291,46240,46459
661811,46517,46738
667694,46963,47186
677688,47731,47954
683247,48104,48328
686125,48311,48537
689076,48516,48745
693043,48782,49013
702584,49460,49691
706890,49746,49979
713698,50236,50470
721307,50767,51001
726232,51123,51359
731169,51463,51701
736257,51810,52049
742894,52247,52487
751689,52872,53113
754781,53091,53334
757465,53280,53525
763510,53704,53951
767414,53982,54231
771787,54297,54547
775170,54535,54787
778153,54750,55005
782169,55018,55275
784781,55195,55454
789459,55512,55773
797856,56096,56357
803334,56461,56724
805627,56618,56883
810776,56969,57236
816756,57397,57665
824530,57921,58190
829850,58295,58565
832084,58461,58734
838864,58763,59037
844130,59140,59415
848420,59444,59721
852958,59755,60034
859904,60228,60508
863605,60487,60768
870479,60980,61263
878582,61556,61839
882312,61806,62091
891053,62408,62694
901036,63094,63380
904830,63346,63634
908572,63618,63908
915367,64115,64406
922206,64616,64908
926578,64935,65228
933833,65425,65719
939544,65825,66121
943331,66089,66387
947043,66352,66652
950514,66596,66898
954693,66876,67180
963196,67473,67777
968374,67835,68141
973787,68236,68543
978536,68565,68874
984533,68988,69298
990018,69378,69690
996966,69864,70177
1006140,70519,70832
1010879,70856,71170
1015858,71224,71540
1021554,71606,71924
1028329,72068,72387
1031367,72281,72602
1038975,72798,73120
1042859,73066,73390
1047169,73366,73691
1055480,73938,74264
1057117,74045,74374
1060257,74268,74599
1066432,74703,75035
1071074,75022,75356
1071422,75047,75384
1076583,75406,75745
1080050,75643,75984
1085933,76041,76383
1091076,76398,76742
1097837,76850,77195
1106121,77436,77781
1109376,77665,78012
1113955,77971,78320
1120368,78407,78757
1122925,78589,78942
1126661,78854,79209
1129919,79080,79437
1133882,79349,79708
1140823,79820,80180
1144489,80071,80433
1151202,80533,80896
1155204,80795,81160
1159955,81123,81489
1162574,81309,81678
1168929,81762,82132
1170250,81852,82225
1172984,82041,82416
1176051,82250,82627
1180448,82564,82943
1184377,82837,83218
1186878,83023,83406
1189790,83224,83610
1193555,83486,83874
1199143,83887,84276
1207375,84449,84839
1211254,84700,85092
1212531,84788,85182
1215325,84987,85384
1222578,85508,85906
1223561,85577,85977
1231300,86139,86540
1237045,86550,86953
1240695,86796,87201
1243632,87000,87407
1248678,87353,87761
1256975,87916,88325
1261654,88229,88640
1271661,88912,89323
1281650,89577,89988
1284845,89788,90201
1291812,90274,90688
1295853,90547,90963
1302716,91016,91433
1306680,91284,91702
1310020,91511,91932
1313935,91775,92198
1317613,92029,92454
1324447,92487,92913
1330307,92872,93299
1338168,93407,93835
1343841,93792,94221
1345801,93931,94362
1350350,94230,94663
1352371,94371,94807
1359799,94880,95317
1367080,95370,95807
1370300,95592,96032
1376019,95987,96428
1384016,96526,96968
1387728,96779,97223
1394468,97235,97680
1401250,97676,98122
1407136,98085,98532
1411838,98401,98850
1414059,98550,99001
1421128,99015,99467
1426120,99353,99807
1432981,99821,100276
1441369,100388,100843
1446745,100739,101196
1456741,101431,101888
1463479,101894,102352
1467589,102167,102626
1473980,102608,103069
1480883,103068,103530
1482469,103173,103637
1488884,103596,104061
1495442,104042,104509
1498888,104267,104736
1502257,104495,104966
1509829,105017,105489
1516740,105485,105958
1521067,105791,106265
1527457,106230,106706
1535131,106741,107217
1541287,107170,107648
1548228,107649,108128
1555051,108109,108589
1562924,108642,109122
1568932,109044,109526
1572674,109296,109780
1582681,109966,110450
1589663,110437,110922
1593562,110697,111184
1597518,110969,111458
1604380,111424,111914
1611191,111883,112374
1618683,112384,112875
1624943,112801,113294
1628893,113063,113558
1635698,113538,114034
1639600,113814,114312
1649597,114477,114975
1653380,114740,115240
1657505,115023,115524
1667280,115687,116189
1674979,116207,116709
1681211,116637,117141
1684893,116882,117388
1691257,117318,117825
1695063,117574,118083
1699343,117865,118376
1700603,117946,118459
1703404,118137,118653
1710365,118604,119121
1713162,118790,119309
1720276,119283,119803
1724054,119544,120066
1731480,120048,120571
1735207,120303,120828
1739836,120608,121134
1746030,121022,121550
1753030,121501,122030
1759826,121965,122495
1767377,122481,123011
1773819,122911,123442
1780922,123380,123912
1787516,123828,124362
1794503,124303,124838
1804511,124985,125520
1810653,125395,125931
1815132,125702,126240
1819437,126003,126542
1828890,126637,127177
1838893,127308,127848
1845862,127781,128322
1852722,128251,128793
1859496,128707,129250
1866399,129168,129712
1870071,129419,129965
1873936,129673,130221
1877807,129935,130485
1884655,130391,130942
1893513,130981,131532
1896787,131189,131742
1901179,131486,132041
1906283,131829,132386
1911781,132200,132758
1917185,132576,133136
1923980,133022,133583
1932013,133565,134126
1934378,133724,134288
1942529,134281,134845
1947090,134590,135156
1950111,134810,135378
1958643,135394,135963
1968634,136083,136652
1975567,136549,137119
1982542,137024,137595
1990803,137585,138156
1993129,137740,138314
2003138,138420,138994
2006794,138676,139252
2013623,139139,139716
2017332,139391,139970
2024149,139849,140429
2031027,140313,140894
2035060,140594,141176
2041577,141033,141617
2045279,141287,141873
2051126,141681,142268
2058883,142212,142800
2066294,142708,143296
2075878,143348,143937
2082857,143814,144404
2088994,144240,144831
2093465,144538,145131
2101564,145085,145678
2110448,145688,146282
2119153,146303,146897
2124191,146642,147238
2128028,146906,147504
2131609,147151,147751
2135549,147427,148028
2142084,147876,148479
2148959,148322,148926
2153801,148635,149240
2158683,148971,149578
2162923,149243,149852
2170467,149751,150361
2180459,150421,151031
2184370,150683,151295
2194173,151353,151965
2201260,151824,152437
2206470,152174,152788
2215125,152761,153376
2221549,153208,153824
2228961,153718,154335
2235919,154192,154810
2242778,154655,155274
2251981,155280,155899
2256486,155590,156211
2262387,155986,156608
2267071,156304,156928
2277082,156980,157604
2283869,157434,158059
2290835,157903,158529
2300684,158573,159199
2304689,158844,159471
2310838,159253,159882
2315389,159559,160189
2321969,160002,160634
2327929,160414,161047
2332384,160714,161348
2336040,160965,161602
2343124,161448,162085
2352882,162112,162750
2362885,162778,163416
2366135,162997,163637
2373643,163496,164137
2383642,164193,164834
2387244,164437,165080
2394075,164919,165563
2399424,165264,165909
2403427,165526,166173
2408355,165859,166508
2415292,166334,166984
2423659,166902,167552
2428897,167258,167910
2430980,167398,168052
2439677,167994,168649
2446556,168464,169120
2450467,168726,169384
2456908,169153,169812
2464147,169633,170293
2470983,170094,170755
2477818,170550,171212
2486703,171143,171805
2488640,171277,171942
2495575,171745,172411
2502513,172219,172886
2509429,172682,173350
2519435,173370,174038
2526307,173832,174501
2530015,174077,174748
2536966,174553,175225
2540621,174792,175466
2550621,175477,176151
2554300,175724,176400
2557902,175963,176641
2561577,176213,176893
2565384,176467,177148
2572406,176947,177629
2579352,177423,178106
2588944,178068,178752
2595544,178509,179194
2599744,178802,179489
2605484,179185,179873
2613616,179726,180415
2620619,180195,180885
2624535,180462,181153
2633007,181043,181735
2638244,181401,182095
2647853,182044,182738
2654910,182531,183226
2655742,182586,183284
2659078,182812,183512
2665817,183267,183968
2669910,183534,184237
2676852,184009,184713
2683608,184456,185161
2692095,185020,185725
2697388,185371,186078
2703258,185752,186460
2705591,185911,186621
2711968,186349,187061
2718916,186830,187543
2723745,187167,187881
2729537,187560,188276
2739529,188241,188957
2742213,188427,189145
2748634,188875,189594
2754073,189242,189963
2760617,189681,190403
2767881,190176,190899
2777844,190861,191584
2781987,191149,191873
2785801,191405,192131
2793943,191967,192694
2799051,192311,193040
2805986,192783,193513
2814175,193331,194061
2816542,193487,194220
2817863,193577,194312
2827345,194219,194955
2832555,194558,195295
2838646,194975,195713
2842529,195234,195974
2851556,195843,196584
2858335,196301,197043
2867373,196906,197648
2874370,197375,198118
2876800,197537,198282
2882622,197922,198669
2886359,198178,198927
2893134,198643,199393
2903129,199319,200069
2909094,199722,200473
2913747,200033,200786
2920608,200500,201254
2929000,201079,201833
2937470,201660,202415
2947001,202312,203067
2954219,202807,203563
2959405,203167,203924
2961655,203323,204083
2968595,203809,204570
2975895,204309,205070
2982305,204735,205498
2989710,205232,205995
2995975,205649,206414
2999683,205897,206663
3007588,206430,207197
3016035,207011,207779
3022374,207444,208213
3030288,207971,208741
3035501,208330,209101
3040941,208686,209459
3050460,209336,210109
3057394,209814,210588
3058612,209893,210670
3065249,210341,211119
3066365,210411,211192
3073357,210879,211661
3078696,211243,212026
3083785,211579,212364
3090761,212042,212828
3094512,212296,213084
3101317,212753,213542
3108211,213230,214020
3115110,213704,214495
3121848,214168,214960
3127265,214535,215328
3132462,214888,215683
3139311,215366,216162
3146247,215829,216626
3150124,216086,216885
3158576,216666,217465
3163789,217003,217804
3167418,217249,218052
3177419,217919,218722
3184378,218391,219195
3188224,218657,219463
3198238,219339,220145
3208231,220015,220821
3214986,220471,221278
3221877,220941,221749
3231875,221616,222424
3237777,222012,222821
3242721,222339,223150
3246470,222588,223401
3251561,222934,223748
3258544,223406,224221
3264294,223798,224615
3267999,224058,224877
3275591,224580,225399
3284927,225207,226027
3292219,225694,226514
3301857,226338,227159
3305444,226576,227399
3315441,227232,228055
3322375,227690,228514
3330003,228192,229016
3336506,228625,229450
3342836,229065,229892
3349660,229533,230361
3358058,230105,230933
3360472,230265,231096
3367076,230709,231541
3374321,231213,232046
3381129,231678,232512
3388033,232142,232977
3392038,232410,233246
3395864,232667,233506
3400399,232970,233810
3409535,233598,234439
3413270,233854,234697
3417834,234152,234996
3422550,234470,235316
3430134,234973,235820
3432783,235146,235995
3437909,235493,236344
3444700,235945,236797
3448441,236202,237056
3455324,236661,237516
3465332,237343,238198
3469102,237604,238461
3475959,238061,238919
3479621,238313,239173
3486376,238778,239639
3493239,239245,240107
3502811,239901,240763
3510175,240408,241271
3517904,240930,241793
3523259,241294,242159
3527899,241617,242484
3534816,242080,242948
3541730,242551,243420
3545269,242786,243657
3549430,243073,243946
3555732,243494,244368
3562982,243981,244856
3566788,244229,245106
3573731,244700,245578
3580643,245172,246051
3587549,245643,246522
3594227,246091,246972
3602650,246647,247528
3611034,247212,248094
3617788,247678,248561
3621592,247940,248825
3628373,248387,249273
3637911,249039,249925
3642309,249340,250228
3646888,249659,250548
3652896,250067,250958
3657730,250388,251280
3666777,251020,251913
3670394,251259,252154
3674159,251508,252405
3683183,252124,253021
3687970,252448,253346
3692266,252738,253638
3701651,253386,254287
3704712,253598,254501
3708042,253830,254735
3716201,254377,255283
3723157,254833,255740
3728876,255209,256117
3736825,255716,256625
3741843,256058,256968
3747377,256430,257342
3754175,256870,257783
3758153,257129,258044
3764919,257579,258495
3774932,258246,259162
3781875,258719,259636
3786376,259034,259952
3790906,259336,260256
3799018,259891,260812
3802854,260140,261062
3809477,260587,261511
3816325,261057,261982
3825350,261650,262575
3830930,262031,262957
3837155,262450,263378
3843914,262911,263840
3853916,263573,264502
3862328,264152,265081
3864567,264308,265240
