sum_response_time,number_of_received_responses,number_of_sent_requests
6832,445,447
13797,912,915
23803,1571,1574
31090,2056,2059
40133,2682,2686
44329,2975,2981
48751,3286,3293
52863,3578,3587
55542,3751,3763
59181,3995,4009
60427,4083,4099
64021,4314,4333
67783,4585,4606
74738,5067,5089
79278,5368,5391
82341,5574,5600
92339,6258,6284
96379,6533,6560
105983,7212,7240
112943,7710,7739
122949,8429,8458
127099,8713,8743
136767,9364,9395
143416,9836,9868
147359,10123,10157
154353,10635,10670
161942,11173,11208
168132,11612,11649
178146,12341,12378
181777,12591,12630
187993,13022,13062
191881,13281,13323
196374,13584,13628
203214,14044,14089
206573,14272,14319
209116,14449,14498
211159,14596,14648
214210,14810,14864
217960,15067,15123
225860,15593,15650
234158,16164,16221
235978,16286,16346
238361,16462,16524
244279,16689,16753
254270,17354,17418
257385,17566,17632
264867,18092,18159
268270,18338,18407
272333,18620,18691
276100,18886,18959
279983,19166,19240
284234,19464,19540
293624,20127,20204
297446,20409,20488
306060,20976,21055
311003,21312,21393
317771,21800,21882
321562,22057,22141
324904,22278,22364
326777,22417,22505
332965,22860,22950
337108,23155,23246
340739,23406,23500
347548,23868,23963
355654,24420,24515
357513,24551,24649
363199,24946,25045
367232,25227,25328
373030,25631,25734
376794,25896,26001
383745,26376,26482
384605,26434,26543
388016,26669,26780
392088,26952,27065
399022,27424,27538
402896,27678,27794
406731,27942,28060
410288,28180,28300
413960,28431,28553
418660,28751,28874
419992,28844,28970
425082,29199,29327
430367,29554,29683
434065,29802,29933
442192,30333,30465
446352,30617,30751
450798,30935,31070
455501,31257,31394
458973,31497,31636
464073,31857,31998
468474,32176,32319
472046,32426,32571
478830,32911,33057
485723,33394,33541
492264,33839,33987
496311,34120,34270
506302,34848,34998
510147,35112,35264
520155,35799,35951
524054,36061,36215
526050,36196,36352
528355,36360,36519
535311,36844,37004
539149,37108,37270
542882,37358,37522
549875,37817,37982
559879,38483,38648
563585,38734,38901
570332,39209,39377
574093,39486,39655
580876,39929,40100
585212,40228,40400
592458,40719,40892
595745,40952,41127
596322,40991,41169
599838,41255,41436
602915,41491,41674
609606,42003,42187
612800,42246,42432
619981,42732,42919
620462,42764,42954
622849,42922,43115
624354,43023,43218
630562,43443,43640
637356,43920,44118
643737,44365,44564
648067,44651,44852
654977,45139,45341
658652,45385,45589
664600,45788,45993
672413,46324,46530
676083,46573,46781
679814,46829,47039
686602,47312,47523
690125,47586,47799
693955,47879,48094
700842,48399,48615
703439,48577,48795
708417,48925,49145
715297,49401,49622
719051,49659,49882
725241,50097,50321
728586,50321,50547
731016,50499,50727
740074,51119,51348
750080,51838,52067
753778,52103,52334
755747,52242,52475
759579,52504,52739
767995,53110,53346
774168,53551,53788
780218,53982,54220
782816,54161,54402
786985,54460,54702
794974,55039,55282
799768,55380,55625
801286,55487,55735
805159,55744,55994
808847,55993,56245
812531,56246,56500
822523,56946,57200
829271,57400,57655
833063,57663,57920
839972,58141,58399
843618,58396,58655
846991,58633,58895
849599,58812,59076
851139,58916,59183
859040,59489,59757
862773,59758,60028
869630,60242,60513
876590,60706,60978
883392,61163,61436
884276,61222,61497
887941,61482,61760
897935,62194,62472
904808,62673,62952
908553,62933,63214
914328,63325,63607
917874,63567,63851
919640,63693,63980
928675,64347,64634
936404,64916,65204
940638,65198,65487
946740,65607,65898
954166,66132,66424
957749,66379,66673
961440,66634,66930
966046,66944,67241
968975,67136,67436
975898,67612,67913
982864,68107,68409
983623,68161,68465
990436,68638,68943
997193,69084,69391
1004194,69574,69882
1006686,69758,70068
1010672,70032,70344
1015447,70370,70684
1022435,70872,71187
1026063,71118,71435
1032534,71565,71883
1035801,71784,72104
1037667,71917,72239
1040939,72138,72463
1044653,72405,72732
1048227,72659,72988
1054891,73107,73437
1059121,73398,73730
1063037,73677,74011
1068946,74095,74430
1074387,74475,74811
1080519,74893,75231
1083937,75125,75465
1088484,75434,75775
1095245,75890,76232
1098770,76131,76476
1100723,76269,76616
1103315,76449,76799
1110050,76912,77263
1114944,77232,77584
1117905,77442,77796
1124650,77927,78283
1128372,78182,78540
1132109,78440,78800
1138923,78901,79262
1142372,79137,79500
1145654,79358,79723
1149213,79594,79961
1150474,79676,80046
1153978,79928,80300
1163258,80585,80957
1164796,80687,81062
1170232,81059,81435
1171192,81123,81502
1171216,81125,81507
1174013,81322,81706
1176997,81536,81923
1178350,81632,82022
1181653,81866,82258
1182966,81960,82354
1187566,82277,82673
1193560,82674,83072
1198120,82988,83387
1204820,83441,83841
1208260,83685,84088
1215018,84180,84584
1216604,84295,84701
1222704,84730,85138
1229687,85194,85603
1236526,85644,86054
1243296,86104,86515
1250260,86581,86993
1260266,87253,87665
1267146,87720,88133
1275541,88282,88695
1278706,88502,88917
1285907,88983,89399
1291611,89371,89789
1293167,89476,89896
1300186,89961,90382
1306001,90357,90780
1309980,90629,91053
1319659,91278,91703
1326307,91721,92147
1331388,92060,92487
1338423,92533,92961
1342574,92817,93247
1347909,93194,93626
1357552,93850,94282
1364192,94285,94718
1368577,94586,95021
1371380,94781,95218
1375866,95085,95524
1379986,95366,95806
1386508,95811,96253
1390695,96094,96537
1398375,96608,97052
1407032,97181,97626
1410924,97445,97892
1414570,97693,98142
1424581,98369,98818
1431390,98823,99273
1438226,99289,99740
1442079,99543,99996
1448991,100007,100461
1455922,100477,100932
1462719,100942,101398
1469546,101405,101862
1475121,101781,102239
1483142,102326,102785
1490201,102798,103258
1490979,102848,103310
1497707,103303,103767
1504689,103788,104253
1514012,104412,104877
1520926,104884,105350
1527625,105344,105811
1535560,105883,106351
1539764,106166,106635
1546692,106649,107119
1553134,107083,107555
1560021,107555,108028
1566992,108025,108499
1571698,108347,108822
1575196,108574,109051
1578253,108776,109256
1585203,109242,109723
1590840,109627,110109
1595926,109974,110458
1602830,110434,110919
1609553,110881,111367
1613782,111151,111638
1614819,111224,111714
1621222,111667,112159
1627991,112116,112609
1631532,112345,112840
1635038,112588,113085
1641576,113041,113539
1648590,113524,114023
1653712,113876,114376
1659332,114257,114759
1664149,114576,115079
1673263,115200,115704
1677595,115505,116010
1683948,115931,116438
1690914,116395,116903
1697737,116851,117360
1701359,117098,117609
1711364,117751,118262
1717966,118203,118715
1719064,118274,118789
1725882,118724,119240
1732630,119184,119701
1736572,119454,119973
1741918,119813,120333
1747177,120174,120696
1750942,120424,120948
1757896,120895,121420
1766279,121474,121999
1768735,121635,122163
1775535,122102,122631
1781484,122514,123044
1786358,122839,123371
1793067,123301,123834
1796913,123562,124097
1800729,123817,124354
1807743,124294,124831
1811292,124545,125085
1816690,124920,125461
1825214,125495,126037
1832082,125957,126500
1838898,126410,126954
1842596,126663,127209
1849510,127131,127678
1856378,127598,128146
1863319,128081,128630
1870176,128539,129089
1876955,129002,129553
1886960,129692,130243
1893934,130160,130712
1900928,130623,131176
1909462,131201,131754
1917374,131734,132288
1923015,132115,132670
1928313,132480,133037
1932927,132783,133341
1938948,133187,133747
1942562,133440,134002
1951195,134027,134589
1958465,134528,135091
1964577,134951,135515
1968137,135197,135763
1973970,135597,136165
1983972,136283,136851
1990859,136745,137314
1997670,137209,137779
2003684,137623,138194
2008501,137950,138523
2015318,138409,138983
2019063,138655,139231
2022431,138891,139469
2025092,139061,139641
2032549,139555,140136
2037548,139900,140483
2044390,140364,140948
2045783,140460,141046
2051683,140849,141437
2057426,141252,141841
2065547,141795,142385
2075546,142465,143055
2081471,142869,143460
2086368,143188,143781
2093257,143648,144242
2098034,143973,144568
2105367,144458,145054
2110705,144822,145420
2113236,144996,145596
2115170,145124,145727
2121242,145524,146128
2129030,146051,146656
2132726,146300,146907
2139631,146753,147361
2147635,147276,147884
2153442,147670,148280
2157218,147923,148535
2164108,148393,149006
2174118,149059,149672
2177881,149310,149925
2184452,149752,150368
2188620,150035,150652
2192147,150278,150898
2199111,150744,151365
2205983,151223,151845
2212841,151698,152321
2216744,151966,152591
2221224,152268,152894
2230296,152880,153507
2238021,153402,154029
2243444,153762,154391
2248459,154104,154734
2252361,154365,154997
2257851,154725,155359
2265744,155251,155886
2272566,155712,156348
2278828,156135,156772
2283055,156429,157068
2286914,156680,157320
2293579,157126,157768
2297514,157393,158037
2307518,158066,158710
2311384,158330,158975
2315159,158585,159233
2325152,159259,159907
2332042,159717,160366
2339018,160194,160844
2342688,160441,161093
2349289,160896,161549
2356402,161385,162039
2361934,161750,162405
2370103,162287,162943
2379313,162908,163564
2382819,163144,163802
2387457,163459,164119
2396628,164099,164759
2401268,164422,165084
2404431,164639,165303
2412203,165166,165831
2419098,165633,166299
2425915,166099,166766
2435912,166763,167430
2445925,167423,168090
2452910,167891,168559
2459800,168348,169017
2466113,168769,169439
2473494,169259,169930
2479688,169687,170359
2483988,169988,170662
2490806,170441,171116
2497988,170929,171604
2504707,171381,172058
2511515,171841,172519
2517009,172215,172894
2525286,172770,173450
2530361,173120,173801
2537522,173601,174283
2543065,173968,174652
2547845,174295,174980
2554060,174712,175398
2557869,174974,175662
2565848,175514,176203
2571346,175892,176583
2578313,176361,177053
2585010,176823,177516
2586838,176944,177639
2592769,177343,178040
2600714,177874,178571
2606678,178275,178974
2615636,178887,179586
2620608,179224,179924
2627364,179686,180388
2637359,180359,181061
2644320,180835,181538
2651062,181302,182006
2655279,181582,182287
2661029,181965,182672
2664236,182188,182897
2670272,182595,183305
2676895,183042,183753
2682641,183427,184140
2689407,183878,184592
2696394,184349,185064
2706381,185035,185750
2716389,185717,186432
2725419,186335,187050
2729938,186643,187360
2733591,186894,187613
2739352,187301,188021
2739493,187312,188035
2748094,187907,188631
2755085,188383,189108
2761970,188854,189580
2768843,189334,190061
2775716,189799,190527
2782287,190234,190963
2786417,190516,191247
2793311,190970,191702
2797181,191228,191962
2807177,191906,192640
2817177,192586,193320
